,Pos,Titulo,Anio,url_peli,url,Puntos
48,24,Werckmeister Harmonies,2000,/film/werckmeister-harmonies/,https://letterboxd.com/manuki/list/tft-2000s/detail,1
49,25,Billy Elliot,2000,/film/billy-elliot/,https://letterboxd.com/manuki/list/tft-2000s/detail,1
50,1,Saraband,2003,/film/saraband/,https://letterboxd.com/filmcanet/list/tft-2000s/detail,6
51,2,Werckmeister Harmonies,2000,/film/werckmeister-harmonies/,https://letterboxd.com/filmcanet/list/tft-2000s/detail,5
52,3,The Return,2003,/film/the-return/,https://letterboxd.com/filmcanet/list/tft-2000s/detail,5
53,4,In Vanda's Room,2000,/film/in-vandas-room/,https://letterboxd.com/filmcanet/list/tft-2000s/detail,5
54,5,"4 Months, 3 Weeks and 2 Days",2007,/film/4-months-3-weeks-and-2-days/,https://letterboxd.com/filmcanet/list/tft-2000s/detail,5
55,6,"You, the Living",2007,/film/you-the-living/,https://letterboxd.com/filmcanet/list/tft-2000s/detail,4
56,7,The Man Without a Past,2002,/film/the-man-without-a-past/,https://letterboxd.com/filmcanet/list/tft-2000s/detail,4
57,8,Russian Ark,2002,/film/russian-ark/,https://letterboxd.com/filmcanet/list/tft-2000s/detail,4
58,9,The Weeping Meadow,2004,/film/the-weeping-meadow/,https://letterboxd.com/filmcanet/list/tft-2000s/detail,4
59,10,Distant,2002,/film/distant/,https://letterboxd.com/filmcanet/list/tft-2000s/detail,4
60,11,At the First Breath of Wind,2002,/film/at-the-first-breath-of-wind/,https://letterboxd.com/filmcanet/list/tft-2000s/detail,3
61,12,The Piano Teacher,2001,/film/the-piano-teacher/,https://letterboxd.com/filmcanet/list/tft-2000s/detail,3
62,13,Antichrist,2009,/film/antichrist/,https://letterboxd.com/filmcanet/list/tft-2000s/detail,3
63,14,Dogtooth,2009,/film/dogtooth/,https://letterboxd.com/filmcanet/list/tft-2000s/detail,3
64,15,In the Mood for Love,2000,/film/in-the-mood-for-love/,https://letterboxd.com/filmcanet/list/tft-2000s/detail,3
65,16,Seven Invisible Men,2005,/film/seven-invisible-men/,https://letterboxd.com/filmcanet/list/tft-2000s/detail,2
66,17,Egg,2007,/film/egg/,https://letterboxd.com/filmcanet/list/tft-2000s/detail,2
67,18,The Diving Bell and the Butterfly,2007,/film/the-diving-bell-and-the-butterfly/,https://letterboxd.com/filmcanet/list/tft-2000s/detail,2
68,19,"Spring, Summer, Fall, Winter... and Spring",2003,/film/spring-summer-fall-winter-and-spring/,https://letterboxd.com/filmcanet/list/tft-2000s/detail,2
69,20,The Class,2007,/film/the-class/,https://letterboxd.com/filmcanet/list/tft-2000s/detail,2
70,21,Divided We Fall,2000,/film/divided-we-fall/,https://letterboxd.com/filmcanet/list/tft-2000s/detail,1
71,22,Fragile as the World,2001,/film/fragile-as-the-world/,https://letterboxd.com/filmcanet/list/tft-2000s/detail,1
72,23,Match Point,2005,/film/match-point/,https://letterboxd.com/filmcanet/list/tft-2000s/detail,1
73,24,Evolution of a Filipino Family,2004,/film/evolution-of-a-filipino-family/,https://letterboxd.com/filmcanet/list/tft-2000s/detail,1
74,25,Mystic River,2003,/film/mystic-river/,https://letterboxd.com/filmcanet/list/tft-2000s/detail,1
75,1,3-Iron,2004,/film/3-iron/,https://letterboxd.com/taesuk/list/tft-2000/detail,6
76,2,Werckmeister Harmonies,2000,/film/werckmeister-harmonies/,https://letterboxd.com/taesuk/list/tft-2000/detail,5
77,3,Virgin Stripped Bare by Her Bachelors,2000,/film/virgin-stripped-bare-by-her-bachelors/,https://letterboxd.com/taesuk/list/tft-2000/detail,5
78,4,Woman Is the Future of Man,2004,/film/woman-is-the-future-of-man/,https://letterboxd.com/taesuk/list/tft-2000/detail,5
79,5,Tale of Cinema,2005,/film/tale-of-cinema/,https://letterboxd.com/taesuk/list/tft-2000/detail,5
80,6,Night and Day,2008,/film/night-and-day-2008/,https://letterboxd.com/taesuk/list/tft-2000/detail,4
81,7,Triple Agent,2004,/film/triple-agent/,https://letterboxd.com/taesuk/list/tft-2000/detail,4
82,8,The Death of Mr. Lazarescu,2005,/film/the-death-of-mr-lazarescu/,https://letterboxd.com/taesuk/list/tft-2000/detail,4
83,9,Trouble Every Day,2001,/film/trouble-every-day/,https://letterboxd.com/taesuk/list/tft-2000/detail,4
84,10,Distant,2002,/film/distant/,https://letterboxd.com/taesuk/list/tft-2000/detail,4
85,11,The Man from London,2007,/film/the-man-from-london/,https://letterboxd.com/taesuk/list/tft-2000/detail,3
86,12,Dancer in the Dark,2000,/film/dancer-in-the-dark/,https://letterboxd.com/taesuk/list/tft-2000/detail,3
87,13,Mulholland Drive,2001,/film/mulholland-drive/,https://letterboxd.com/taesuk/list/tft-2000/detail,3
88,14,Memories of Murder,2003,/film/memories-of-murder/,https://letterboxd.com/taesuk/list/tft-2000/detail,3
89,15,About Elly,2009,/film/about-elly/,https://letterboxd.com/taesuk/list/tft-2000/detail,3
90,16,Symbol,2009,/film/symbol/,https://letterboxd.com/taesuk/list/tft-2000/detail,2
91,17,Saraband,2003,/film/saraband/,https://letterboxd.com/taesuk/list/tft-2000/detail,2
92,18,Persepolis,2007,/film/persepolis/,https://letterboxd.com/taesuk/list/tft-2000/detail,2
93,19,Caché,2005,/film/cache/,https://letterboxd.com/taesuk/list/tft-2000/detail,2
94,20,Passion,2008,/film/passion-2008/,https://letterboxd.com/taesuk/list/tft-2000/detail,2
95,21,Ten,2002,/film/ten-2002/,https://letterboxd.com/taesuk/list/tft-2000/detail,1
96,22,Still Walking,2008,/film/still-walking/,https://letterboxd.com/taesuk/list/tft-2000/detail,1
97,23,Chunhyang,2000,/film/chunhyang/,https://letterboxd.com/taesuk/list/tft-2000/detail,1
98,24,The Chaser,2008,/film/the-chaser/,https://letterboxd.com/taesuk/list/tft-2000/detail,1
99,25,Lost in Translation,2003,/film/lost-in-translation/,https://letterboxd.com/taesuk/list/tft-2000/detail,1
100,1,Mysterious Skin,2004,/film/mysterious-skin/,https://letterboxd.com/filmandera/list/tft-2000s/detail,6
101,2,The Class,2008,/film/the-class-2008/,https://letterboxd.com/filmandera/list/tft-2000s/detail,5
102,3,Linda Linda Linda,2005,/film/linda-linda-linda/,https://letterboxd.com/filmandera/list/tft-2000s/detail,5
103,4,American Psycho,2000,/film/american-psycho/,https://letterboxd.com/filmandera/list/tft-2000s/detail,5
104,5,Lilo & Stitch,2002,/film/lilo-stitch/,https://letterboxd.com/filmandera/list/tft-2000s/detail,5
105,6,The Lives of Others,2006,/film/the-lives-of-others/,https://letterboxd.com/filmandera/list/tft-2000s/detail,4
106,7,All About Lily Chou-Chou,2001,/film/all-about-lily-chou-chou/,https://letterboxd.com/filmandera/list/tft-2000s/detail,4
107,8,Love & Basketball,2000,/film/love-basketball/,https://letterboxd.com/filmandera/list/tft-2000s/detail,4
108,9,Turtles Can Fly,2004,/film/turtles-can-fly/,https://letterboxd.com/filmandera/list/tft-2000s/detail,4
109,10,Spirited Away,2001,/film/spirited-away/,https://letterboxd.com/filmandera/list/tft-2000s/detail,4
110,11,Volver,2006,/film/volver/,https://letterboxd.com/filmandera/list/tft-2000s/detail,3
111,12,Lost in Translation,2003,/film/lost-in-translation/,https://letterboxd.com/filmandera/list/tft-2000s/detail,3
112,13,Paprika,2006,/film/paprika-2006/,https://letterboxd.com/filmandera/list/tft-2000s/detail,3
113,14,Yi Yi,2000,/film/yi-yi/,https://letterboxd.com/filmandera/list/tft-2000s/detail,3
114,15,Kill Bill: Vol. 1,2003,/film/kill-bill-vol-1/,https://letterboxd.com/filmandera/list/tft-2000s/detail,3
115,16,Suicide Club,2001,/film/suicide-club/,https://letterboxd.com/filmandera/list/tft-2000s/detail,2
116,17,Lake Mungo,2008,/film/lake-mungo/,https://letterboxd.com/filmandera/list/tft-2000s/detail,2
117,18,The Host,2006,/film/the-host/,https://letterboxd.com/filmandera/list/tft-2000s/detail,2
118,19,The Royal Tenenbaums,2001,/film/the-royal-tenenbaums/,https://letterboxd.com/filmandera/list/tft-2000s/detail,2
119,20,Million Dollar Baby,2004,/film/million-dollar-baby/,https://letterboxd.com/filmandera/list/tft-2000s/detail,2
120,21,28 Days Later,2002,/film/28-days-later/,https://letterboxd.com/filmandera/list/tft-2000s/detail,1
121,22,Ichi the Killer,2001,/film/ichi-the-killer/,https://letterboxd.com/filmandera/list/tft-2000s/detail,1
122,23,Hedwig and the Angry Inch,2001,/film/hedwig-and-the-angry-inch/,https://letterboxd.com/filmandera/list/tft-2000s/detail,1
123,24,The Holy Girl,2004,/film/the-holy-girl/,https://letterboxd.com/filmandera/list/tft-2000s/detail,1
124,25,Innocence,2004,/film/innocence/,https://letterboxd.com/filmandera/list/tft-2000s/detail,1
125,1,Miami Vice,2006,/film/miami-vice/,https://letterboxd.com/javchas/list/tft2000s/detail,6
126,2,Spirited Away,2001,/film/spirited-away/,https://letterboxd.com/javchas/list/tft2000s/detail,5
127,3,"Coliseum - PJ Ladd's Wonderful, Horrible Life",2002,/film/coliseum-pj-ladds-wonderful-horrible-life/,https://letterboxd.com/javchas/list/tft2000s/detail,5
