usuario_base;vecinos;similaridad;imp_pelis;imp_dir;imp_gen;imp_fecha;imp_pais
1dia1peli;A_de_la_Hoz;4.267418154330863;0.0;0.0;48.97974772235456;13.457253056761495;37.56299922088393
1dia1peli;Abu222;4.29533929612767;0.0;0.0;50.86868699735865;4.033128767304299;45.09818423533705
1dia1peli;Alberto87FR;3.47106039839719;0.0;0.0;63.24486297887259;6.0783906998436565;30.676746321283755
1dia1peli;AmaiaZufiaur;3.7504839581132674;0.0;0.0;43.403523852673814;36.14744939779167;20.44902674953451
1dia1peli;AndreuMarves;4.599216791355224;0.0;0.0;39.08370229642992;41.87510744159631;19.041190261973775
1dia1peli;Angelopoulos;5.411884013616094;0.0;0.0;34.666122864096465;29.356645806026904;35.97723132987664
1dia1peli;Batty;3.885287113210234;0.0;0.0;55.05311215359527;9.524155120316445;35.42273272608829
1dia1peli;BorNaPe;4.675608383271944;0.0;0.0;46.592464480646726;28.650106375777447;24.757429143575823
1dia1peli;Borinot;5.092848485030512;0.0;0.0;42.87584876381393;32.72627578256677;24.397875453619317
1dia1peli;Burbank;5.913046861382032;0.0;0.0;37.72570869784848;29.963079988075865;32.311211314075656
1dia1peli;Carlos_;5.873161949295486;0.0;0.0;36.384568814837955;36.59600395654781;27.019427228614234
1dia1peli;Cinematictalk;5.590088904143889;0.0;0.0;39.8812523638598;54.23609662318395;5.882651012956254
1dia1peli;CulturetaMurcia;5.528852518234511;0.0;0.0;23.79695648156665;52.21361653956299;23.989426978870352
1dia1peli;DanielEscaners;4.724028589504013;0.0;0.0;25.56312703751228;45.23092557497221;29.205947387515504
1dia1peli;Didacus;4.349421196489505;0.0;0.0;49.84605183562996;2.1014509090308384;48.052497255339205
1dia1peli;Faildeguionista;4.991738818249678;0.0;0.0;43.92209965232412;23.793090216748094;32.284810130927774
1dia1peli;Faure;3.8402907714890007;0.0;0.0;55.65078677549964;15.89638891638656;28.452824308113787
1dia1peli;Filmandera;6.774662025040745;11.444980058856316;4.054690915343699;29.283075618081114;39.91413590978134;15.303117497937519
1dia1peli;Fraca1993;2.4665705617434868;0.0;0.0;22.283399943616217;76.14526725086021;1.5713328055235896
1dia1peli;Hectorog;2.2623474544693067;0.0;0.0;74.51527340851582;14.669805679453354;10.81492091203081
1dia1peli;IndigoRoom;5.878382122520857;0.0;0.0;37.382775124199796;51.68103671594792;10.936188159852284
1dia1peli;IvanMiguez;4.788923032591058;0.0;0.0;20.501114148049087;58.189586990898825;21.309298861052085
1dia1peli;Ivan_Suarez;2.9806249970959766;0.0;0.0;74.23116559500309;5.5677790039882735;20.201055401008635
1dia1peli;Jarsito;5.907334348473754;0.0;0.0;32.608292634698195;46.19769144677386;21.194015918527942
1dia1peli;Javchas;5.628581819285589;0.0;0.0;25.456052859372036;58.043052568658865;16.500894571969102
1dia1peli;JonSanSK8;5.10884098593376;0.0;0.0;42.37983076000975;30.4285733849935;27.191595854996763
1dia1peli;Judex1916;3.6994019503640674;0.0;0.0;59.60468255850412;1.876993279221557;38.518324162274325
1dia1peli;Juniper_girl;3.8010941350548966;0.0;0.0;48.56522766055941;26.146472965913738;25.288299373526847
1dia1peli;Klepshydra;4.621943734750772;0.0;0.0;44.02365312899711;29.27469076695998;26.701656104042897
1dia1peli;Kosti;15.353992861496522;37.87412457536724;13.969573510928365;14.585023419591197;20.580523943717363;12.990754550395822
1dia1peli;Lobo_Lopez;2.630134626648761;0.0;0.0;82.28509566573162;1.783588271745779;15.931316062522606
1dia1peli;Loloaka;5.064890392615047;0.0;0.0;43.90177684797676;38.098181166303824;18.00004198571939
1dia1peli;Lubilder;3.6759011369849395;0.0;0.0;58.93537439093068;3.0452865239028917;38.01933908516645
1dia1peli;MabuseCaligari;4.206436571972477;0.0;0.0;52.589954139277935;0.9401480692892077;46.469897791432864
1dia1peli;Mann_Ohne_Namen;3.8625661628020316;0.0;0.0;42.16729190749592;18.701465021244946;39.13124307125913
1dia1peli;MarioIglesias;5.764257795580978;0.0;0.0;29.276559087322724;32.78243128081765;37.94100963185962
1dia1peli;Mikio_Fassberma;3.769710636730765;0.0;0.0;55.47898982555192;3.2160555204904764;41.30495465395761
