usuario_base;vecinos;similaridad;imp_pelis;imp_dir;imp_gen;imp_fecha;imp_pais
0uno4;_alvarocampoy_;32.143572185625175;15.727574583678045;18.659685186699456;24.752611007867667;22.29555098568409;18.564578236070755
0uno4;_carlos_;42.476522359397855;23.262303328505755;25.260789433504424;18.139643210190876;16.847747194621437;16.489516833177504
0uno4;a_de_la_hoz;28.74709794048596;15.987081863860437;18.432880546052797;25.244133321569002;24.894120161254868;15.441784107262913
0uno4;a_karerina;43.15188507394964;19.17061035001538;30.134778585000372;17.854250324068577;16.584066007578446;16.25629473333724
0uno4;adam_kadmon;34.73351251471822;12.570081921078536;24.663222131350693;21.969664013587916;20.603551400526285;20.19348053345658
0uno4;aitanaaguila;37.02877251654718;22.34068046008432;21.590822620390234;20.59650760053542;19.32642271892815;16.145566600061873
0uno4;aixa72;51.83583059190034;27.04163739191756;30.03053823689663;15.26876691360352;13.805772999992055;13.853284457590245
0uno4;alberto87fr;38.60762662209762;20.236668818223976;23.969281166050745;20.250197585102985;18.536071057219996;17.007781373402285
0uno4;albertomilano;43.99675669622271;21.936222338431623;31.08811181855011;16.923797257694403;16.265601470557026;13.78626711476683
0uno4;albertvanden;30.123792563390815;9.153871455378878;21.32287579357831;24.261545065233978;23.78341352280105;21.478294163007792
0uno4;alchemy97;34.58327750984623;21.927090143118715;20.556072213440054;20.940037873264572;20.69305635401593;15.883743416160717
0uno4;alcorona;29.521479674622153;18.681267193447816;19.04157745003865;22.8082418943752;24.24111929027078;15.227794171867563
0uno4;alejandrogr;36.16663458439488;20.33176549177789;25.904886650535854;19.297696683081522;19.809601408678876;14.656049765925841
0uno4;alemartin;44.37220942679278;21.750610337547503;28.962538378794193;16.67290901693881;16.12797108060404;16.485971186115464
0uno4;alen99;38.53072036742903;23.855365471519136;24.96898326080336;17.957001580714866;18.573068543581208;14.645581143381447
0uno4;alvaro_souvlaki;29.087991926519997;15.799722761334865;13.434862402336165;26.908734049609933;24.637749440578016;19.218931346141037
0uno4;amaiazufiaur;24.841032552720733;13.875697612838158;7.543104880618057;28.80733419632976;28.849793220376036;20.924070089837993
0uno4;aminvillalba;63.92224524149099;38.82441729773809;27.60609153726194;12.041236085743241;11.21264170075383;10.315613378502903
0uno4;anaorgana;34.03801274263238;20.253042308812837;20.42101288001253;21.781271060410706;21.024544406539146;16.520129344224777
0uno4;andrestm;23.96052499332163;3.8361614217640003;15.845733101562505;23.91956179507746;29.867196591781028;26.531347089815014
0uno4;angelopoulos;51.09199370391989;23.837254396130795;33.503924919898516;15.343121722906305;14.006768155592937;13.30893080547144
0uno4;antares_not;37.09340767934262;22.92124499256977;25.59139173281497;18.75925279040869;19.292746479487175;13.435364004719405
0uno4;anthonymous;32.29532077481701;17.78826611320316;22.184456637939643;21.51399224163138;22.173495780921098;16.33978922630471
0uno4;ap_schoolwork;20.551182592794245;0.0;3.732028344398032;34.200288743551155;34.822020931717034;27.24566198033378
0uno4;ashwilliams92;29.79842359818202;18.50764514204711;20.08997408244269;20.821486527089228;24.015824463327657;16.565069785093325
0uno4;auroranocte;49.130077812363254;23.853710046814655;32.5344355155223;15.337478956458344;14.566101709648331;13.708273771556383
0uno4;bander7;51.148200929427944;18.41987615462765;37.69268385775328;15.210989398118777;14.011492951706668;14.664957637793611
0uno4;batty;37.028504337822625;19.8585264554053;21.25361994504908;20.23914020383899;19.32656269043086;19.322150705275767
