Griffith;Feuillade;Bauer;Sjostrom;Chaplin;Weber;Guy;Western;Terror;Scifi;Animacion;Origenes1;Origenes2;Origenes3;Italia;Dinamarca;Alemania;IGM;Todas
Deceived Slumming Party;;;;;;;The Cowboy Guardians;;;;Chirgwin in His Humorous Business;Man Overboard! 'Indiana';The Visit of the Khedive Abbas Helmi to the Scientific Institute of the Sidi AboulAbbas Mosque;;;Das Kind des Anderen;;Traffic in Souls
Over the Hills to the Poor House;;;;;;;A Daughter of the Redskins;;;;Buffalo Fire Department in action;Bi-centennial Jubilee Parade;Die schönsten Wasserfälle der Ostalpen;;;Der Kampf der Gewalten;;The Thieving Hand
Over Silent Paths;;;;;;;The Siren;;;;Ella Lola, a la Trilby;Une nuit terrible;A Priest's Conscience;;;Ausrufung der Republik in Wien;;That Little Band Of Gold
A Pueblo Legend;;;;;;;So-Jun-Wah and the Tribal Law;;;;The Derby;L'illusioniste;Chemineau chemine;;;Manon. Das hohe Lied der Liebe;;The Faithful Furniture
Her Terrible Ordeal;;;;;;;The Tribal Law;;;;Imperial Japanese Dance;Fantaisie cycliste;King Frederik VIII Visits Iceland;;;Auf der Höhe;;Rough Sea at Dover
In Old Kentucky;;;;;;;The Efficacy of Prayer;;;;Cockatoo Flying;Battleship 'Odin' with All Her Guns in Action;Alþingismannaförin;;;Die Zigeunerbaronin;;The Devil and the Statue
The Light That Came;;;;;;;Cupid's Assistants;;;;Ladies' Skirts Nailed to a Fence;Renard et lapins;L'Ascension du Mont Blanc;;;Durchlaucht Hypochonder;;A Thief of Hearts
Getting Even;;;;;;;Sharps and Chaps;;;;Maple Leaf Viewing;Grand Consecration of the Emperor Franz I. Bridge;Abraham Lincoln's Clemency;;;Das große Los;;Tunneling the English Channel
Pippa Passes;;;;;;;The Lady Barber of Roaring Gulch;;;;The Assassination of the Duke de Guise;Early Superimpositions;Göta Elf-katastrofen;;;Die Lackstiefel;;The Dreyfus Affair
At the Altar;;;;;;;Her Friend, the Doctor;;;;Zim, Boum, Boum;Japanese Dancers and Japanese Stave Duel;Un viaggio in una stella;;;Der Eremit;;Madame Bo-Peep
The Red Man and the Child;;;;;;;Those Lovesick Cowboys;;;;Chinese Opium Den;Japanese State Procession;The Kiss of Judas;;;Die Fürstin von Beranien;;Le village de Namo - Panorama pris d'une chaise à porteurs
Daphne and the Pirate;;;;;;;The Girls and the Chaperone;;;;Berlin, Hallesches Thor;Japanese Funeral;Bizzarrie di una ruota;;;Die Rose von Stambul;;The Wire Pullers
Her First Biscuits;;;;;;;When the Heart Calls;;;;Why Mrs. Jones Got a Divorce;Japanese Schoolchildren;The Coroner's Mistake;;;Das Geschlecht derer von Ringwall;;Marvelous Beehive
Brutality;;;;;;;Brave Heart's Hidden Love;;;;Skirmish of Rough Riders;Rochdale Tram Ride;Return of His Majesty from La Albufera;;;Das Maskenfest des Lebens;;A Deal with the Devil
Confidence;;;;;;;Early Days in the West;;;;Marché aux charbons (avec chameaux);The bear and the Sentry;Voyage of His Majesty to La Albufera.;;;Christa Hartungen;;A Perfect Lady
Resurrection;;;;;;;The Indian Raiders;;;;S.S. 'Williamette' Leaving for Klondike;Buxton Skyline;Solar Eclipse;;;Die Ehe der Luise Rohrbach;;Aladdin and the Wonderful Lamp
After Many Years;;;;;;;At Cripple Creek;;;;Conjuring;New York's New Subway;Valencia's Flowers Battle;;;Das Rätsel von Bangalor;;Faust and Mephistopheles
The Lily and the Rose;;;;;;;Humanity;;;;Barrage du Nil;Arrival of the Stage at Wawona Hotel en Route to Yosemite;Ruth's Spielzeug;;;Die Frau mit den Orchideen;;From Hand to Mouth
The Joneses Have Amateur Theatricals;;;;;;;Her Lesson;;;;Le goûter champêtre;El regimiento ciclista;Dr. William Gorgas;;;Die Duplizität der Ereignisse;;Martyrs of the Alamo
Balked at the Altar;;;;;;;A Christmas Revenge;;;;Cherbourg : entrée des souverains russes et du président de la République sous le hall;La revista de la escuadra argentina;The Gentleman Burglar;;;Fräulein Mutter;;Germinal
The Mountaineer's Honor;;;;;;;The Escape of Broncho Billy;;;;Return of Lifeboat;Pica, pica Compadrito;The Will;;;Eine Motte flog zum Licht;;A Flash of Light
The Revenue Man and His Girl;;;;;;;Broncho Billy's Love Affair;;;;Vue de l'avant d'un transatlantique par un gros temps;Escenas callejeras;Waiting at the Church;;;Drohende Wolken am Firmament;;Cinderella
Lady Helen's Escapade;;;;;;;Broncho Billy Evens Matters;;;;Skeleton of Horse;Los políticos;Galileo Galilei;;;Frühlingsstürme im Herbste des Lebens;;The Golden Beetle
A Child of the Ghetto;;;;;;;Broncho Billy's Parents;;;;Jérusalem : porte de Jaffa, côté Est;Tango argentino;Le barbier de Séville;;;Es fiel ein Reif in der Frühlingsnacht;;At the Hypnotist's
Father Gets in the Game;;;;;;;Broncho Billy, Sheepman;;;;Pack Train at Chilkoot Pass;Bohemia Criolla;Een Jongmensch heeft zich opgehangen aan een boom in 't Muiderwoud;;;Die Seele einer Frau;;For Happiness
Romance of a Jewess;;;;;;;Broncho Billy Misled;;;;Ringkämpfer;长坂坡;Solser and Hesse;;;Die Rache des Titanen;;The Patchwork Girl of Oz
A Calamitous Elopement;;;;;;;Broncho Billy and the Card Sharp;;;;Le retour, Place de l'Etoile;Scenes at Creusot's Steel Foundry;Miss Sherlock Holmes;;;Die nach Glück und Liebe suchen;;Enoch Arden: Part II
Nursing a Viper;;;;;;;Broncho Billy Begins Life Anew;;;;Football;A Good Story;Sherlock Holmes;;;Des Lebens ungemischte Freude;;Rip Meeting the Dwarf
Faithful;;;;;;;Her Return;;;;Cupid at the Washtub;Monsieur Et Madame Sont Pressés;Cretinetti the Wrestler;;;Auf des Lebens rauher Bahn;;The Son's Return
Wilful Peggy;;;;;;;Broncho Billy's Marriage;;;;The Miller and the Sweep;La Chasse Est Ouverte;Les petits Pifferari;;;Die Landstreicher;;Chinese Laundry Scene
The Adventures of Billy;;;;;;;Broncho Billy Steps In;;;;Clown and His Dogs;Charlemont;The Lie;;;Der Hund von Baskerville, 3. Teil - Das unheimliche Zimmer;;Engineer Prite's Project
The Indian Brothers;;;;;;;Broncho Billy's Protégé;;;;Buffalo Bill: peaux rouges;Le Mauvais Riche;The Infernal Cave;;;Der Hund von Baskerville, 2. Teil - Das einsame Haus;;The Life and Death of King Richard III
Saved from Himself;;;;;;;The Little Prospector;;;;Woodcutters;Ride On A Tram Car Through Belfast;Trolovelsesringen;;;Ahasver, 3. Teil;;Washerwomen on the River
The Narrow Road;;;;;;;The Wealth of the Poor;;;;Panorama pris d'un bateau;Exit Of White Collar Workers;Nick Carter's New Achievements - Episode 1: In Danger;;;Es werde Licht! 4. Teil: Sündige Mütter;;You Never Know Your Luck
One Is Business, the Other Crime;;;;;;;Andy of the Royal Mounted;;;;Garde descendante du Palais Saint James;Immagini Dalla Cina 1901-1904;The Suicide Club;;;Es werde Licht! 3. Teil;;Emmy of Stork's Nest
The Transformation of Mike;;;;;;;The Outlaw's Awakening;;;;A Wringing Good Joke;La Confession;The Council of Three;;;Agnes Arnau und ihre drei Freier;;The Two-Soul Woman
Blind Love;;;;;;;The Western Way;;;;Hyde Park Bicycling Scene;Marie-Antoinette;Please Conductor, Don't Put Me Off the Train;;;Wenn Menschen reif zur Liebe werden;;The Target
The Telephone Girl and the Lady;;;;;;;When Love and Honor Called;;;;Lower Falls, Grand Canyon, Yellowstone Park;Les Trois Phases De La Lune;Stirring Days in Old Virginia;;;Rafaela;;The Greatest Question
The Wanderer;;;;;;;Broncho Billy's Double Escape;;;;Pistol Duel;Pont Des Soupirs;Sealed Instructions;;;Die Liebe des van Royk;;The Dinosaur and the Missing Link: A Prehistoric Tragedy
The Yaqui Cur;;;;;;;The Tell-Tale Hand;;;;La Pelouse - Voitures et foules;Roma Moderna y Antigua;The Freak Barber;;;Der Weg ins Freie;;Child Bringing Bouquet to Woman
What the Daisy Said;;;;;;;Snakeville's Reform Wave;;;;Le retour, au bois;Over The Tay Bridge On An Express Train;Sheep Coming Through Chute, Humuula Ranch, Hawaii;;;Der Weltspiegel;;Transport of a Turret by a Team of 60 Horses
Brute Force;;;;;;;Sophie's Fatal Wedding;;;;Foottit et Chocolat, IV. Guillaume Tell;Factory Gate Exit;The Governor's Daughter;;;Der provisorische Ehemann;;Summoning the Spirits
;;;;;;;Broncho Billy's Judgment;;;;Chamonix: la mer de glace. Descente.;Washing Up And Blacking Up;The Girl Nihilist;;;Frau Annas Pilgerfahrt;;Panorama of Eiffel Tower
;;;;;;;A Horse on Sophie;;;;Lasso Thrower;Sedgwick’s Bioscope Showfront At Pendlebury Wakes;Benedict Arnold;;;Die Erzkokette;;The Mysterious Knight
;;;;;;;Broncho Billy's Decision;;;;Les tribulations d'un concierge;Quo Vadis;Fête de gondoles à Venise;;;Fürst Seppl;;Rip's Toast to Hudson
;;;;;;;Sophie and the Man of Her Choice;;;;The Boulevard of Scheveningen;La Poupée;The Sea Coasts of New Zealand;;;Der Fall Dombronowska;;Long Distance Wireless Photography
;;;;;;;Broncho Billy's Mission;;;;Opium Den;Danse basque;The Night Before Christian's Birthday;;;Harte Zeiten;;A vörös Sámson
;;;;;;;Broncho Billy's Scheme;;;;Lyon, travaux au canal de Jonage: Machine à damer;Ekoin Natsu-basho Ozumo;The Hemp Industry;;;Ilse und ihre drei Freier;;He Died and He Didn't
;;;;;;;Broncho Billy's Mother;;;;Cavalier sur un cheval rétif;Hiawatha, the Messiah of the Ojibway;Nellie, the Beautiful Housemaid;;;Der Schein trügt;;La flûte enchantée
;;;;;;;Snakeville and the Corset Demonstrator;;;;Mort de Robespierre;Courses d’ensemble des régates (rameurs debouts);Madame is Athletic;;;Pantoffelhelden;;The Power and the Glory
;;;;;;;Broncho Billy -- Favorite;;;;Marché aux boeufs, I;Fête des fleurs, II;Morgan le pirate – La cage;;;Zum Attentat gegen das österreichische Thronfolgerpaar;;God's Man
;;;;;;;Broncho Billy Rewarded;;;;Alger : place du gouvernement;Fête des fleurs, I;The Poisoned Flower;;;Cocl als Hausherr;;"Ransomed; or, A Prisoner of War"
;;;;;;;Snakeville's Peace-Maker;;;;Bruxelles, Grand’Place;Promenade du dragon à Cholon, V;Le joueur;;;Wie Ninette zu ihrem Ausgang kam;;Little Meena's Romance
;;;;;;;When Slippery Slim Met the Champion;;;;Défilé du 8e bataillon;Promenade du dragon à Cholon, IV;The Flea;;;Wenn das Herz in Haß erglüht;;The Little Catamount
;;;;;;;Slippery Slim Gets Cured;;;;The Damnation of Faust;Promenade du dragon à Cholon, III;Fouquet, the Man in the Iron Mask;;;Die Tochter der Landstrasse;;The Availing Prayer
;;;;;;;The Strategy of Broncho Billy's Sweetheart;;;;La poupée: Le curé et les mannequins;Promenade du dragon à Cholon, II;La donna fatale;;;Das Kind ruft;;Ein Jagdausflug nach Berlin
;;;;;;;Slippery Slim -- Diplomat;;;;Reviewing the 'Texas' at Grant's Tomb;La foule après la revue des troupes;The Battle of Stag Beetles;;;The General's Children;;Dora Thorne
;;;;;;;Broncho Billy Butts In;;;;Procession of Floats;Les tirailleurs;Only a Dart;;;Zu Tode Gehetzt;;The Quest
;;;;;;;Broncho Billy, a Friend in Need;;;;Enfants jouant aux billes;Revue des troupes;National parade to celebrate the annexation of Congo to Belgium;;;Die rollende Kugel;;Old King Coal
;;;;;;;Broncho Billy, the Vagabond;;;;Horse Shoeing;Défilé de l’infanterie de marine;Corradino di Svevia (L'ultimo degli Hobenstarfen);;;The Guinea-Pig;;The Cabaret Dancer
;;;;;;;Broncho Billy's Indian Romance;;;;The Arrival of a Train at La Ciotat [non-catalogued];Maillane : la farandole, la valse;The Disintegrated Convict;;;Dora Brandes;;A Cracksman Santa Claus
;;;;;;;Broncho Billy's Wild Ride;;;;Another Demonstration of the Cliff-Guibert Fire Horse Reel, Showing a Young Girl Coming from an Office, Detaching Hose, Running with It 60 Feet, and Playing a Stream, All Inside of 30 Seconds;Maillane : la farandole, le pont;The Scholar's Breakfast;;;Nach dem Gesetz;;The Tattooed Arm
;;;;;;;Broncho Billy Wins Out;;;;A Morning Alarm;Maillane : la farandole de front;María Rosa;;;So Ends My Song;;The Bondage of Fear
;;;;;;;The Squatter's Gal;;;;Paris, rue de Castiglione;Fort-de-France : négrillons jouant sous les arbres;Andreas Hofer;;;Lilith und Ly;;The $2500 Bride
;;;;;;;Pie for Sophie;;;;The Cock Fight;Fort-de-France : femmes portant des corbeilles;Leichenbegängnis Dr. Luegers;;;So fallen die Lose des Lebens;;Indian Romeo and Juliet
;;;;;;;Broncho Billy and the Gambler;;;;Dance of the Seasons: Winter, Snow Dance;Carrosses de la cour. Fin du cortège;The New Gallants of the Park's Cowshop;;;Wo die Lerche singt;;The Stage Driver's Daughter
;;;;;;;Broncho Billy's Punishment;;;;The Boxing Kangaroo;Hussards et dragons;Faust;;;Die Rachegöttin;;The Strike at the Little Jonny Mine
;;;;;;;Broncho Billy's Jealousy;;;;Lion, London Zoological Gardens;Royal regiment d’artillerie;The Comet;;;Das Dreimäderlhaus;;The Tribe's Penalty
;;;;;;;Broncho Billy and the Mine Shark;;;;Arrival of the Peace Conference at Haarlem, 4 June 1899;Irish Guards. Scots Guards;Poison or Whiskey;;;The invisible thief;;The Little Doctor of the Foothills
;;;;;;;Broncho Billy's Duty;;;;Ronde enfantine;Armée indienne;西太后;;;Im Schuldbuch des Hasses;;The Black Riders
;;;;;;;Broncho Billy's Cunning;;;;The Seaforth Highlanders' Return to Cairo after the Fall of Omdurman and Khartoum;Bataillon Royal Irish Regiment;Le portrait de Mireille;;;Der müde Theodor;;Droppington's Devilish Deed
;;;;;;;Red Riding Hood of the Hills;;;;Mort de Charles Ier;Troupes coloniales;In the Sultan's Power;;;Der Cowboy;;The Plum Tree
;;;;;;;Broncho Billy's Leap;;;;Jérusalem : une rue;Cortège. Musique des Household et corps des volontaires;The Neighbors' Kids;;;Ein Lied von Haß und Liebe;;Woman Picking Up Skirt
;;;;;;;Broncho Billy's Close Call;;;;Clown and Police;Dranem's Dream;Automobile Races at Ormond, Fla.;;;Madeleine;;One on Romance
;;;;;;;Broncho Billy -- Gun-Man;;;;Tapping a Blast Furnace;Biskra : enfants indigènes ramassant des pièces de monnaie;Across the Subway Viaduct, New York;;;Jettchen Geberts Geschichte. 2. Henriette Jacoby;;Kit Carson's Wooing
;;;;;;;What Came to Bar Q;;;;Milan, place du Dôme;Entrée du “Charlemagne” à Bizerte;Jephtah's Daughter: A Biblical Tragedy;;;Jettchen Geberts Geschichte. 1. Jettchen Gebert;;The Ranger's Romance
;;;;;;;A Gamblers' Way;;;;Voltige;Revue du Bardo : délégations tunisiennes;"The Faithful Dog; or, True to the End";;;Der Alchimist;;We Can't Have Everything
;;;;;;;The Calling of Jim Barton;;;;The Inexhaustible Cab;Revue du Bardo : commencement du défilé. État-major. Pompiers;The Haunted Lounge;;;Der lebende Leichnam;;The Madcap Queen of Crona
;;;;;;;The Parson of Panamint;;;;Londres : entrée de Hyde Park;M. le président descendant l’escalier du Bardo;Celebration Held to Honour the 550 Years of the Imperial-Royal Privileged Corps of Municipal Sharp-Shooters in Prague;;;Todesurteil;;Frauen, die nicht heiraten sollten
;;;;;;;A Night on the Road;;;;Little Egypt;A Great Discovery;Le secret de la sorcière;;;Marodeure der Revolution;;Der Geheimnisvolle Nachtschatten
;;;;;;;The Hills of Peace;;;;Elopement on Horseback;Le cortège à Constantine;Bat Serpentine Dancer;;;Die Nackten. Ein sozialpolitischer Film;;Sammy's Scandalous Scheme
;;;;;;;Through Trackless Sands;;;;Stealing a Dinner;Défilé des chameaux avec les Bassours;Otello;;;Die Königstochter von Travankore;;The Sacred Flame
;;;;;;;A Snakeville Courtship;;;;Ramassage du linge;M. le président se rend au déjeuner en gare de Perrégaux;Starving Artist;;;Kismet;;The Cure That Failed
;;;;;;;The Trail of the Snake Band;;;;Bal d'enfants;M. le président se rendant au déjeuner à Sidi-Bel-Abbès;A Country Girl's Seminary Life and Experiences;;;Die Waffen der Jugend;;Lady Baffles and Detective Duck in When the Wets Went Dry
;;;;;;;A Romance of the Hills;;;;The Lover in the Bag;Arrivée de M. le président à Sidi-Bel-Abbès;First Night Out;;;Der geheimnisvolle Wanderer;;Place de la Concorde
;;;;;;;The Cowboy Samaritan;;;;Carmaux, chargement du coke;Arrivée de M. le président à Saint-Denis-du-Sig;Le Grand Prix de L'Automobile Club de France;;;Der Weg des Todes;;4628 meters high on skis - ascent of Monte Rosa
;;;;;;;Snakeville's New Doctor;;;;Akrobatisches Potpourri;Le cortège à Pointe-Pescade;Nick Carter: Episode 6 - The Bandits in Evening Dress;;;§ 14 BGB;;A Grid-Iron Hero
;;;;;;;The Land Just Over Yonder;;;;Ostriches;Le cortège à Chéragas;Nick Carter: Episode 5 - The Imprints;;;Seelen, die sich nachts begegnen;;Sein einziger Sohn
;;;;;;;The Three Gamblers;;;;Passage d'un tunnel en chemin de fer;M. le président au palais d’été, à Mustapha;Nick Carter: Episode 4 - The Bank Burglar;;;Am Amboß des Glücks;;Ready Money
;;;;;;;Broncho Billy Gets Square;;;;Chickens Scared by Torpedo;La remise des décorations;"Nick Carter: Episode 3 - The Coiners; or, Catching the Counterfeiters";;;Die Rothenburger;;Liberty
;;;;;;;Broncho Billy's Oath;;;;Apotheose;Arrivée à la revue d’Alger de la délégation anglaise;Nick Carter: Episode 2 - The Jewel Affair;;;The Flying Train;;Monsieur Pinson policier
;;;;;;;The Struggle;;;;Ploughing;M. le président montant à la tribune pour la revue;Svend Dyrings hus;;;Die Eisbraut;;Le Bon Juge
;;;;;;;The Redeemed Claim;;;;The Launch of H.M.S. Albion;M. le président au palais d’hiver;The Non-Stop Motor Bicycle;;;Das dunkle Schloß;;The Queen's Lancers: Charge [Spain]
;;;;;;;A Western Sister's Devotion;;;;The Mystic Swing;Le cortège;Three-Fingered Kate: The Episode of the Sacred Elephants;;;Gefangene Seele;;Two Daughters of Eve
;;;;;;;The Man in the Cabin;;;;Brooklyn, Fulton Street;Arrivée de M. le président sur le terrain de la revue à Alger;Three-fingered Kate - Her Victim the Banker;;;Homunculus;;What Happened to Jones
;;;;;;;The Sheriff's Baby;;;;Marble arch;Débarquement de M. le président à Alger;Three-Fingered Kate: Her Second Victim, the Art Dealer;;;Flottenmarsch;;Lola Montez
;;;;;;;The Tenderfoot Hero;;;;Revue à Longchamp : défilé du Génie;Ligne d’Alger à Koléa : le grand ravin;Lieutenant Rose and the Stolen Submarine;;;Seelenverkäufer;;Zwei Menschen
;;;;;;;The Tenderfoot Sheriff;;;;Les métamorphoses de Satan;Entrée des echasses;Lieutenant Rose and the Foreign Spy;;;Der letzte Zeuge;;The Devil
;;;;;;;Broncho Billy and the Express Rider;;;;How Bridget Served the Salad Undressed;Iphigénie en Tauride.;Lieutenant Rose and the Robbers of Fingall's Creek ;;;Das Bild der Mutter;;The Yellow Peril
;;;;;;;The Crazy Prospector;;;;The Corset Model;Little Tich de Folies Bergère;Madame de Langeais;;;Ein Kampf im Feuer;;Har De ikke set Cecilie?
;;;;;;;The Accusation of Broncho Billy;;;;Umberto and Margherita of Savoy Strolling Through the Park;Les Précieuses ridicules;La revista cielo centenario;;;Maita;;Mortmain
;;;;;;;Broncho Billy's Reason;;;;Le czar en France - défilé des troupes;Obseques de la Reine Victoria en 1901. Cortège funèbre de militaires “horse guards”.;Camila O'Gorman;;;Der Totentanz;;John Petticoats
;;;;;;;Broncho Billy's Way;;;;Carga de rurales;Javanese Dance;Facundo Quiroga;;;Fuzzy treibt dolle Dinge;;A Modern Knight
;;;;;;;Broncho Billy's Gratefulness;;;;Lassage d'un cheval sauvage;Le Maître de ballet;Macbeth;;;Hoffmanns Erzählungen;;Hate
;;;;;;;Broncho Billy's Sister;;;;Place de la Concorde (Obelisk and Fountains);Hamlet. William Shakespeare. Scène du duel jouée par Mme Sarah Bernhardt, M. Pierre Magnier et Mlle Suzanne Seylor;To Escape the Photographers;;;Von Stufe zu Stufe;;The Seducer
;;;;;;;Broncho Billy and the Squatter's Daughter;;;;Repas en famille;La poupée;Barn i kirke;;;Rund um die Welt in 2 Stunden;;To-Day
;;;;;;;The Influence on Broncho Billy;;;;Arrival of a Train at Vincennes Station;Danse Directoire;The Child as Benefactor;;;Der Eid des Stephan Huller;;He Only Wanted to Play with Dodo
;;;;;;;Broncho Billy and the Sheriff's Kid;;;;The Twins' Tea Party;Danse russe (du trio Natta);Peace Envoys at Portsmouth, N.H.;;;Heimat;;Camille
;;;;;;;Broncho Billy's Gun Play;;;;The Burning Stable;"Le gouverneur général se rendant à bord de ""La Tamise"" pour assister aux courses de régates";Female Wrestlers;;;Butter;;Loot
;;;;;;;Broncho Billy's Brother;;;;Children Digging for Clams;Torpedo Explosion;The Suicide Club;;;Vater und Sohn;;Two Men of Sandy Bar
;;;;;;;Broncho Billy and the Maid;;;;Washing Day in Switzerland;Vaulting Horse Display;Дедушка Мороз;;;Kadra Sâfa;;The Grip of Jealousy
;;;;;;;The Reward for Broncho Billy;;;;Steamship Arrival;Salvaging a Steamroller;Песнь про купца Калашникова;;;Die Glückspuppe;;The Grasshopper and the Ant
;;;;;;;Broncho Billy's Promise;;;;Mauvaises herbes;Ride on the Peak Tramway;A Western Maid;;;The Vampire;;The Silent Battle
;;;;;;;Broncho Billy's Love Affair;;;;La foule sur la place de l’Opéra;Crying and Laughing;The Heart of a Cowboy;;;Freier Dienst;;After the War
;;;;;;;Western Girls;;;;Pillow Fight, No. 2;Sieurins Bilder;The Spanish Girl;;;Kammermusik;;Twilight of the Heart
;;;;;;;Broncho Billy's Heart;;;;Défilé de jeunes filles au lycée;Demolishing a Factory Chimney;The Ranchman's Rival;;;Ferdinand Lassalle;;Le pique-nique d'Arthème
;;;;;;;Alkali Ike's Close Shave;;;;Giant Coal Dumper;Storm at Sandown I.O.W.;Judgment;;;Sarajevo, the Capital of Bosnia;;In Dutch
;;;;;;;An Indian's Friendship;;;;Uncle Josh in a Spooky Hotel;A Wreck in a Gale;The Best Man Wins;;;Das Irrlicht im Osten;;Trois familles
;;;;;;;The Ranch Girl's Trial;;;;McKinley at Home, Canton, Ohio;Waves Break on Bow of a Ship;A Maid of the Mountains;;;Vagabunden der Liebe;;A Bathtub Bandit
;;;;;;;An Indian Sunbeam;;;;Faust : apparition de Méphistophélès;Nipper runs amok!;The Black Sheep;;;Die Rache im Goldtal;;Bells and Belles
;;;;;;;Broncho Billy Outwitted;;;;Dreyfus Meets His Wife at Rennes;York Road Board School, Leeds;Ten Nights in a Barroom;;;Anita Jo;;Her Kingdom of Dreams
;;;;;;;The Ranchman's Trust;;;;Dreyfus Court Martial - Arrest Of Dreyfus;La Rue Des Nations, I;The Indian Trailer;;;Schatten der Nacht. Der Fall Duif;;Prunella
;;;;;;;Broncho Billy's Escapade;;;;Disques;Le Vieux Paris: Vue Prise En Bateau, II;A Mexican's Gratitude;;;Der siebente Kuß;;Rastus Among the Zulus
;;;;;;;Broncho Billy's Pal;;;;Cracovienne;Le château d'eau vu de la tour Eiffel;A Tale of the West;;;Vater und Sohn;;The Belle of New York
;;;;;;;A Moonshiner's Heart;;;;The Hanging of William Carr;Embarquement Dans Les Canots;The Road Agents;;;Vater wider Willen;;Their First Misunderstanding
;;;;;;;On the Cactus Trail;;;;Danse slave;Arles : farandoleurs dans les Arènes;Shanghaied;;;Die Liebe der Bajadere;;The Crutches
;;;;;;;Broncho Billy and the Indian Maid;;;;Romeo et Juliette;Course Landaise, I;Tag Day;;;Das Licht am Fenster;;The Christian Martyrs
;;;;;;;The Foreman's Cousin;;;;Départ de ballons au concours de Vincennes;Départ de la place du Gouvernement à Alger;The Life of an American Cowboy;;;Beach Rats;;Her Indian Hero
;;;;;;;Broncho Billy's Gratitude;;;;Cancan;Panorama du port d'Alger (suite du précédent);The Bandit Makes Good;;;Durchkreuzte Pläne;;The Marble Heart
;;;;;;;Western Hearts;;;;Clin d'éventail;La Sociedad Atlética en el Campo de Lamiako;The Baseball Fan;;;Lilli;;The Ransom of Red Chief
;;;;;;;A Child of the Purple Sage;;;;Baisers envolés;Une Joueuse Enragée;Western Justice;;;Der ledige Hof;;Two Memories
;;;;;;;On El Monte Ranch;;;;Nicholas Sisters Split Dance;Le coucher de la mariée;The Merry Widow;;;The Jewess of Toledo;;Parada Militar
;;;;;;;The Desert Sweetheart;;;;Faust and Mephistopheles;The Snowman;Fabians skovtur;;;En kunstners gennembrud;;The Most Beautiful Gift
;;;;;;;The Sheriff and His Man;;;;The Sprinkler Sprinkled;The Beggar's Deceit;Voleurs noctambules;;;Die Liebe vom Zigeunerstamm;;José de Diego's Excursion to Santo Domingo
;;;;;;;The Dead Man's Claim;;;;Pont du Mont-Blanc, Genève;State Entry into Delhi of Lord Curzon, the Viceroy;Mais dépêchez-vous donc!;;;Das Auge des Buddha;;Ein gefährliches Spiel
;;;;;;;Alkali Ike's Bride;;;;Animation sur la Marktplatz à Saint-Gall;King and Queen Visit Ireland;Les inconvénients du cinématographe;;;Alte Zeit, neue Zeit;;The Redemption of Red Rube
;;;;;;;Broncho Billy and the Bandits;;;;Circulation sur la Börsenplatz à Saint-Gall;Edward VII's Coronation;Le sacrifice;;;Die beiden Gatten der Frau Ruth;;The Secret Man
;;;;;;;The Indian and the Child;;;;Marché à Berne;Edward VII at Queen Victoria's Funeral;Le mystère de la montagne;;;Doctor Satanson;;The Tired Tailor's Dream
;;;;;;;Under Mexican Skies;;;;Montreux: panorama pris du funiculaire Territet - Glion;An Idyll Under a Tunnel;La bonne farce;;;Stapellauf des Imperator;;The Pickpocket -- A Chase Through London
;;;;;;;A Montana Mix-Up;;;;Panorama pris d'un train assurant la ligne Glion - Rochers-de-Naye;The Hindoo Fakir;J'ai gagné un cochon;;;Ein Matrosenabenteuer in Hamburg;;Alexander Karadjordjevic Visiting Bitola
;;;;;;;Broncho Billy and the Girl;;;;La fosse aux ours de Berne;Southampton High Street;Franco-British Exhibition;;;Halbe Unschuld;;A Funeral of a Metropolitan in Bitola
;;;;;;;A Road Agent's Love;;;;Cortège d'enfants à Aarau;Buster's Joke on Papa (II);The Tragic Corso;;;Flimmersterne;;The Religious Holiday All Souls’ Day
;;;;;;;An Arizona Escapade;;;;Deuxième cortège pour l'inauguration du Musée National Suisse;Buster's Joke on Papa (I);The Dreyfus Affair;;;Die weißen Rosen von Ravensberg;;The Celebration of St. Cyril and Methodius on the Main Street in Bitola
;;;;;;;The Deputy's Love Affair;;;;Premier cortège pour l'inauguration du Musée National Suisse;Muzaffaruddin Shah in celebration of Eid Gol;Commissionnaire par occasion;;;Die Geächteten;;Venise, arrivée en gondole
;;;;;;;The Sheriff's Adopted Child;;;;Cortège du centenaire, Place de la Riponne;Kruger's Dream of Empire;Cent francs à qui rapportera;;;Die Berliner Range. 1. Streich: Lotte als Schulschreck;;The Sacrifice
;;;;;;;The Bandit's Child;;;;Défilé dans la ville de Morat;Savage South Africa - Savage Attack and Repulse;Terreur en Russie;;;Der violette Tod;;Onésime Loves Animals
;;;;;;;The Smuggler's Daughter;;;;Cortège du Carnaval de Bâle, I;Sauts en hauteur;Rouget le braconnier;;;Der Weg, der zur Verdammnis führt, 2. Teil - Hyänen der Lust;;Onésime, You'll Get Married... or Else!
;;;;;;;The Ranch Girl's Mistake;;;;Cortège du Carnaval de Bâle, IV;Children Bathing;Roland und Viktoria;;;Der Dolch des Malayen;;Mercy, the Mummy Mumbled
;;;;;;;The Prospector's Legacy;;;;Scenes from the Orchard;Panorama of East Galveston;Les voleurs incendiaires;;;Der Meisterschuß;;Off the Trolley
;;;;;;;Alkali Ike's Love Affair;;;;Party at Algirós Way;Captain Deasy's Daring Drive, Descent;Les vieux marcheurs;;;Dämon und Mensch;;Mr. Bolter's Infatuation
