Griffith;Feuillade;Bauer;Sjostrom;Chaplin;Weber;Guy;Western;Terror;Scifi;Animacion;Origenes1;Origenes2;Origenes3;Italia;Dinamarca;Alemania;IGM;Todas
An Unseen Enemy;The Agony of Byzantium;Chuzhaya dusha;The Governor's Daughters;A Night in the Show;The Troubadour's Triumph;The Glue;The Little Doctor of the Foothills;Bluebeard;A Trip to Mars;Bewitched Matches;The Kiss;The Mermaid;Ben Hur;Nero, or The Fall of Rome;Sct. Clemensbro i Aarhus;4628 meters high on skis - ascent of Monte Rosa;On the Jump;The Arrival of a Train at La Ciotat
Those Awful Hats;L'engrenage;Lina's Adventure in Sochi;Guilt Redeemed;Sunnyside;The People vs. John Doe;Pierrette's Escapades;Kit Carson's Wooing;The Sealed Room;Alraune and the Golem;The Faithful Furniture;Traffic Crossing Leeds Bridge;Electrocuting an Elephant;The Consequences of Feminism;The War and the Dream of Momi;The Ballet Dancer;Sein einziger Sohn;Functional-motor stimulus and paralysis in war participants and their healing through suggestion in hypnosis;The Tramp
The Sealed Room;Vendémiaire;Lina under Examination, or the Turbulent Corpse;Judge Not;Mabel at the Wheel;Fine Feathers;Dranem Performs The True Jiu-Jitsu;The Ranger's Romance;The Avenging Conscience;Alraune, die Henkerstochter, genannt die rote Hanne;The Dinosaur and the Missing Link: A Prehistoric Tragedy;The Vanishing Lady;Grandma's Reading Glass;Humorous Phases of Funny Faces;Nelly, the Tamer;Lion Hunting;Lola Montez;Transport of the U.T. Visitors' Christmas Warrior Donations;Workers Leaving the Lumière Factory
The Avenging Conscience;André Chénier;The Pearl Necklace;The Miracle;A Burlesque on Carmen;Discontent;The Ocean Waif;A Modern Knight;The Haunted Castle;The Flying Torpedo;A Grid-Iron Hero;A Nightmare;Uncle Tom's Cabin;Those Awful Hats;Lolita;Den sorte Domino;Zwei Menschen;Dík válečného sirotka;The Vampires or, The Arch Criminals of Paris
Edgar Allan Poe;The Seneschal's Diamond;Only Once a Year;The Voice of Passion;The Champion;When a Girl Loves;Cook & Rilly's Trained Rooster;Two Men of Sandy Bar;Dr. Jekyll and Mr. Hyde;Dr. Jekyll and Mr. Hyde;He Only Wanted to Play with Dodo;The One-Man Band;The Monster;The Electric Hotel;Il circolo nero;Kean;The Yellow Peril;Women’s Munition Work;Constantine
The Battle at Elderbush Gulch;Tih Minh;Cold Showers;His Lord's Will;Work;The Pursuit of Hate;Surprise Attack on a House at Daybreak;Her Indian Hero;After Death;The Airship Destroyer;Monsieur Clown Among the Lilliputians;Demolition of a Wall;What Happened on Twenty-Third Street, New York City;Rescued from an Eagle's Nest;The Golden Wedding;Poor Karin;Hate;Jeunes filles d'hier et d'aujourd'hui;Alice in Wonderland
Enoch Arden;The Secret of Forçat;The Alarm;The Sea Vultures;His New Job;The Flirt;L'utilité des rayons x;The Ransom of Red Chief;The Treasures of Satan;That Fatal Sneeze;Bébé's Masterpieces;Monkeyshines, No. 1;Gulliver's Travels Among the Lilliputians and the Giants;The Living Playing Cards;Jenny;For a Woman's Sake;The Most Beautiful Gift;Pour le pays;Fantasmagorie
The Massacre;Bébé fait du spiritisme;First Love;;In the Park;The Price;A House Divided;The Secret Man;Portrait;Die Arche. 2. Teil: Die letzten Menschen;The Persistent Salesman;Going to Bed Under Difficulties;The Enchanted Drawing;The Hilarious Posters;Robinet: Cyclist;Bokserparodi;Ein gefährliches Spiel;The Intrigue;The Cabbage-Patch Fairy
The Unchanging Sea;Les Etrennes de Bout-de-Zan;Zagadochnyy mir;;A Woman;The Merchant of Venice;Wonderful Absinthe;The Boss of the Rancho;The Devil and the Statue;The Tunnel;Krazy and Ignatz Discuss the Letter 'G';Dickson Experimental Sound Film;The Prince of Magicians;The Eclipse: Courtship of the Sun and Moon;Brutus;Kampen om Kvinden;The Unemployed Photographer;Les fiancés de 1914;The Adventurer
A Romance of Happy Valley;The Illustrious Madman;Wicked Night;;Caught in a Cabaret;Betty in Search of a Thrill;"Dranem Performs ""Five O'Clock Tea""";The Struggle;Faust and Mephistopheles;The End of the World;Policy and Pie;Blacksmith Scene;The Countryman and the Cinematograph;The Sealed Room;Il principe Zilah;Den lille Virtuos;The Plague in Florence;The Little Tin Soldiers;A Day's Pleasure
His Trust;Le Noël du poilu;Life in Death;;Shanghaied;It's No Laughing Matter;In the Year 2000;Knight of the Trail;Mortmain;Life Without Soul;Mary and Gretel;Man Walking Around a Corner;The Sick Kitten;The Red Spectre;Leone XIII;The Grass Widower;Klebolin Sticks to Everything;A Page of Glory;The Four Troublesome Heads
The Miser's Heart;The Defect;The Moon Beauty;;Police;A Heroine of '76;"Polin Performs ""The Anatomy of a Draftee""";The New Schoolmarm of Green River;The Plague in Florence;The Electric Girl;R.F.D. 10,000 B.C.;After the Ball;The Terrible Eruption of Mount Pelee and Destruction of St. Pierre, Martinique;The Capture of Roma;The Faun;The End of the World;A Romany Spy;Marraines de France;Gertie the Dinosaur
The Adventures of Dollie;Fantômas contre Fantômas;Her Heroic Feat;;Mabel's Married Life;The Spider and Her Web;A Sticky Woman;The Gun Woman;The Mysterious Retort;The End of the Homunculus;How Plimps and Plumps Fooled the Detective;Snowball Fight;Bluebeard;Edgar Allan Poe;Malombra;Money;Games of Youth;Belgian Campaigns in Africa;The Musketeers of Pig Alley
Enoch Arden;The Margrave's Daughter;Leon Drey;;A Night Out;A Cigarette - That's All;Serpentine Dance by Mme. Bob Walter;Hell Bent;Dr. Jekyll and Mr. Hyde;The Revenge of the Homunculus;Out of the Inkwell;The Photographical Congress Arrives in Lyon;Let Me Dream Again;The '?' Motorist;The Fire;Det gaadefulde Væsen;The Right To Exist;La reéducation professionnelle des mutilées de la guerre en France;The Vagabond
The Country Doctor;The Heart and the Money;Song of Triumphant Love;;Mabel's Strange Predicament;False Colors;The Tango;The Mystery of Lonely Gulch;The Love Tragedy of the Homunculus;Turn-of-the-Century Surgery;L'Homme Machine;Buffalo Running;The Living Playing Cards;The Palace of the Arabian Nights;By the Cross;Det blaa Blod;The Suffragette;Umanità;Kid Auto Races at Venice
The Burglar’s Dilemma;The Dwarf;Glory to Us, Death to the Enemy;;The Rounders;Eyes That See Not;Matrimony's Speed Limit;A Marked Man;The Ghost Breaker;The Inventor Crazybrains and His Wonderful Airship;The Lily of Belgium;Cordeliers' Square in Lyon;Eight Girls in a Barrel;New York Subway;Snowball Fight;Den mystiske selskabsdame;In Night and Ice;Michel and Viktoria;Behind the Screen
The School Teacher and the Waif;Tragic Error;The Happiness of Eternal Night;;The Count;Home;The Birth, the Life and the Death of Christ;The Navajo's Bride;The Doll's Revenge;The Artificial Man;Dreams of Toyland;A Terrible Night;Demolishing and Building Up the Star Theatre;"Princess Nicotine; or, The Smoke Fairy";Dante's Inferno;Hendes Helt;Das Gelübde der Keuschheit;Our Homeland's Trenches;Sallie Gardner at a Gallop
