Votos;url_peli;Id_peli;Titulo;Popularidad;Rating;Fecha;Duracion;Pais;Idioma;Presupuesto;Ganancia;Generos;Director;Genero_dir;Casting;Guion;Montaje;DOP;Resumen
2;/film/elephant/;37055;Elephant;6.134;6.4;1989-02-13;38;United Kingdom;en;0.0;0.0;['Crime', 'Drama', 'TV Movie'];['Alan Clarke'];[2];"['Gary Walker', 'Bill Hamilton', 'Michael Foyle', 'Danny Small', 'Robert J. Taylor', 'Joe Cauley', 'Noel McGee', 'Patrick Condren', 'Andrew Downs', 'Terry Doyle', 'Michael Liebmann', 'Gavin Bloomer', 'Barry Brent', 'Paul Nemeer', 'Sam Doyle', 'Burt Murray', 'Tim Loane', 'Kenny Harris', 'Paddy Rocks', 'Ken McIlroy', 'Hamish Fyfe', 'Trevor Moore', 'William Walker', 'Brian Giffen', 'Billy Dee', 'Michael Fieldhouse', 'William McAllister', 'Stephen Potter', 'David McDade', ""Mark O'Donnell"", 'James Moore', 'Mike Maxwell', 'Michael Magee', 'Nigel Craig', 'Liam Hefferon', 'B.J. Hogg', 'Bobby Stinton', 'Dave Bustard', 'Brian MacGabhann', 'David Smyth', 'Niall McLean', 'Alan Craig']";[];"[""Don O'Donovan""]";['John Ward', 'Philip Dawson'];A depiction of a series of violent killings in Northern Ireland.
2;/film/ethel-ernest/;413770;Ethel & Ernest;8.011000000000001;7.286;2016-10-15;94;United Kingdom;en;0.0;0.0;['Animation', 'Drama', 'War'];['Roger Mainwood'];[2];['Jim Broadbent', 'Brenda Blethyn', 'Luke Treadaway', 'Roger Allam', 'Virginia McKenna', 'Peter Wight', 'Pam Ferris', 'Simon Day', 'Raymond Briggs', 'June Brown', 'Harry Collett', 'Gillian Hanna', 'Alex Jordan', 'Duncan Wisbey', 'Macready Massey', 'Karyn Claydon'];['Roger Mainwood'];['Richard Overall'];[];This hand drawn animated film, based on the award winning graphic novel by Raymond Briggs, is an intimate and affectionate depiction of the life and times of his parents, two ordinary Londoners living through extraordinary events.
2;/film/every-song-is-about-me/;89734;Every Song Is About Me;1.886;6.3;2010-12-19;107;Spain;en;0.0;0.0;['Comedy', 'Romance'];['Jonás Trueba'];[2];['Oriol Vila', 'Bárbara Lennie', 'Ángela Cremonte', 'Ramon Fontserè', 'Miriam Giovanelli'];['Jonás Trueba'];[];[];"Film that revolves around the theme of love, but this time under the premise of a boy who tries to forget a girl, a story far more difficult to bear, especially when the girl you just separated from comes back again in each of the memories of your past and you feel that ""all the love songs talk about me"""
2;/film/everybody-wants-some/;295699;Everybody Wants Some!!;12.773;6.355;2016-03-30;116;United States of America;en;10000000.0;3400278.0;['Comedy'];['Richard Linklater'];[2];['Blake Jenner', 'Zoey Deutch', 'Ryan Guzman', 'Tyler Hoechlin', 'J. Quinton Johnson', 'Glen Powell', 'Wyatt Russell', 'Will Brittain', 'Austin Amelio', 'Temple Baker', 'Tanner Kalina', 'Juston Street', 'Forrest Vickery', 'Jonathan Breck', 'Dora Madison', 'Celina Chapin', 'Shailaun Manning', 'Lynden Orr', 'Zoey Brooks', 'Asjha Cooper', 'Olivia Griswald', 'Anna Vanston', 'Michael Monsour', 'Sophia Ali', 'Courtney Tailor', 'Taylor Ashley Murphy', 'Christina Burdette', 'Ernest James', 'Jason Liebrecht', 'Justin Alexio', 'Laura Ritz', 'Tess Cline', 'Adriene Mishler', 'Beau Smith', 'Mike Wiebe', 'Fadi El-Assad', 'Ian Walling', 'Robert Marchant', 'Ian MacDougall', 'Jenna Saab', 'Lauren Hale', 'Kay Epperson', 'Tory Taranova', 'Jessi Mechler', 'Katherine Sutton', 'Blaire Clause', 'Devin Bonnée', 'Kaleb King', 'Charlie', 'Deborah Alcorn', 'Vanessa Amaya', 'Matt Blackwell', 'Sadie Brook', 'Alyssa Bryer', 'Kyla Burke', 'Nicholas Cristian Clark', 'Julie Cude-Eaton', 'Bonnie Gayle', 'Chelsey Gentry', 'Holly Jee', 'Caitlyn Moore', 'Alexandria Payne', 'Lizzy Pop Muro', 'Cyndy Powell', 'Rene Rhi', 'Cecilia L. Salinas', 'Diane Selken', 'Angela Simmons-Morgan', 'Paula Marcenaro Solinger', 'Stan Taylor'];[];['Sandra Adair'];['Shane F. Kelly'];A comedy that follows a group of friends as they navigate their way through the freedoms and responsibilities of unsupervised adulthood.
2;/film/everybodys-woman/;120972;Everybody's Woman;1.945;6.9;1934-01-01;97;Italy;it;0.0;0.0;['Drama'];['Max Ophüls'];[2];['Isa Miranda', 'Memo Benassi', 'Tatyana Pavlova', 'Friedrich Benfer', 'Franco Coop', 'Lamberto Picasso', 'Nelly Corradi', 'Mario Ferrari', 'Gildo Bocci', 'Andrea Checchi', 'Achille Majeroni', 'Alfredo Martinelli'];['Max Ophüls', 'Hans Wilhelm', 'Curt Alexander'];['Ferdinando Maria Poggioli'];[];Gaby is expelled from school after a married teacher commits suicide after telling her he can't live without her. Though she has done nothing, she is punished for his act.
2;/film/faces-1968/;753;Faces;13.477;7.2;1968-11-24;130;United States of America;en;275000.0;0.0;['Drama'];['John Cassavetes'];[2];['John Marley', 'Gena Rowlands', 'Lynn Carlin', 'Fred Draper', 'Seymour Cassel', 'Val Avery', 'Dorothy Gulliver', 'Joanne Moore Jordan', 'Darlene Conley', 'Gene Darfler', 'Elizabeth Deering', 'George Dunn', 'Laurie Mock', 'Christina Crawford', 'George Sims', 'Ann Shirley', 'Dave Mazzie', 'Anita White', 'Julie Gambol', 'Edwin Sirianni', 'Liz Satriano', 'Jerry Howard', 'David Rowlands', 'Carolyn Fleming', 'James Bridges', 'Kay Michaels', 'Don Kraatz', 'John Hale', 'Midge Ware', 'Charles Akins', 'Nancy E. Barr', 'Don Siegel'];[];['John Cassavetes', 'Maurice McEndree', 'Al Ruban'];['Haskell Wexler', 'Maurice McEndree', 'Al Ruban'];Middle-aged suburban husband Richard abruptly tells his wife, Maria, that he wants a divorce. As Richard takes up with a younger woman, Maria enjoys a night on the town with her friends and meets a younger man. As the couple and those around them confront a seemingly futile search for what they've lost -- love, excitement, passion -- this classic American independent film explores themes of aging and alienation.
2;/film/fake-fruit-factory/;150711;Fake Fruit Factory;1.4;5.5;1986-12-31;22;Mexico;en;0.0;0.0;['Documentary'];['Chick Strand'];[1];[];[];[];[];Intimate documentary about young women who make papier mache fruit and vegetables in a small factory in Mexico. They have a gringo boss, but the factory is owned by his Mexican wife. The focus of the film is on the color, music and movement involved, and the gossip which goes on constantly, revealing what the young women think about men.
2;/film/fallen-angels/;11220;Fallen Angels;22.387;7.7;1995-09-06;98;Hong Kong;cn;0.0;0.0;['Action', 'Romance', 'Crime'];['Wong Kar-wai'];[2];['Leon Lai', 'Charlie Yeung', 'Takeshi Kaneshiro', 'Karen Mok', 'Michelle Reis', 'Chan Man-Lei', 'Toru Saito', 'Benz Kong To-Hoi', 'Chan Fai-hung', 'Kwan Lee-na', 'Wu Yuk-Ho'];['Wong Kar-wai'];['William Chang', 'Wong Ming-Lam'];['Christopher Doyle'];Two tales of crimes intertwine in present-day Hong Kong.
2;/film/femmes-femmes/;257698;Femmes femmes;1.669;7.0;1974-11-27;115;France;fr;0.0;0.0;['Comedy', 'Drama'];['Paul Vecchiali'];[2];['Hélène Surgère', 'Sonia Saviange', 'Huguette Forge', 'Michel Delahaye', 'Noël Simsolo', 'Charles Level', 'Jean-Claude Guiguet', 'Jean Pommier', 'Dominique Erlanger', 'Michel Duchaussoy', 'Marcel Gassouk', 'Liza Braconnier', 'Claire Versane', 'Henri Courseaux', 'Séverine Vincent'];['Noël Simsolo', 'Paul Vecchiali'];['Paul Vecchiali'];['Georges Strouvé'];The fantasies and dreams of two over-the-hill actresses are intertwined with their realities, as the two roommates struggle to survive their day-to-day lives in the expensive and difficult world of Paris.
2;/film/film/;45592;Film;2.595;6.942;1965-09-04;20;United States of America;en;0.0;0.0;['Drama'];['Alan Schneider'];[2];['Buster Keaton', 'Nell Harrison', 'James Karen', 'Susan Reed'];[];['Sidney Meyers'];['Boris Kaufman'];A man attempts to evade observation by an all-seeing eye.
