,Pos,Titulo,Anio,url_peli,url,Puntos
49,25,Nerves,1919,/film/nerves/,https://letterboxd.com/Paula_Arantzazu/list/tft1919/detail,1
50,1,Anniversary of the Revolution,1918,/film/anniversary-of-the-revolution/,https://letterboxd.com/Ruben0/list/tft1919/detail,5
51,2,Washerwomen on the River,1897,/film/washerwomen-on-the-river/,https://letterboxd.com/Ruben0/list/tft1919/detail,4
52,3,Workers Leaving the Lumière Factory,1895,/film/workers-leaving-the-lumiere-factory/,https://letterboxd.com/Ruben0/list/tft1919/detail,4
53,4,Shoes,1916,/film/shoes/,https://letterboxd.com/Ruben0/list/tft1919/detail,4
54,5,The Consequences of Feminism,1906,/film/the-consequences-of-feminism/,https://letterboxd.com/Ruben0/list/tft1919/detail,3
55,6,A Corner in Wheat,1909,/film/a-corner-in-wheat/,https://letterboxd.com/Ruben0/list/tft1919/detail,3
56,7,Литературно-инструкторский агитпароход ВЦиК «Красная Звезда»,1919,/film/film:625960/,https://letterboxd.com/Ruben0/list/tft1919/detail,3
57,8,"Alice Guy Films a 'Phonoscène' in the Studio at Buttes-Chaumont, Paris",1907,/film/alice-guy-films-a-phonoscene-in-the-studio-at-buttes-chaumont-paris/,https://letterboxd.com/Ruben0/list/tft1919/detail,3
58,9,Workers Exit from the Confiança Shirt Factory,1896,/film/workers-exit-from-the-confianca-shirt-factory/,https://letterboxd.com/Ruben0/list/tft1919/detail,3
59,10,"Sortie de la briqueterie Meffre et Bourgoin, à Hanoï",1899,/film/sortie-de-la-briqueterie-meffre-et-bourgoin-a-hanoi/,https://letterboxd.com/Ruben0/list/tft1919/detail,2
60,11,Workers Repairing a Sidewalk with Bitumen,1898,/film/workers-repairing-a-sidewalk-with-bitumen/,https://letterboxd.com/Ruben0/list/tft1919/detail,2
61,12,Girls Taking Time Checks,1904,/film/girls-taking-time-checks/,https://letterboxd.com/Ruben0/list/tft1919/detail,2
62,13,Les mines de charbon de Hon Gay,1899,/film/les-mines-de-charbon-de-hon-gay/,https://letterboxd.com/Ruben0/list/tft1919/detail,2
63,14,The Brain of Soviet Russia,1919,/film/the-brain-of-soviet-russia/,https://letterboxd.com/Ruben0/list/tft1919/detail,2
64,15,Hypocrites,1915,/film/hypocrites/,https://letterboxd.com/Ruben0/list/tft1919/detail,2
65,16,South,1919,/film/south/,https://letterboxd.com/Ruben0/list/tft1919/detail,2
66,17,The Birth of a Flower,1910,/film/the-birth-of-a-flower/,https://letterboxd.com/Ruben0/list/tft1919/detail,1
67,18,Spirochoeta pallida (de la syphilis),1910,/film/spirochoeta-pallida-de-la-syphilis/,https://letterboxd.com/Ruben0/list/tft1919/detail,1
68,19,Solar Eclipse,1900,/film/solar-eclipse-1900/,https://letterboxd.com/Ruben0/list/tft1919/detail,1
69,20,Passage of Venus,1874,/film/passage-of-venus/,https://letterboxd.com/Ruben0/list/tft1919/detail,1
70,21,The Electric Hotel,1908,/film/the-electric-hotel/,https://letterboxd.com/Ruben0/list/tft1919/detail,1
71,22,The Cameraman's Revenge,1912,/film/the-cameramans-revenge/,https://letterboxd.com/Ruben0/list/tft1919/detail,1
72,23,Fantasmagorie,1908,/film/fantasmagorie/,https://letterboxd.com/Ruben0/list/tft1919/detail,1
73,24,The Impossible Voyage,1904,/film/the-impossible-voyage/,https://letterboxd.com/Ruben0/list/tft1919/detail,1
74,25,Rochers de la vierge (Biarritz),1896,/film/rochers-de-la-vierge-biarritz/,https://letterboxd.com/Ruben0/list/tft1919/detail,1
75,1,Judex,1916,/film/judex/,https://letterboxd.com/Ivan_Suarez/list/tft1919/detail,5
76,2,A Corner in Wheat,1909,/film/a-corner-in-wheat/,https://letterboxd.com/Ivan_Suarez/list/tft1919/detail,4
77,3,The Dying Swan,1917,/film/the-dying-swan/,https://letterboxd.com/Ivan_Suarez/list/tft1919/detail,4
78,4,Suspense.,1913,/film/film:85271/,https://letterboxd.com/Ivan_Suarez/list/tft1919/detail,4
79,5,A Trip to the Moon,1902,/film/a-trip-to-the-moon/,https://letterboxd.com/Ivan_Suarez/list/tft1919/detail,3
80,6,Broken Blossoms,1919,/film/broken-blossoms-1919/,https://letterboxd.com/Ivan_Suarez/list/tft1919/detail,3
81,7,The Mothering Heart,1913,/film/the-mothering-heart/,https://letterboxd.com/Ivan_Suarez/list/tft1919/detail,3
82,8,"The Vampires or, The Arch Criminals of Paris",1915,/film/the-vampires-or-the-arch-criminals-of-paris/,https://letterboxd.com/Ivan_Suarez/list/tft1919/detail,3
