Title,Year,Review
Intolerance: Love's Struggle Throughout the Ages,1916,159 puntos con 44 menciones
"The Vampires or, The Arch Criminals of Paris",1915,124 puntos con 38 menciones
The President,1919,112 puntos con 42 menciones
Broken Blossoms,1919,104 puntos con 33 menciones
A Corner in Wheat,1909,90 puntos con 36 menciones
A Man There Was,1917,87 puntos con 34 menciones
J'accuse,1919,87 puntos con 31 menciones
Shoes,1916,77 puntos con 31 menciones
The Unchanging Sea,1910,74 puntos con 30 menciones
The Outlaw and His Wife,1918,73 puntos con 28 menciones
Washerwomen on the River,1897,68 puntos con 24 menciones
True Heart Susie,1919,64 puntos con 22 menciones
Enoch Arden,1911,63 puntos con 24 menciones
Suspense.,1913,58 puntos con 22 menciones
The Good Bad Man,1916,57 puntos con 27 menciones
After Death,1915,56 puntos con 26 menciones
Ingeborg Holm,1913,53 puntos con 20 menciones
A Dog's Life,1918,49 puntos con 26 menciones
The Dying Swan,1917,48 puntos con 21 menciones
The Birth of a Flower,1910,47 puntos con 20 menciones
Satan's Rhapsody,1917,45 puntos con 25 menciones
The Doll,1919,42 puntos con 23 menciones
Tih Minh,1918,42 puntos con 12 menciones
A Trip to the Moon,1902,41 puntos con 23 menciones
Sir Arne's Treasure,1919,41 puntos con 18 menciones
The Immigrant,1917,37 puntos con 20 menciones
Fantômas,1913,37 puntos con 16 menciones
The Oyster Princess,1919,34 puntos con 15 menciones
Judex,1916,34 puntos con 13 menciones
Straight Shooting,1917,33 puntos con 16 menciones
The Cameraman's Revenge,1912,33 puntos con 15 menciones
Blind Husbands,1919,32 puntos con 17 menciones
Behind the Door,1919,32 puntos con 15 menciones
The Birth of a Nation,1915,31 puntos con 16 menciones
Germinal,1913,31 puntos con 10 menciones
New York Subway,1905,29 puntos con 16 menciones
The Country Doctor,1909,29 puntos con 15 menciones
The Half-Breed,1916,25 puntos con 15 menciones
The Great Train Robbery,1903,25 puntos con 13 menciones
Hypocrites,1915,25 puntos con 12 menciones
Dante's Inferno,1911,24 puntos con 12 menciones
Workers Leaving the Lumière Factory,1895,24 puntos con 10 menciones
The Consequences of Feminism,1906,24 puntos con 9 menciones
The Electric Hotel,1908,22 puntos con 13 menciones
"The Beauties of Italy, Triptych of Picturesque Views",1911,22 puntos con 10 menciones
"Monkeyshines, No. 1",1890,22 puntos con 9 menciones
Le village de Namo - Panorama pris d'une chaise à porteurs,1900,21 puntos con 11 menciones
The Mysterious X,1914,21 puntos con 11 menciones
Boat Leaving the Port,1895,21 puntos con 10 menciones
Anniversary of the Revolution,1918,21 puntos con 9 menciones
Falling Leaves,1912,20 puntos con 13 menciones
Solar Eclipse,1900,20 puntos con 10 menciones
The Regeneration,1915,18 puntos con 13 menciones
The Blue Bird,1918,18 puntos con 10 menciones
Serpentine Dance,1897,18 puntos con 8 menciones
Passage of Venus,1874,17 puntos con 10 menciones
The Big Swallow,1901,16 puntos con 9 menciones
Living Sculptures: Film Study for Screen Artist,1903,16 puntos con 8 menciones
The Arrival of a Train at La Ciotat,1897,16 puntos con 8 menciones
One A.M.,1916,15 puntos con 7 menciones
Banks of the Nile,1911,13 puntos con 8 menciones
The Child of Paris,1913,13 puntos con 8 menciones
Blind Justice,1916,13 puntos con 7 menciones
Shoulder Arms,1918,13 puntos con 7 menciones
Song of the Scarlet Flower,1919,13 puntos con 7 menciones
The Mender of Nets,1912,13 puntos con 6 menciones
Twilight of a Woman's Soul,1913,12 puntos con 6 menciones
Something Good — Negro Kiss,1898,12 puntos con 5 menciones
Vendémiaire,1918,12 puntos con 4 menciones
The House of Ghosts,1907,11 puntos con 6 menciones
Snowball Fight,1897,11 puntos con 5 menciones
The Avenging Conscience,1914,11 puntos con 5 menciones
The Kingdom of the Fairies,1903,11 puntos con 5 menciones
Lines of White on a Sullen Sea,1909,10 puntos con 7 menciones
Demolition of a Wall,1896,10 puntos con 6 menciones
Ball Passing Through a Soap Bubble,1904,10 puntos con 5 menciones
Child of the Big City,1914,10 puntos con 5 menciones
Different from the Others,1919,10 puntos con 3 menciones
The Flying Train,1902,9 puntos con 6 menciones
Spirochoeta pallida (de la syphilis),1910,9 puntos con 5 menciones
The Student of Prague,1913,9 puntos con 5 menciones
For Happiness,1917,9 puntos con 4 menciones
The Clay Industry in Sicily,1910,9 puntos con 4 menciones
"Alice Guy Films a 'Phonoscène' in the Studio at Buttes-Chaumont, Paris",1907,9 puntos con 3 menciones
Indochina: Children Gathering Coins Scattered by Western Women,1899,9 puntos con 3 menciones
The Kiss in the Tunnel,1899,8 puntos con 5 menciones
Cabiria,1914,8 puntos con 4 menciones
Panorama du grand Canal pris d'un bateau,1896,8 puntos con 3 menciones
Sons of Ingmar,1919,8 puntos con 3 menciones
Alice in Wonderland,1903,8 puntos con 2 menciones
Easy Street,1917,7 puntos con 5 menciones
