Title,Year,Review
Taipei Story,1985,11 puntos con 5 menciones
Taxi Driver,1976,11 puntos con 5 menciones
The Apartment,1960,11 puntos con 5 menciones
There's Always Tomorrow,1955,11 puntos con 5 menciones
Cemetery of Splendor,2015,11 puntos con 4 menciones
Signs,2002,11 puntos con 4 menciones
The Texas Chain Saw Massacre,1974,11 puntos con 4 menciones
Woman in the Dunes,1964,11 puntos con 4 menciones
From the Notebook of...,1971,11 puntos con 3 menciones
History Is Made at Night,1937,11 puntos con 3 menciones
Seven Samurai,1954,11 puntos con 3 menciones
PlayTime,1967,10 puntos con 7 menciones
To Be or Not to Be,1942,10 puntos con 7 menciones
Hovering Over the Water,1986,10 puntos con 6 menciones
Carlito's Way,1993,10 puntos con 5 menciones
Enthusiasm,1930,10 puntos con 5 menciones
The Aviator's Wife,1981,10 puntos con 5 menciones
A Tale of Winter,1992,10 puntos con 4 menciones
Pather Panchali,1955,10 puntos con 4 menciones
Sorcerer,1977,10 puntos con 4 menciones
The Brown Bunny,2003,10 puntos con 4 menciones
The Crucified Lovers,1954,10 puntos con 4 menciones
Wavelength,1967,10 puntos con 4 menciones
Army of Shadows,1969,10 puntos con 3 menciones
Broken Blossoms,1919,10 puntos con 3 menciones
Children of the Beehive,1948,10 puntos con 3 menciones
Germany Year Zero,1948,10 puntos con 3 menciones
Goodbye to Language,2014,10 puntos con 3 menciones
Night Function,1981,10 puntos con 3 menciones
Our Music,2004,10 puntos con 3 menciones
The Docks of New York,1928,10 puntos con 3 menciones
From the Clouds to the Resistance,1979,9 puntos con 5 menciones
They Live by Night,1948,9 puntos con 5 menciones
Tokyo Twilight,1957,9 puntos con 5 menciones
A Woman Under the Influence,1974,9 puntos con 4 menciones
Andrei Rublev,1966,9 puntos con 4 menciones
I Walked with a Zombie,1943,9 puntos con 4 menciones
La Belle Noiseuse,1991,9 puntos con 4 menciones
Millennium Mambo,2001,9 puntos con 4 menciones
Porco Rosso,1992,9 puntos con 4 menciones
Two-Lane Blacktop,1971,9 puntos con 4 menciones
A Moment of Innocence,1996,9 puntos con 3 menciones
Paranoid Park,2007,9 puntos con 3 menciones
The Ascent,1977,9 puntos con 3 menciones
The Exterminating Angel,1962,9 puntos con 3 menciones
The Incredible Shrinking Man,1957,9 puntos con 3 menciones
The Young Girls of Rochefort,1967,9 puntos con 3 menciones
A Day in the Country,1946,9 puntos con 2 menciones
Monsieur Verdoux,1947,9 puntos con 2 menciones
Cure,1997,8 puntos con 5 menciones
Strange Days,1995,8 puntos con 5 menciones
Window Water Baby Moving,1959,8 puntos con 5 menciones
Dersu Uzala,1975,8 puntos con 4 menciones
Design for Living,1933,8 puntos con 4 menciones
Heaven's Gate,1980,8 puntos con 4 menciones
L'Argent,1983,8 puntos con 4 menciones
M,1931,8 puntos con 4 menciones
Notorious,1946,8 puntos con 4 menciones
