,Pos,Titulo,Anio,url,Puntos
65,16,L'Eclisse,1962,https://letterboxd.com/rafaqc97/list/top-filmtuiter/detail,2
66,17,The Aviator's Wife,1981,https://letterboxd.com/rafaqc97/list/top-filmtuiter/detail,1
67,18,Johnny Guitar,1954,https://letterboxd.com/rafaqc97/list/top-filmtuiter/detail,1
68,19,Faust,1926,https://letterboxd.com/rafaqc97/list/top-filmtuiter/detail,1
69,20,The Green Ray,1986,https://letterboxd.com/rafaqc97/list/top-filmtuiter/detail,1
70,21,Hiroshima Mon Amour,1959,https://letterboxd.com/rafaqc97/list/top-filmtuiter/detail,1
71,22,North by Northwest,1959,https://letterboxd.com/rafaqc97/list/top-filmtuiter/detail,1
72,23,Céline and Julie Go Boating,1974,https://letterboxd.com/rafaqc97/list/top-filmtuiter/detail,1
73,24,Vertigo,1958,https://letterboxd.com/rafaqc97/list/top-filmtuiter/detail,1
74,25,Mulholland Drive,2001,https://letterboxd.com/rafaqc97/list/top-filmtuiter/detail,1
75,1,Persona,1966,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,5
76,2,Stalker,1979,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,4
77,3,L'Eclisse,1962,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,4
78,4,My Night at Maud's,1969,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,4
79,5,The Man Who Shot Liberty Valance,1962,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,3
80,6,Brief Encounter,1945,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,3
81,7,Tokyo Story,1953,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,3
82,8,Vertigo,1958,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,3
83,9,Design for Living,1933,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,3
84,10,Werckmeister Harmonies,2000,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,2
85,11,Scarlet Street,1945,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,2
86,12,My Darling Clementine,1946,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,2
87,13,Sansho the Bailiff,1954,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,2
88,14,Mulholland Drive,2001,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,2
89,15,The Ghost and Mrs. Muir,1947,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,2
90,16,Ryan's Daughter,1970,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,2
91,17,Last Year at Marienbad,1961,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,1
92,18,Scenes from a Marriage,1974,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,1
93,19,The Passion of Joan of Arc,1928,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,1
94,20,A Man Escaped,1956,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,1
95,21,Eyes Wide Shut,1999,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,1
96,22,Friday Night,2002,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,1
97,23,Yearning,1964,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,1
98,24,Jules and Jim,1962,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,1
99,25,Viridiana,1961,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,1
100,1,The Sound of the Shaking Earth,1990,https://letterboxd.com/synthemesco/list/top-filmtuiter/detail,5
101,2,In the Mood for Love,2000,https://letterboxd.com/synthemesco/list/top-filmtuiter/detail,4
102,3,Mouchette,1967,https://letterboxd.com/synthemesco/list/top-filmtuiter/detail,4
103,4,Out-Takes from the Life of a Happy Man,2012,https://letterboxd.com/synthemesco/list/top-filmtuiter/detail,4
104,5,Water-Mirror of Granada,1955,https://letterboxd.com/synthemesco/list/top-filmtuiter/detail,3
105,6,Hour of the Wolf,1968,https://letterboxd.com/synthemesco/list/top-filmtuiter/detail,3
106,7,Tokyo Story,1953,https://letterboxd.com/synthemesco/list/top-filmtuiter/detail,3
107,8,The Green Ray,1986,https://letterboxd.com/synthemesco/list/top-filmtuiter/detail,3
108,9,Francisca,1981,https://letterboxd.com/synthemesco/list/top-filmtuiter/detail,3
109,10,Trás-os-Montes,1976,https://letterboxd.com/synthemesco/list/top-filmtuiter/detail,2
110,11,El sur,1983,https://letterboxd.com/synthemesco/list/top-filmtuiter/detail,2
111,12,"That Day, on the Beach",1983,https://letterboxd.com/synthemesco/list/top-filmtuiter/detail,2
112,13,A Brighter Summer Day,1991,https://letterboxd.com/synthemesco/list/top-filmtuiter/detail,2
113,14,The Mother and the Whore,1973,https://letterboxd.com/synthemesco/list/top-filmtuiter/detail,2
114,15,Céline and Julie Go Boating,1974,https://letterboxd.com/synthemesco/list/top-filmtuiter/detail,2
115,16,Psycho,1960,https://letterboxd.com/synthemesco/list/top-filmtuiter/detail,2
116,17,The Elephant Man,1980,https://letterboxd.com/synthemesco/list/top-filmtuiter/detail,1
117,18,Febrero en Gaucín,2020,https://letterboxd.com/synthemesco/list/top-filmtuiter/detail,1
118,19,Stalker,1979,https://letterboxd.com/synthemesco/list/top-filmtuiter/detail,1
119,20,Imitation of Life,1959,https://letterboxd.com/synthemesco/list/top-filmtuiter/detail,1
120,21,Sound of the Mountain,1954,https://letterboxd.com/synthemesco/list/top-filmtuiter/detail,1
121,22,A Woman's Revenge,2012,https://letterboxd.com/synthemesco/list/top-filmtuiter/detail,1
122,23,The Fire Within,1963,https://letterboxd.com/synthemesco/list/top-filmtuiter/detail,1
123,24,How Green Was My Valley,1941,https://letterboxd.com/synthemesco/list/top-filmtuiter/detail,1
124,25,Au Hasard Balthazar,1966,https://letterboxd.com/synthemesco/list/top-filmtuiter/detail,1
125,1,Porco Rosso,1992,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,5
126,2,Miami Vice,2006,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,4
127,3,History Is Made at Night,1937,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,4
128,4,Starman,1984,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,4
129,5,Only Angels Have Wings,1939,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,3
130,6,A Brighter Summer Day,1991,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,3
131,7,My Darling Clementine,1946,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,3
132,8,King of New York,1990,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,3
