Votos;Id_peli;Titulo;Popularidad;Rating;Fecha;Duracion;Pais;Idioma;Presupuesto;Ganancia;Generos;Director;Casting;Guion;Montaje;DOP;Resumen
10;6075;Carlito's Way;22.563;7.841;1993;144;United States of America;English;30000000;63848322;['Crime', 'Thriller', 'Drama'];['Brian De Palma'];['Al Pacino', 'Sean Penn', 'Penelope Ann Miller', 'John Leguizamo', 'Ingrid Rogers', 'Luis Guzmán', 'James Rebhorn', 'Joseph Siravo', 'Viggo Mortensen', 'Richard Foronjy', 'Jorge Porcel', 'Frank Minucci', 'Adrian Pasdar', 'John Ortiz', 'Ángel Salazar', 'Al Israel', 'Rick Aviles', 'Jaime Sánchez', 'Edmonte Salvato', 'Paul Mazursky', 'Tera Tabrizi', 'Víctor Sierra', 'Caesar Cordova', 'Jon Seda', 'Ruben Rivera', 'Sherie Mambru', 'Brenda Hernandez', 'Elliot Santiago', 'Frank Ferrara', 'John Hoyt', 'Chuck Zito', 'Stephen Puente', 'Tony Cucci', 'Alfred Sauchelli Jr.', 'Anthony Catanese', 'Sam Weber', 'Sonny Zito', 'Walter T. Meade', 'Michael Hadge', 'Richard Council', 'Lindsay Lombardi', 'James Bulleit', 'Crystal Haney', 'Gregory Mitchell', 'Mel Gorham', 'Rocco Sisto', 'John Finn', 'Brian Tarantina', 'Jaime Tirelli', 'Owen Hollander', 'John Michael Bolger', 'Ralph Destino, Jr.', 'Vincent Jerman-Jerosa', 'Luke Toma', 'Frank Pietrangolare', 'Mike Girard Sheehan', 'Dean Rader Duval', 'Gene Canfield', 'Sharmagne Leland-St. John', 'Rene Rivera', 'Orlando Urdaneta', 'Troy A. Hawes', 'Kim Rideout', 'Drita Barak', 'Christopher Bregman', 'Natalia Rey', 'Joe Conzo', 'Gaetano Lisi', 'Debra Niewald', 'Christina Murphy', 'Julieta Ortega', 'Mary C. Hammett', 'Debbie Benitez', 'Roberta Mathes', 'Freddy Rios', 'Mike Ramos', 'Yelba Osorio', 'Nelson Vasquez', 'Jason Daryn', 'Dan Brennan', 'Michael P. Moran', 'Vincent Pastore', 'Garry Pastore', 'Cynthia Lamontagne', 'Bo Dietl', 'Kato', 'James V. Miller', 'Marc Anthony', 'Pete Macnamara', 'Daniel Margotta', 'Coati Mundi', 'Ángel Ramírez', 'Cice Rivera', 'Saundra Santiago', 'Bill Weeden', 'Garlan Green', 'Denise Vasquez', 'Kyle Wyatt'];['David Koepp'];['Bill Pankow', 'Kristina Boden'];['Stephen H. Burum'];A Puerto-Rican ex-con, just released from prison, pledges to stay away from drugs and violence despite the pressure around him, and lead a better life outside NYC.
10;45176;Enthusiasm;2.391;6.8;1930;67;Soviet Union;No Language;0;0;['Documentary'];['Dziga Vertov'];[];[];[];['Boris Zeitlin'];A lyrical documentary on the lives of Coal miners in the Donbass who are struggling to meet their production quotas under the Five Year Plan.
10;27145;The Aviator's Wife;7.413;7.064;1981;106;France;English;0;0;['Comedy', 'Drama', 'Romance'];['Éric Rohmer'];['Philippe Marlaud', 'Marie Rivière', 'Anne-Laure Meury', 'Mathieu Carrière', 'Philippe Caroit', 'Coralie Clément', 'María Luisa García', 'Haydée Caillot', 'Mary Stephen', 'Neil Chan', 'Rosette', 'Fabrice Luchini'];[];['Cécile Decugis'];['Bernard Lutic'];A student is devastated when he finds that his girlfriend is cheating on him. In order to find out why she did it, he decides to spy on her and her airline pilot lover. Then he sees the pilot with a blonde woman and he begins to follow them…
10;10241;A Tale of Winter;8.984;7.175;1992;114;France;Français;0;213687;['Comedy', 'Drama'];['Éric Rohmer'];['Charlotte Véry', 'Frédéric van den Driessche', 'Michel Voletti', 'Hervé Furic', 'Ava Loraschi', 'Christiane Desbois', 'Rosette', 'Jean-Luc Revol', 'Haydée Caillot', 'Jean-Claude Biette', 'Marie Rivière', 'Roger Dumas', 'Danièle Lebrun', 'Diane Lepvrier'];['Éric Rohmer'];['Mary Stephen'];['Luc Pagès'];Felicie and Charles have a whirlwind holiday romance. Due to a mix-up on addresses they lose contact, and five years later at Christmas-time Felicie is living with her mother in a cold Paris with a daughter as a reminder of that long-ago summer. For male companionship she oscillates between hairdresser Maxence and the intellectual Loic, but seems unable to commit to either as the memory of Charles and what might have been hangs over everything.
10;5801;Pather Panchali;11.931;8.123;1955;125;India;বাংলা;0;536364;['Drama'];['Satyajit Ray'];['Subir Banerjee', 'Uma Das Gupta', 'Karuna Banerjee', 'Kanu Bannerjee', 'Chunibala Devi', 'Runki Banerjee', 'Reba Devi', 'Aparna Devi', 'Tulsi Chakraborty', 'Haren Banerjee', 'Rampada Das', 'Nibhanani Devi', 'Rama Gangopadhaya', 'Roma Ganguli', 'Binoy Mukherjee', 'Haridhan Nag', 'Harimohan Nag', 'Kshirod Roy', 'Suren Roy'];['Satyajit Ray'];['Dulal Dutta'];['Subrata Mitra'];Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.
10;38985;Sorcerer;12.789;7.418;1977;122;United States of America;Deutsch;12000000;9000000;['Adventure', 'Thriller'];['William Friedkin'];"['Roy Scheider', 'Bruno Cremer', 'Francisco Rabal', 'Amidou', 'Ramon Bieri', 'Peter Capell', 'Karl John', 'Friedrich von Ledebur', 'Chico Martínez', 'Joe Spinell', 'Rosario Almontes', 'Richard Holley', 'Anne-Marie Deschodt', 'Jean-Luc Bideau', 'Jacques François', 'André Falcon', 'Gerard Murphy', 'Desmond Crofton', 'Henry Diamond', 'Ray Dittrich', 'Frank Gio', 'Randy Jurgensen', ""Cosmo 'Gus' Allegretti""]";['Walon Green'];['Robert K. Lambert', 'Bud S. Smith'];['Dick Bush', 'John M. Stephens'];Four men from different parts of the globe, all hiding from their pasts in the same remote South American town, agree to risk their lives transporting several cases of dynamite (which is so old that it is dripping unstable nitroglycerin) across dangerous jungle terrain.
10;12703;The Brown Bunny;13.45;5.416;2003;93;France;English;10000000;365734;['Drama'];['Vincent Gallo'];['Vincent Gallo', 'Chloë Sevigny', 'Cheryl Tiegs', 'Elizabeth Blake', 'Anna Vareschi', 'Mary Morasky'];['Vincent Gallo'];['Vincent Gallo'];['Vincent Gallo'];Bud Clay races motorcycles in the 250cc Formula II class of road racing. After a race in New Hampshire, he has five days to get to his next race in California. During his road trip, he is haunted by memories of the last time he saw Daisy, his true love.
10;35861;The Crucified Lovers;9.135;7.7;1954;102;Japan;日本語;0;0;['Drama', 'Romance'];['Kenji Mizoguchi'];['Kazuo Hasegawa', 'Kyōko Kagawa', 'Eitarō Shindō', 'Eitarō Ozawa', 'Yôko Minamida', 'Haruo Tanaka', 'Chieko Naniwa', 'Ichirō Sugai', 'Tatsuya Ishiguro', 'Hiroshi Mizuno', 'Hisao Toake', 'Kimiko Tachebana', 'Keiko Koyanagi', 'Sayako Nakagami', 'Ikkei Tamaki', 'Kanae Kobayashi', 'Sôji Shibata', 'Tadashi Iwata', 'Kōichi Katsuragi', 'Saburo Date', 'Jun Fujikawa', 'Sumao Ishihara', 'Masayoshi Kikuno', 'Midori Komatsu', 'Reiko Kongō', 'Tokio Oki', 'Shinobu Araki', 'Ryônosuke Azuma', 'Shiro Osaki', 'Fumihiko Yokoyama'];['Matsutarō Kawaguchi', 'Yoshikata Yoda'];['Kanji Sugawara'];['Kazuo Miyagawa'];In 17th century Kyoto, Osan is married to Ishun, a wealthy miserly scroll-maker. When Osan is falsely accused of having an affair with the best worker, Mohei, the pair flee the city and declare their love for each other. Ishun orders his men to find them, and separate them to avoid public humiliation.
10;88421;Wavelength;4.973;5.2;1967;43;Canada;No Language;0;0;['Drama'];['Michael Snow'];['Hollis Frampton', 'Amy Taubin', 'Lyne Grossman', 'Naoto Nakazawa', 'Roswell Rudd', 'Joyce Wieland', 'Amy Yadrin'];[];['Michael Snow', 'Ted Wolff'];['Michael Snow'];Wavelength consists of almost no action, and what action does occur is largely elided. If the film could be said to have a conventional plot, this would presumably refer to the three “character” scenes. In the first scene two people enter a room, chat briefly, and listen to “Strawberry Fields Forever” on the radio. Later, a man (played by filmmaker Hollis Frampton) enters inexplicably and dies on the floor. And last, the female owner of the apartment is heard and seen on the phone, speaking, with strange calm, about the dead man in her apartment whom she has never seen before.
10;15383;Army of Shadows;10.114;7.974;1969;145;France;Deutsch;0;741766;['War', 'Drama', 'Thriller'];['Jean-Pierre Melville'];['Lino Ventura', 'Paul Meurisse', 'Jean-Pierre Cassel', 'Simone Signoret', 'Claude Mann', 'Paul Crauchet', 'Christian Barbier', 'Serge Reggiani', 'Alain Dekok', 'Alain Mottet', 'Alain Libolt', 'Jean-Marie Robain', 'Albert Michel', 'Denis Sadier', 'Georges Sellier', 'Marco Perrin', 'Hubert de Lapparent', 'Colin Mann', 'Anthony Stuart', 'Gérard-Antoine Huart', 'Percival Russel', 'Michel Dacquin', 'Jeanne Pérez', 'Pierre Vaudier', 'Jacques Marbeuf', 'Marcel Bernier', 'Gaston Meunier', 'Nathalie Delon', 'Jacques Léonard'];['Jean-Pierre Melville'];['Françoise Bonnot'];['Pierre Lhomme', 'Walter Wottitz'];Betrayed by an informant, Philippe Gerbier finds himself trapped in a torturous Nazi prison camp. Though Gerbier escapes to rejoin the Resistance in occupied Marseilles, France, and exacts his revenge on the informant, he must continue a quiet, seemingly endless battle against the Nazis in an atmosphere of tension, paranoia and distrust.
