Title,Year,url_peli,Review,tmdb_type,tmdb_id,nviews
The Passion of Joan of Arc,1928,/film/the-passion-of-joan-of-arc/,304,movie,780,131545
Sunrise: A Song of Two Humans,1927,/film/sunrise-a-song-of-two-humans/,271,movie,631,79610
Man with a Movie Camera,1929,/film/man-with-a-movie-camera/,239,movie,26317,105836
"Sherlock, Jr.",1924,/film/sherlock-jr/,195,movie,992,114011
7th Heaven,1927,/film/7th-heaven/,176,movie,82474,6370
Battleship Potemkin,1925,/film/battleship-potemkin/,173,movie,643,145279
Faust,1926,/film/faust-1926/,170,movie,10728,31126
Nosferatu,1922,/film/nosferatu/,162,movie,653,285684
The Crowd,1928,/film/the-crowd/,160,movie,3061,14617
The Last Laugh,1924,/film/the-last-laugh/,146,movie,5991,30034
Napoleon,1927,/film/napoleon/,145,movie,42536,18444
The Cabinet of Dr. Caligari,1920,/film/the-cabinet-of-dr-caligari-1920/,140,movie,234,232754
The Wind,1928,/film/the-wind/,136,movie,31416,11032
The General,1926,/film/the-general/,134,movie,961,118532
Metropolis,1927,/film/metropolis/,134,movie,19,280913
The Gold Rush,1925,/film/the-gold-rush/,128,movie,962,111574
Greed,1924,/film/greed/,126,movie,1405,16044
The Student Prince in Old Heidelberg,1927,/film/the-student-prince-in-old-heidelberg/,111,movie,85876,1751
The Fall of the House of Usher,1928,/film/the-fall-of-the-house-of-usher/,100,movie,28189,13198
The Phantom Carriage,1921,/film/the-phantom-carriage/,98,movie,58129,37427
The Kid,1921,/film/the-kid/,93,movie,10098,140813
Way Down East,1920,/film/way-down-east/,93,movie,31509,7698
La Roue,1923,/film/la-roue/,92,movie,50182,5174
Finis Terræ,1929,/film/finis-terr/,91,movie,149092,1881
Street Angel,1928,/film/street-angel/,89,movie,28391,3356
The Docks of New York,1928,/film/the-docks-of-new-york/,88,movie,885,9462
Cœur fidèle,1923,/film/cur-fidele/,86,movie,67440,4425
Un Chien Andalou,1929,/film/un-chien-andalou/,81,movie,626,197751
Ménilmontant,1926,/film/menilmontant/,80,movie,48000,10204
Lucky Star,1929,/film/lucky-star-1929/,76,movie,105981,2357
The Cameraman,1928,/film/the-cameraman/,73,movie,31411,32979
October (Ten Days that Shook the World),1927,/film/october-ten-days-that-shook-the-world/,73,movie,697,18719
Häxan,1922,/film/haxan/,72,movie,57283,57607
"Dr. Mabuse, the Gambler",1922,/film/dr-mabuse-the-gambler/,68,movie,5998,15371
The Big Parade,1925,/film/the-big-parade/,65,movie,3060,7361
Pandora's Box,1929,/film/pandoras-box/,61,movie,905,22341
Lonesome,1928,/film/lonesome/,61,movie,101482,6157
Strike,1925,/film/strike/,60,movie,44967,28717
The Adventures of Prince Achmed,1926,/film/the-adventures-of-prince-achmed/,58,movie,19354,22167
The Unknown,1927,/film/the-unknown/,56,movie,27503,16240
3 Bad Men,1926,/film/3-bad-men/,53,movie,32716,3411
Lady Windermere's Fan,1925,/film/lady-windermeres-fan/,53,movie,121379,2125
Safety Last!,1923,/film/safety-last/,50,movie,22596,57555
Nanook of the North,1922,/film/nanook-of-the-north/,49,movie,669,44036
Die Nibelungen: Siegfried,1924,/film/die-nibelungen-siegfried/,48,movie,31506,10033
The Wedding March,1928,/film/the-wedding-march/,48,movie,42537,2296
A Page of Madness,1926,/film/a-page-of-madness/,45,movie,94525,24518
Spies,1928,/film/spies/,44,movie,78507,6357
The Iron Mask,1929,/film/the-iron-mask/,38,movie,79761,768
Destiny,1921,/film/destiny/,37,movie,29267,12697
A Woman of Paris: A Drama of Fate,1923,/film/a-woman-of-paris-a-drama-of-fate/,35,movie,28974,9157
The Iron Horse,1924,/film/the-iron-horse/,34,movie,71068,3375
By the Law,1926,/film/by-the-law/,33,movie,126644,2473
The General Line,1929,/film/the-general-line/,33,movie,110741,3370
Diary of a Lost Girl,1929,/film/diary-of-a-lost-girl/,32,movie,42637,7108
Foolish Wives,1922,/film/foolish-wives/,31,movie,35227,7249
Mother,1926,/film/mother-1926/,31,movie,98914,5897
L'Inhumaine,1924,/film/linhumaine/,29,movie,54539,2227
The Circus,1928,/film/the-circus/,29,movie,28978,48577
In Spring,1929,/film/in-spring/,29,movie,162723,577
A Sixth Part of the World,1926,/film/a-sixth-part-of-the-world/,27,movie,185579,1489
Seven Chances,1925,/film/seven-chances/,27,movie,32600,23112
Berlin: Symphony of a Great City,1927,/film/berlin-symphony-of-a-great-city/,26,movie,222,12060
Mother Krause's Journey to Happiness,1929,/film/mother-krauses-journey-to-happiness/,26,movie,150537,344
The Winning of Barbara Worth,1926,/film/the-winning-of-barbara-worth/,25,movie,96395,904
Arsenal,1929,/film/arsenal/,24,movie,85715,4187
The Starfish,1928,/film/the-starfish/,24,movie,93520,5347
Isn't Life Wonderful,1924,/film/isnt-life-wonderful/,24,movie,165354,468
Flesh and the Devil,1926,/film/flesh-and-the-devil/,23,movie,38687,3853
The Smiling Madame Beudet,1923,/film/the-smiling-madame-beudet/,23,movie,49452,9751
Four Sons,1928,/film/four-sons/,22,movie,95169,1649
The Seashell and the Clergyman,1928,/film/the-seashell-and-the-clergyman/,22,movie,118014,8964
Variety,1925,/film/variety-1925/,21,movie,94803,2539
He Who Gets Slapped,1924,/film/he-who-gets-slapped/,21,movie,27511,9222
Michael,1924,/film/michael-1924/,21,movie,55587,3842
The Little Match Girl,1928,/film/the-little-match-girl/,21,movie,36260,2514
The House on Trubnaya,1928,/film/the-house-on-trubnaya/,20,movie,128090,1114
The Man Who Laughs,1928,/film/the-man-who-laughs/,20,movie,27517,18567
Walking from Munich to Berlin,1927,/film/walking-from-munich-to-berlin/,20,movie,189654,2079
The End of St. Petersburg,1927,/film/the-end-of-st-petersburg/,19,movie,106254,2299
L'Argent,1928,/film/largent/,19,movie,50181,1456
The Skeleton Dance,1929,/film/the-skeleton-dance/,18,movie,88018,62441
Autumn Mists,1929,/film/autumn-mists/,18,movie,105540,2549
The Goat,1921,/film/the-goat/,18,movie,51360,14339
The River,1928,/film/film:88766/,18,movie,110736,823
One Week,1920,/film/one-week/,17,movie,23282,34754
A Cottage on Dartmoor,1929,/film/a-cottage-on-dartmoor/,17,movie,94716,2268
The Girl with the Hat Box,1927,/film/the-girl-with-the-hat-box/,17,movie,47590,1297
The Octopus,1927,/film/film:93256/,17,movie,117590,3593
Entr'acte,1924,/film/entracte/,16,movie,44473,12855
"Steamboat Bill, Jr.",1928,/film/steamboat-bill-jr/,16,movie,25768,36124
The Thief of Bagdad,1924,/film/the-thief-of-bagdad/,16,movie,28963,10573
Wings,1927,/film/wings/,16,movie,28966,20688
The Navigator,1924,/film/the-navigator/,15,movie,32318,17958
Beggars of Life,1928,/film/beggars-of-life/,15,movie,85697,1873
Invitation to a Journey,1927,/film/invitation-to-a-journey-1927/,15,movie,189708,1038
Kino Eye,1924,/film/kino-eye/,14,movie,144611,3548
Kino-Pravda No. 21,1925,/film/kino-pravda-no-21/,14,movie,184363,1025
The Last Command,1928,/film/the-last-command/,13,movie,52679,6255
Blackmail,1929,/film/blackmail/,13,movie,543,19024
The Lodger: A Story of the London Fog,1927,/film/the-lodger-a-story-of-the-london-fog/,12,movie,2760,28410
The Phantom of the Opera,1925,/film/the-phantom-of-the-opera/,12,movie,964,38636
The Golem: How He Came into the World,1920,/film/the-golem-how-he-came-into-the-world/,12,movie,2972,16722
Ghosts Before Breakfast,1928,/film/ghosts-before-breakfast/,12,movie,144651,9080
The Fall of the Romanov Dynasty,1927,/film/the-fall-of-the-romanov-dynasty/,12,movie,189828,1037
Zvenygora,1928,/film/zvenygora/,12,movie,82088,1982
Die Nibelungen: Kriemhild's Revenge,1924,/film/die-nibelungen-kriemhilds-revenge/,12,movie,42512,7159
Messe Noire,1928,/film/messe-noire/,12,movie,189955,892
Emak-Bakia,1926,/film/emak-bakia/,11,movie,135318,4837
Chess Fever,1925,/film/chess-fever/,11,movie,51892,2997
Eternal Heart,1929,/film/eternal-heart/,11,movie,190092,219
Our Hospitality,1923,/film/our-hospitality/,11,movie,701,23897
Ben-Hur: A Tale of the Christ,1925,/film/ben-hur-a-tale-of-the-christ/,11,movie,31510,4305
Asphalt,1929,/film/asphalt/,10,movie,55584,1893
Bed and Sofa,1927,/film/bed-and-sofa/,10,movie,98200,2375
Johan,1921,/film/johan-1921/,10,movie,131453,265
Underworld,1927,/film/underworld/,10,movie,42565,6128
Steamboat Willie,1928,/film/steamboat-willie/,10,movie,53565,86313
Rain,1929,/film/rain-1929/,10,movie,128284,9707
The Sixth Sense,1929,/film/the-sixth-sense-1929/,10,movie,190328,195
Applause,1929,/film/applause/,9,movie,120833,2098
Return to Reason,1923,/film/return-to-reason/,9,movie,138752,13825
Woman in the Moon,1929,/film/woman-in-the-moon/,9,movie,3007,4637
Nothing But Time,1926,/film/nothing-but-time/,9,movie,116370,1853
The Patsy,1928,/film/the-patsy/,9,movie,53209,1548
Crossroads,1928,/film/crossroads-1928/,9,movie,190147,871
Storm Over Asia,1928,/film/storm-over-asia/,9,movie,84273,2920
The New Babylon,1929,/film/the-new-babylon/,9,movie,151068,1220
Hell's Bells,1929,/film/hells-bells/,9,movie,16591,3718
The Hands of Orlac,1924,/film/the-hands-of-orlac-1924/,8,movie,2974,7910
Ballet Mécanique,1924,/film/ballet-mecanique/,8,movie,107011,16543
Lazybones,1925,/film/lazybones/,8,movie,44439,597
Manhatta,1921,/film/manhatta/,8,movie,96948,6600
Sparrows,1926,/film/sparrows/,8,movie,73575,1465
The Swallow and the Titmouse,1924,/film/the-swallow-and-the-titmouse/,8,movie,175317,371
La Bohème,1926,/film/la-boheme-1926/,8,movie,110253,684
The Love Parade,1929,/film/the-love-parade/,8,movie,51759,4013
The Wildcat,1921,/film/the-wildcat/,8,movie,55648,2228
Themes and Variations,1928,/film/themes-and-variations/,8,movie,184106,1063
The Red Kimona,1925,/film/the-red-kimona/,7,movie,184862,443
Moana,1926,/film/moana-1926/,7,movie,94727,1793
The Lighthouse Keepers,1929,/film/the-lighthouse-keepers/,7,movie,65914,446
Shadow Games,1929,/film/shadow-games/,7,movie,606259,78
The Adventures of Robert Macaire,1925,/film/the-adventures-of-robert-macaire/,7,movie,209245,90
The Cat and the Canary,1927,/film/the-cat-and-the-canary-1927/,7,movie,76804,4932
The Eleventh Year,1928,/film/the-eleventh-year/,7,movie,153845,863
The Lady,1925,/film/the-lady-1925/,7,movie,184450,180
The Love of Jeanne Ney,1927,/film/the-love-of-jeanne-ney/,7,movie,125693,906
The Pearl,1929,/film/the-pearl/,7,movie,149952,774
The Peasant Women of Ryazan,1927,/film/the-peasant-women-of-ryazan/,6,movie,189921,1136
Within Our Gates,1920,/film/within-our-gates/,6,movie,77621,13998
Combat de boxe,1927,/film/combat-de-boxe/,6,movie,128796,683
The Kid Brother,1927,/film/the-kid-brother/,6,movie,16661,6847
