Title,Year,url_peli,Review
El Sur,1983,/film/el-sur/,373
Blue Velvet,1986,/film/blue-velvet/,195
The Green Ray,1986,/film/the-green-ray/,171
Where Is the Friend's House?,1987,/film/where-is-the-friends-house/,169
"Paris, Texas",1984,/film/paris-texas/,167
Sans Soleil,1983,/film/sans-soleil/,163
Blade Runner,1982,/film/blade-runner/,156
Blow Out,1981,/film/blow-out/,139
The Thing,1982,/film/the-thing/,135
Ran,1985,/film/ran/,133
L'Argent,1983,/film/largent-1983/,124
Hovering Over the Water,1986,/film/hovering-over-the-water/,113
Francisca,1981,/film/francisca/,108
Raging Bull,1980,/film/raging-bull/,105
Nostalgia,1983,/film/nostalgia-1983/,101
Heaven's Gate,1980,/film/heavens-gate/,100
Love Streams,1984,/film/love-streams/,99
The Sacrifice,1986,/film/the-sacrifice/,97
The Shining,1980,/film/the-shining/,94
Fanny and Alexander,1982,/film/fanny-and-alexander/,91
Come and See,1985,/film/come-and-see/,91
Toute une nuit,1982,/film/toute-une-nuit/,90
Videodrome,1983,/film/videodrome/,87
A Nos Amours,1983,/film/a-nos-amours/,80
The Elephant Man,1980,/film/the-elephant-man/,75
Body Double,1984,/film/body-double/,73
Terrorizers,1986,/film/terrorizers/,67
Hannah and Her Sisters,1986,/film/hannah-and-her-sisters/,65
Hours for Jerome,1982,/film/hours-for-jerome/,64
Nostos: The Return,1989,/film/nostos-the-return/,62
Histoire(s) du cinéma,1989,/film/histoires-du-cinema-1989/,62
Possession,1981,/film/possession/,61
Evening Performance,1981,/film/evening-performance/,61
"That Day, on the Beach",1983,/film/that-day-on-the-beach/,61
Once Upon a Time in America,1984,/film/once-upon-a-time-in-america/,60
Pauline at the Beach,1983,/film/pauline-at-the-beach/,60
Shoah,1985,/film/shoah/,59
Landscape in the Mist,1988,/film/landscape-in-the-mist/,57
Wings of Desire,1987,/film/wings-of-desire/,57
Shadows in Paradise,1986,/film/shadows-in-paradise/,55
My Neighbor Totoro,1988,/film/my-neighbor-totoro/,52
Ana,1982,/film/ana-1982/,52
"His Motorbike, Her Island",1986,/film/his-motorbike-her-island/,52
The Dead,1987,/film/the-dead/,52
Kiki's Delivery Service,1989,/film/kikis-delivery-service/,52
Le Pont du Nord,1981,/film/le-pont-du-nord/,50
The Time to Live and the Time to Die,1985,/film/the-time-to-live-and-the-time-to-die/,47
Women on the Verge of a Nervous Breakdown,1988,/film/women-on-the-verge-of-a-nervous-breakdown/,45
Lacrima Christi,1980,/film/lacrima-christi/,44
Opera,1987,/film/opera/,43
Taipei Story,1985,/film/taipei-story/,42
So Is This,1982,/film/so-is-this/,41
E.T. the Extra-Terrestrial,1982,/film/et-the-extra-terrestrial/,40
Do the Right Thing,1989,/film/do-the-right-thing/,39
Thief,1981,/film/thief/,39
Running on Empty,1988,/film/running-on-empty-1988/,38
A City of Sadness,1989,/film/a-city-of-sadness/,38
Dekalog,1989,/film/dekalog/,38
Honkytonk Man,1982,/film/honkytonk-man/,37
The Aviator's Wife,1981,/film/the-aviators-wife/,37
The Death of Empedocles,1987,/film/the-death-of-empedocles/,37
Crimes and Misdemeanors,1989,/film/crimes-and-misdemeanors/,36
Cinema Paradiso,1988,/film/cinema-paradiso/,36
Manhunter,1986,/film/manhunter/,35
Akira,1988,/film/akira/,35
Gang of Four,1989,/film/gang-of-four/,35
Nomad,1982,/film/nomad/,35
Route One/USA,1989,/film/route-one-usa/,35
Back to the Future,1985,/film/back-to-the-future/,35
Nausicaä of the Valley of the Wind,1984,/film/nausicaa-of-the-valley-of-the-wind/,34
Damnation,1988,/film/damnation/,34
One Hundred Children Waiting for a Train,1988,/film/one-hundred-children-waiting-for-a-train/,34
Sound and Fury,1988,/film/sound-and-fury-1988/,34
After Hours,1985,/film/after-hours/,33
Ariel,1988,/film/ariel/,33
