Participante,Lista
Xator_Nova,https://boxd.it/SPaqi
paloma55,https://letterboxd.com/paloma55/list/tft1980s/
Colin_Maillard,https://boxd.it/SPeeU
ezequiel2517,https://boxd.it/SS0qy
pkmorla,https://boxd.it/R5gMy
aixa72,https://boxd.it/SgjK2
AlCorona,https://letterboxd.com/alcorona/list/tft80s/
Hectorog,https://boxd.it/T0seG
MabuseCaligari,https://letterboxd.com/mabusecaligari/list/tft1980s/
maesepenin,https://boxd.it/Te2GW
MarioIglesias,https://letterboxd.com/marioiglesias/list/tft1980s/
Marcos_M_Rom,https://boxd.it/ToPji
Lobo_Lopez,https://letterboxd.com/lobo_lopez/list/tft1980s/
albertobalsam,https://boxd.it/GvinS
JoanCuadrado,https://boxd.it/RbpNC
Blanchot,https://boxd.it/RLGR4
uwugorka,https://letterboxd.com/uwugorka/list/tft1980s/
Ivan_Suarez,https://boxd.it/T8LeQ
DavidGS90,https://boxd.it/Rgbwi
EloyG8,https://boxd.it/R6YCE
Filmandera,https://boxd.it/TaVlQ
fabregatto,https://letterboxd.com/fabregatto/list/tft80s/
Migorro,https://letterboxd.com/migorro/list/anos-80/
jasikedevicius,https://boxd.it/TnR1y
sebas__,https://boxd.it/Thvgk
Doark13,https://boxd.it/HEuzS
edgarfaber,https://boxd.it/OW2eG
Borinot,https://boxd.it/TAq0E
Rdosdedos,https://letterboxd.com/rdosdedos/list/tft1980s/
HobbsEnd,https://letterboxd.com/hobbsend/list/tft1980s/
Mann_Ohne_Namen,https://boxd.it/TADMw
bergmantonioni,https://boxd.it/Tzbvg
fifoleCFC,https://letterboxd.com/fifolecfc/list/tft80/
MrBike,https://boxd.it/TB8IK
aitanaaguila,https://boxd.it/TBWSq
mmgarnica,https://boxd.it/QZkLM
Maties_TP,https://boxd.it/TBLxG
javivalera,https://boxd.it/TzPGy
A_de_la_Hoz,https://letterboxd.com/a_de_la_hoz/list/tft1980s/
diogoserafim,https://boxd.it/SUsb6
AminVillalba,https://boxd.it/TCgs8
synthemesco,https://boxd.it/T339W
