,Pos,Titulo,Anio,url_peli,url,Puntos
56,7,Boyfriends and Girlfriends,1987,/film/boyfriends-and-girlfriends/,https://letterboxd.com/colin_maillard/list/tft80s/detail,4
57,8,Tenebre,1982,/film/tenebre/,https://letterboxd.com/colin_maillard/list/tft80s/detail,4
58,9,Mati Manas,1985,/film/mati-manas/,https://letterboxd.com/colin_maillard/list/tft80s/detail,4
59,10,The Time to Live and the Time to Die,1985,/film/the-time-to-live-and-the-time-to-die/,https://letterboxd.com/colin_maillard/list/tft80s/detail,4
60,11,Body Double,1984,/film/body-double/,https://letterboxd.com/colin_maillard/list/tft80s/detail,3
61,12,Godard's Passion,1982,/film/godards-passion/,https://letterboxd.com/colin_maillard/list/tft80s/detail,3
62,13,Terrorizers,1986,/film/terrorizers/,https://letterboxd.com/colin_maillard/list/tft80s/detail,3
63,14,"Bound for the Fields, the Mountains, and the Seacoast",1986,/film/bound-for-the-fields-the-mountains-and-the-seacoast/,https://letterboxd.com/colin_maillard/list/tft80s/detail,3
64,15,One Hundred Children Waiting for a Train,1988,/film/one-hundred-children-waiting-for-a-train/,https://letterboxd.com/colin_maillard/list/tft80s/detail,3
65,16,L'Argent,1983,/film/largent-1983/,https://letterboxd.com/colin_maillard/list/tft80s/detail,2
66,17,Assa,1987,/film/assa/,https://letterboxd.com/colin_maillard/list/tft80s/detail,2
67,18,Francisca,1981,/film/francisca/,https://letterboxd.com/colin_maillard/list/tft80s/detail,2
68,19,Simone Barbès or Virtue,1980,/film/simone-barbes-or-virtue/,https://letterboxd.com/colin_maillard/list/tft80s/detail,2
69,20,"Beirut, My City",1983,/film/beirut-my-city/,https://letterboxd.com/colin_maillard/list/tft80s/detail,2
70,21,Brasil,1981,/film/brasil/,https://letterboxd.com/colin_maillard/list/tft80s/detail,1
71,22,Nostalgia,1983,/film/nostalgia-1983/,https://letterboxd.com/colin_maillard/list/tft80s/detail,1
72,23,Law of Desire,1987,/film/law-of-desire/,https://letterboxd.com/colin_maillard/list/tft80s/detail,1
73,24,Shadows in Paradise,1986,/film/shadows-in-paradise/,https://letterboxd.com/colin_maillard/list/tft80s/detail,1
74,25,Maine-Ocean Express,1986,/film/maine-ocean-express/,https://letterboxd.com/colin_maillard/list/tft80s/detail,1
75,1,"American Stories: Food, Family and Philosophy",1989,/film/american-stories-food-family-and-philosophy/,https://letterboxd.com/ezequiel2517/list/tft80s/detail,6
76,2,Boat People,1982,/film/boat-people/,https://letterboxd.com/ezequiel2517/list/tft80s/detail,5
77,3,Year of the Dragon,1985,/film/year-of-the-dragon/,https://letterboxd.com/ezequiel2517/list/tft80s/detail,5
78,4,Sound and Fury,1988,/film/sound-and-fury-1988/,https://letterboxd.com/ezequiel2517/list/tft80s/detail,5
79,5,Histoire(s) du cinéma,1989,/film/histoires-du-cinema-1989/,https://letterboxd.com/ezequiel2517/list/tft80s/detail,5
80,6,Querelle,1982,/film/querelle/,https://letterboxd.com/ezequiel2517/list/tft80s/detail,4
