usuario_base;vecinos;similaridad;imp_pelis;imp_dir;imp_gen;imp_fecha;imp_pais
_alvarocampoy_;a_de_la_hoz;49.14428475869971;27.74260630512735;19.014580477953306;17.669236743874386;16.08045263996246;19.493123833082493
_alvarocampoy_;a_karerina;33.12518248598295;18.946083481837;11.573752976204498;26.651039314380192;23.836724882945063;18.992399344633245
_alvarocampoy_;aitanaaguila;33.662279364863466;15.429343579330235;12.914018484256731;24.547916777276285;23.47619824021697;23.632522918919783
_alvarocampoy_;aixa72;41.68677999883444;22.841996167539556;15.790502729458117;19.84066604557696;18.9411574038053;22.585677653620067
_alvarocampoy_;alberto87fr;43.94292267001877;23.63915927413915;14.83908914768169;20.244910846198366;17.98383665832672;23.293004073654053
_alvarocampoy_;albertobalsam;22.23401498687289;3.8933354613829776;2.0717556078241413;31.24318256523804;35.413092883213366;27.37863348234148
_alvarocampoy_;albertomilano;60.5310454742223;31.461847767884585;23.340497545294532;14.561804247570493;13.023234752682445;17.61261568656795
_alvarocampoy_;alcorona;28.228627618741807;6.1330986519401405;3.5625826678172623;27.097742959745858;27.99506778226872;35.21150793822802
_alvarocampoy_;ale_piq;55.52733838954506;27.281667488283613;27.58499726166122;16.21704717507575;14.210038542950901;14.706249532028524
_alvarocampoy_;alejandrogr;42.76120440948709;25.810711425398242;16.202244900713314;18.250780297318865;18.480825189567636;21.255438187001946
_alvarocampoy_;alemartin;34.467837703568;15.696603842288587;14.582857432660003;19.087059326401537;22.908192512870897;27.725286885778978
_alvarocampoy_;alen99;47.06685868058859;24.369150159312294;21.64716337798043;17.887943353668767;16.79020792422294;19.305535184815575
_alvarocampoy_;alonsodvt;27.73269833918162;4.682080225584025;8.40162053389708;31.36314360687772;28.174129396044272;27.379026237596907
_alvarocampoy_;amaiazufiaur;32.45708574223234;13.33522049465416;7.461174277461766;25.30016659178238;24.34791434644517;29.55552428965653
_alvarocampoy_;aminvillalba;47.387095725002524;25.117842062328403;23.182125568350017;18.371499443190398;16.676741452423283;16.651791473707895
_alvarocampoy_;anaavellaneda;51.586676408756425;23.65857971333175;25.553891350828653;17.291920967041893;15.319117233397868;18.176490735399845
_alvarocampoy_;anaorgana;38.229814850730754;16.98238913828891;14.213883183760414;21.826418341268287;20.663816372321268;26.313492964361124
_alvarocampoy_;antoniomagnolia;40.72486530349233;20.371993307648058;13.916270142860169;20.607351581720003;19.40490994133089;25.69947502644088
_alvarocampoy_;batty;38.34563908511216;27.65411903458904;16.837641937597812;22.53964906163602;20.376362218798565;12.592227747378557
_alvarocampoy_;beetbeatbit;41.26137622820187;23.077496584314417;14.486514733821133;21.568244114441146;19.15259295318804;21.715151614235246
_alvarocampoy_;bennu;43.85084479879217;29.117479288461347;19.01339964212462;19.296660803861887;17.993852166894765;14.578608098657378
_alvarocampoy_;bergmantonioni;37.54992008381869;14.408232894385014;13.714295124805746;24.18531518214929;21.04564648401598;26.64651031464396
_alvarocampoy_;bernatus;47.603655029387006;22.275912785740076;26.825171027531756;14.94983821898206;16.600875355038383;19.348202612707727
_alvarocampoy_;bernax24;58.080814727047304;33.16171900724517;22.723482275124663;15.124479699770985;13.606254445654102;15.384064572205082
_alvarocampoy_;blanchot;27.550810530270308;10.996978697149864;6.903170512526862;29.793393165314832;28.639651738593365;23.666805886415073
