Title,Year,Review
The Passion of Joan of Arc,1928,304 puntos con 70 menciones
Sunrise: A Song of Two Humans,1927,271 puntos con 62 menciones
Man with a Movie Camera,1929,239 puntos con 62 menciones
"Sherlock, Jr.",1924,195 puntos con 53 menciones
7th Heaven,1927,176 puntos con 44 menciones
Battleship Potemkin,1925,173 puntos con 53 menciones
Faust,1926,170 puntos con 52 menciones
Nosferatu,1922,162 puntos con 44 menciones
The Crowd,1928,160 puntos con 45 menciones
The Last Laugh,1924,146 puntos con 39 menciones
Napoleon,1927,145 puntos con 42 menciones
The Cabinet of Dr. Caligari,1920,140 puntos con 44 menciones
The Wind,1928,136 puntos con 41 menciones
The General,1926,134 puntos con 40 menciones
Metropolis,1927,134 puntos con 35 menciones
The Gold Rush,1925,128 puntos con 42 menciones
Greed,1924,126 puntos con 37 menciones
The Student Prince in Old Heidelberg,1927,111 puntos con 34 menciones
The Fall of the House of Usher,1928,100 puntos con 30 menciones
The Phantom Carriage,1921,98 puntos con 36 menciones
The Kid,1921,93 puntos con 30 menciones
Way Down East,1920,93 puntos con 26 menciones
La Roue,1923,92 puntos con 21 menciones
Finis Terræ,1929,91 puntos con 29 menciones
Street Angel,1928,89 puntos con 26 menciones
The Docks of New York,1928,88 puntos con 33 menciones
Cœur fidèle,1923,86 puntos con 23 menciones
Un Chien Andalou,1929,81 puntos con 33 menciones
Ménilmontant,1926,80 puntos con 33 menciones
Lucky Star,1929,76 puntos con 26 menciones
The Cameraman,1928,73 puntos con 24 menciones
October (Ten Days that Shook the World),1927,73 puntos con 20 menciones
Häxan,1922,72 puntos con 27 menciones
"Dr. Mabuse, the Gambler",1922,68 puntos con 20 menciones
The Big Parade,1925,65 puntos con 21 menciones
Pandora's Box,1929,61 puntos con 23 menciones
Lonesome,1928,61 puntos con 22 menciones
Strike,1925,60 puntos con 20 menciones
The Adventures of Prince Achmed,1926,58 puntos con 18 menciones
The Unknown,1927,56 puntos con 22 menciones
3 Bad Men,1926,53 puntos con 19 menciones
Lady Windermere's Fan,1925,53 puntos con 15 menciones
Safety Last!,1923,50 puntos con 19 menciones
Nanook of the North,1922,49 puntos con 20 menciones
Die Nibelungen: Siegfried,1924,48 puntos con 14 menciones
The Wedding March,1928,48 puntos con 12 menciones
A Page of Madness,1926,45 puntos con 19 menciones
Spies,1928,44 puntos con 15 menciones
The Iron Mask,1929,38 puntos con 10 menciones
Destiny,1921,37 puntos con 15 menciones
A Woman of Paris: A Drama of Fate,1923,35 puntos con 10 menciones
The Iron Horse,1924,34 puntos con 11 menciones
By the Law,1926,33 puntos con 10 menciones
The General Line,1929,33 puntos con 9 menciones
Diary of a Lost Girl,1929,32 puntos con 14 menciones
Foolish Wives,1922,31 puntos con 13 menciones
Mother,1926,31 puntos con 11 menciones
L'Inhumaine,1924,29 puntos con 10 menciones
The Circus,1928,29 puntos con 10 menciones
In Spring,1929,29 puntos con 8 menciones
A Sixth Part of the World,1926,27 puntos con 8 menciones
Seven Chances,1925,27 puntos con 8 menciones
Berlin: Symphony of a Great City,1927,26 puntos con 10 menciones
Mother Krause's Journey to Happiness,1929,26 puntos con 10 menciones
The Winning of Barbara Worth,1926,25 puntos con 10 menciones
Arsenal,1929,24 puntos con 10 menciones
The Starfish,1928,24 puntos con 10 menciones
Isn't Life Wonderful,1924,24 puntos con 8 menciones
Flesh and the Devil,1926,23 puntos con 8 menciones
The Smiling Madame Beudet,1923,23 puntos con 8 menciones
Four Sons,1928,22 puntos con 10 menciones
The Seashell and the Clergyman,1928,22 puntos con 9 menciones
Variety,1925,21 puntos con 9 menciones
He Who Gets Slapped,1924,21 puntos con 7 menciones
Michael,1924,21 puntos con 7 menciones
The Little Match Girl,1928,21 puntos con 7 menciones
The House on Trubnaya,1928,20 puntos con 11 menciones
The Man Who Laughs,1928,20 puntos con 10 menciones
Walking from Munich to Berlin,1927,20 puntos con 7 menciones
The End of St. Petersburg,1927,19 puntos con 8 menciones
L'Argent,1928,19 puntos con 7 menciones
The Skeleton Dance,1929,18 puntos con 9 menciones
Autumn Mists,1929,18 puntos con 8 menciones
The Goat,1921,18 puntos con 7 menciones
The River,1928,18 puntos con 6 menciones
One Week,1920,17 puntos con 9 menciones
A Cottage on Dartmoor,1929,17 puntos con 6 menciones
The Girl with the Hat Box,1927,17 puntos con 6 menciones
The Octopus,1927,17 puntos con 5 menciones
Entr'acte,1924,16 puntos con 8 menciones
"Steamboat Bill, Jr.",1928,16 puntos con 7 menciones
The Thief of Bagdad,1924,16 puntos con 7 menciones
Wings,1927,16 puntos con 7 menciones
The Navigator,1924,15 puntos con 8 menciones
Beggars of Life,1928,15 puntos con 6 menciones
Invitation to a Journey,1927,15 puntos con 4 menciones
Kino Eye,1924,14 puntos con 5 menciones
Kino-Pravda No. 21,1925,14 puntos con 4 menciones
The Last Command,1928,13 puntos con 7 menciones
Blackmail,1929,13 puntos con 6 menciones
The Lodger: A Story of the London Fog,1927,12 puntos con 8 menciones
The Phantom of the Opera,1925,12 puntos con 7 menciones
The Golem: How He Came into the World,1920,12 puntos con 5 menciones
Ghosts Before Breakfast,1928,12 puntos con 4 menciones
The Fall of the Romanov Dynasty,1927,12 puntos con 4 menciones
Zvenygora,1928,12 puntos con 4 menciones
Die Nibelungen: Kriemhild's Revenge,1924,12 puntos con 3 menciones
Messe Noire,1928,12 puntos con 3 menciones
Emak-Bakia,1926,11 puntos con 6 menciones
Chess Fever,1925,11 puntos con 5 menciones
Eternal Heart,1929,11 puntos con 4 menciones
Our Hospitality,1923,11 puntos con 4 menciones
Ben-Hur: A Tale of the Christ,1925,11 puntos con 3 menciones
Asphalt,1929,10 puntos con 6 menciones
Bed and Sofa,1927,10 puntos con 5 menciones
Johan,1921,10 puntos con 5 menciones
Underworld,1927,10 puntos con 5 menciones
Steamboat Willie,1928,10 puntos con 4 menciones
Rain,1929,10 puntos con 3 menciones
The Sixth Sense,1929,10 puntos con 3 menciones
Applause,1929,9 puntos con 5 menciones
Return to Reason,1923,9 puntos con 5 menciones
Woman in the Moon,1929,9 puntos con 5 menciones
Nothing But Time,1926,9 puntos con 4 menciones
The Patsy,1928,9 puntos con 4 menciones
Crossroads,1928,9 puntos con 3 menciones
Storm Over Asia,1928,9 puntos con 3 menciones
The New Babylon,1929,9 puntos con 3 menciones
Hell's Bells,1929,9 puntos con 2 menciones
The Hands of Orlac,1924,8 puntos con 5 menciones
Ballet Mécanique,1924,8 puntos con 4 menciones
Lazybones,1925,8 puntos con 3 menciones
Manhatta,1921,8 puntos con 3 menciones
Sparrows,1926,8 puntos con 3 menciones
The Swallow and the Titmouse,1924,8 puntos con 3 menciones
La Bohème,1926,8 puntos con 2 menciones
The Love Parade,1929,8 puntos con 2 menciones
The Wildcat,1921,8 puntos con 2 menciones
Themes and Variations,1928,8 puntos con 2 menciones
The Red Kimona,1925,7 puntos con 4 menciones
Moana,1926,7 puntos con 3 menciones
The Lighthouse Keepers,1929,7 puntos con 3 menciones
Queen Kelly,1932,7 puntos con 2 menciones
Shadow Games,1929,7 puntos con 2 menciones
The Adventures of Robert Macaire,1925,7 puntos con 2 menciones
The Cat and the Canary,1927,7 puntos con 2 menciones
The Eleventh Year,1928,7 puntos con 2 menciones
The Lady,1925,7 puntos con 2 menciones
The Love of Jeanne Ney,1927,7 puntos con 2 menciones
The Pearl,1929,7 puntos con 2 menciones
The Peasant Women of Ryazan,1927,6 puntos con 4 menciones
Within Our Gates,1920,6 puntos con 4 menciones
Combat de boxe,1927,6 puntos con 3 menciones
The Kid Brother,1927,6 puntos con 3 menciones
Warning Shadows,1923,6 puntos con 3 menciones
A Lover in Pawn,1920,6 puntos con 2 menciones
Das Blumenwunder,1926,6 puntos con 2 menciones
Faces of Children,1925,6 puntos con 2 menciones
Joyless Street,1925,6 puntos con 2 menciones
Lichtspiel: Opus I,1921,6 puntos con 2 menciones
Master of the House,1925,6 puntos con 2 menciones
Thunderbolt,1929,6 puntos con 2 menciones
West of Zanzibar,1928,6 puntos con 2 menciones
Whirlpool of Fate,1925,6 puntos con 2 menciones
Études sur Paris,1928,6 puntos con 2 menciones
The Dangers of the Fly,1920,6 puntos con 1 menciones
The Gallery of Monsters,1924,6 puntos con 1 menciones
The Salvation Hunters,1925,6 puntos con 1 menciones
The Street,1923,5 puntos con 3 menciones
Trolley Troubles,1927,5 puntos con 3 menciones
Cinderella,1922,5 puntos con 2 menciones
Manhandled,1924,5 puntos con 2 menciones
Miss Lulu Bett,1921,5 puntos con 2 menciones
My Best Girl,1927,5 puntos con 2 menciones
Opus III,1924,5 puntos con 2 menciones
Tartuffe,1925,5 puntos con 2 menciones
The Crazy Ray,1925,5 puntos con 2 menciones
The Haunted House,1929,5 puntos con 2 menciones
The Nightingale's Voice,1923,5 puntos con 2 menciones
Tol'able David,1921,5 puntos con 2 menciones
Wild Oranges,1924,5 puntos con 2 menciones
Aura o las violetas,1924,5 puntos con 1 menciones
Beyond the Barricade,1920,5 puntos con 1 menciones
Cops,1922,5 puntos con 1 menciones
Crystals in Color,1927,5 puntos con 1 menciones
Just Pals,1920,5 puntos con 1 menciones
La zone,1928,5 puntos con 1 menciones
Light Study,1923,5 puntos con 1 menciones
Little Annie Rooney,1925,5 puntos con 1 menciones
Los funerales de Recabarren,1924,5 puntos con 1 menciones
María,1922,5 puntos con 1 menciones
Mother Machree,1927,5 puntos con 1 menciones
Plane Crazy,1928,5 puntos con 1 menciones
Rails,1929,5 puntos con 1 menciones
Salomé,1922,5 puntos con 1 menciones
Smouldering Fires,1925,5 puntos con 1 menciones
The American Venice,1925,5 puntos con 1 menciones
The Diplomatic Pouch,1927,5 puntos con 1 menciones
The Freshman,1925,5 puntos con 1 menciones
The Red Mill,1927,5 puntos con 1 menciones
The Three-Sided Mirror,1927,5 puntos con 1 menciones
Anemic Cinema,1926,4 puntos con 2 menciones
Erotikon,1920,4 puntos con 2 menciones
Games on Reflection and Speed,1925,4 puntos con 2 menciones
Images of Ostend,1929,4 puntos con 2 menciones
Speedy,1928,4 puntos con 2 menciones
The Mysterious Lady,1928,4 puntos con 2 menciones
The Penalty,1920,4 puntos con 2 menciones
A Detective Story,1929,4 puntos con 1 menciones
Aitaré from the Beach,1925,4 puntos con 1 menciones
An Ideal Woman,1929,4 puntos con 1 menciones
Backstairs,1921,4 puntos con 1 menciones
Barbed Wire,1927,4 puntos con 1 menciones
El orador,1928,4 puntos con 1 menciones
Eveready Harton in Buried Treasure,1929,4 puntos con 1 menciones
Fièvre,1921,4 puntos con 1 menciones
Forbidden Fruit,1921,4 puntos con 1 menciones
Inflation,1928,4 puntos con 1 menciones
