Title,Year,Review
Twin Peaks: The Return,2017,259 puntos con 50 menciones
Uncle Boonmee Who Can Recall His Past Lives,2010,201 puntos con 53 menciones
Phantom Thread,2017,152 puntos con 42 menciones
The Strange Case of Angelica,2010,138 puntos con 37 menciones
Pain and Glory,2019,119 puntos con 41 menciones
Carol,2015,117 puntos con 32 menciones
Portrait of a Lady on Fire,2019,112 puntos con 31 menciones
The Turin Horse,2011,111 puntos con 30 menciones
A Woman's Revenge,2012,109 puntos con 31 menciones
La Flor,2018,109 puntos con 29 menciones
The Tree of Life,2011,109 puntos con 28 menciones
The Wind Rises,2013,107 puntos con 31 menciones
"Right Now, Wrong Then",2015,106 puntos con 31 menciones
Goodbye to Language,2014,106 puntos con 29 menciones
On the Beach at Night Alone,2017,95 puntos con 24 menciones
The Tale of the Princess Kaguya,2013,94 puntos con 27 menciones
Blackhat,2015,92 puntos con 25 menciones
Spring Breakers,2012,90 puntos con 24 menciones
It's Such a Beautiful Day,2012,87 puntos con 24 menciones
Vitalina Varela,2019,86 puntos con 24 menciones
Out-Takes from the Life of a Happy Man,2012,86 puntos con 23 menciones
Passion,2012,83 puntos con 31 menciones
4:44 Last Day on Earth,2011,82 puntos con 25 menciones
First Cow,2019,79 puntos con 26 menciones
Le Havre,2011,79 puntos con 24 menciones
Lover for a Day,2017,78 puntos con 24 menciones
The Great Beauty,2013,76 puntos con 21 menciones
The Image Book,2018,75 puntos con 21 menciones
Yourself and Yours,2016,75 puntos con 19 menciones
Happy as Lazzaro,2018,73 puntos con 24 menciones
An Elephant Sitting Still,2018,73 puntos con 23 menciones
Meek's Cutoff,2010,73 puntos con 22 menciones
Once Upon a Time… in Hollywood,2019,71 puntos con 26 menciones
The Master,2012,69 puntos con 20 menciones
Paterson,2016,68 puntos con 30 menciones
Mysteries of Lisbon,2010,64 puntos con 17 menciones
High Life,2018,62 puntos con 22 menciones
The Social Network,2010,62 puntos con 21 menciones
Cemetery of Splendor,2015,61 puntos con 17 menciones
Mommy,2014,61 puntos con 17 menciones
Horse Money,2014,58 puntos con 17 menciones
The Handmaiden,2016,57 puntos con 17 menciones
Interstellar,2014,56 puntos con 14 menciones
Happy Hour,2015,55 puntos con 17 menciones
Everybody Wants Some!!,2016,54 puntos con 19 menciones
Holy Motors,2012,53 puntos con 20 menciones
Burning,2018,53 puntos con 15 menciones
Inherent Vice,2014,52 puntos con 13 menciones
Parasite,2019,51 puntos con 15 menciones
Mad Max: Fury Road,2015,51 puntos con 13 menciones
Certified Copy,2010,50 puntos con 17 menciones
The Deep Blue Sea,2011,50 puntos con 16 menciones
The Irishman,2019,48 puntos con 13 menciones
Ad Astra,2019,47 puntos con 18 menciones
Certain Women,2016,47 puntos con 16 menciones
Melancholia,2011,47 puntos con 12 menciones
First Reformed,2017,46 puntos con 18 menciones
Before Midnight,2013,46 puntos con 13 menciones
