,Pos,Titulo,Anio,url_peli,url,Puntos
0,1,Tabu: A Story of the South Seas,1931,/film/tabu-a-story-of-the-south-seas/,https://letterboxd.com/paloma55/list/tft1930s/detail,6
1,2,Trouble in Paradise,1932,/film/trouble-in-paradise/,https://letterboxd.com/paloma55/list/tft1930s/detail,5
2,3,The Story of the Last Chrysanthemum,1939,/film/the-story-of-the-last-chrysanthemum/,https://letterboxd.com/paloma55/list/tft1930s/detail,5
3,4,You Can't Take It with You,1938,/film/you-cant-take-it-with-you/,https://letterboxd.com/paloma55/list/tft1930s/detail,5
4,5,City Lights,1931,/film/city-lights/,https://letterboxd.com/paloma55/list/tft1930s/detail,5
5,6,Pilgrimage,1933,/film/pilgrimage-1933/,https://letterboxd.com/paloma55/list/tft1930s/detail,4
6,7,Three Comrades,1938,/film/three-comrades/,https://letterboxd.com/paloma55/list/tft1930s/detail,4
7,8,Grand Illusion,1937,/film/grand-illusion/,https://letterboxd.com/paloma55/list/tft1930s/detail,4
8,9,Midnight,1939,/film/midnight-1939/,https://letterboxd.com/paloma55/list/tft1930s/detail,4
9,10,Mr. Thank You,1936,/film/mr-thank-you/,https://letterboxd.com/paloma55/list/tft1930s/detail,4
10,11,By the Bluest of Seas,1936,/film/by-the-bluest-of-seas/,https://letterboxd.com/paloma55/list/tft1930s/detail,3
11,12,The Childhood of Maxim Gorky,1938,/film/the-childhood-of-maxim-gorky/,https://letterboxd.com/paloma55/list/tft1930s/detail,3
12,13,Vampyr,1932,/film/vampyr/,https://letterboxd.com/paloma55/list/tft1930s/detail,3
13,14,"I Was Born, But...",1932,/film/i-was-born-but/,https://letterboxd.com/paloma55/list/tft1930s/detail,3
14,15,You Only Live Once,1937,/film/you-only-live-once/,https://letterboxd.com/paloma55/list/tft1930s/detail,3
15,16,The Big Trail,1930,/film/the-big-trail/,https://letterboxd.com/paloma55/list/tft1930s/detail,2
16,17,The Scarlet Empress,1934,/film/the-scarlet-empress/,https://letterboxd.com/paloma55/list/tft1930s/detail,2
17,18,The Story of a Cheat,1936,/film/the-story-of-a-cheat/,https://letterboxd.com/paloma55/list/tft1930s/detail,2
18,19,The Edge of the World,1937,/film/the-edge-of-the-world/,https://letterboxd.com/paloma55/list/tft1930s/detail,2
19,20,The Dawn Patrol,1930,/film/the-dawn-patrol-1930/,https://letterboxd.com/paloma55/list/tft1930s/detail,2
20,21,Our Daily Bread,1934,/film/our-daily-bread-1934/,https://letterboxd.com/paloma55/list/tft1930s/detail,1
21,22,Love Affair,1939,/film/love-affair-1939/,https://letterboxd.com/paloma55/list/tft1930s/detail,1
22,23,Ray of Sunshine,1933,/film/ray-of-sunshine-1933/,https://letterboxd.com/paloma55/list/tft1930s/detail,1
23,24,State Fair,1933,/film/state-fair/,https://letterboxd.com/paloma55/list/tft1930s/detail,1
24,25,Wife! Be Like a Rose!,1935,/film/wife-be-like-a-rose/,https://letterboxd.com/paloma55/list/tft1930s/detail,1
25,1,Love Affair,1939,/film/love-affair-1939/,https://letterboxd.com/lobo_lopez/list/tft1930s/detail,6
26,2,Only Angels Have Wings,1939,/film/only-angels-have-wings/,https://letterboxd.com/lobo_lopez/list/tft1930s/detail,5
27,3,Everybody's Woman,1934,/film/everybodys-woman/,https://letterboxd.com/lobo_lopez/list/tft1930s/detail,5
28,4,The Scarlet Empress,1934,/film/the-scarlet-empress/,https://letterboxd.com/lobo_lopez/list/tft1930s/detail,5
29,5,By the Bluest of Seas,1936,/film/by-the-bluest-of-seas/,https://letterboxd.com/lobo_lopez/list/tft1930s/detail,5
30,6,Three Comrades,1938,/film/three-comrades/,https://letterboxd.com/lobo_lopez/list/tft1930s/detail,4
31,7,Modern Times,1936,/film/modern-times/,https://letterboxd.com/lobo_lopez/list/tft1930s/detail,4
32,8,The Childhood of Maxim Gorky,1938,/film/the-childhood-of-maxim-gorky/,https://letterboxd.com/lobo_lopez/list/tft1930s/detail,4
33,9,City Lights,1931,/film/city-lights/,https://letterboxd.com/lobo_lopez/list/tft1930s/detail,4
34,10,Harvest,1937,/film/harvest/,https://letterboxd.com/lobo_lopez/list/tft1930s/detail,4
35,11,Make Way for Tomorrow,1937,/film/make-way-for-tomorrow/,https://letterboxd.com/lobo_lopez/list/tft1930s/detail,3
36,12,Tabu: A Story of the South Seas,1931,/film/tabu-a-story-of-the-south-seas/,https://letterboxd.com/lobo_lopez/list/tft1930s/detail,3
37,13,State Fair,1933,/film/state-fair/,https://letterboxd.com/lobo_lopez/list/tft1930s/detail,3
38,14,Back Street,1932,/film/back-street-1932/,https://letterboxd.com/lobo_lopez/list/tft1930s/detail,3
39,15,Me and My Gal,1932,/film/me-and-my-gal/,https://letterboxd.com/lobo_lopez/list/tft1930s/detail,3
40,16,The Last Flight,1931,/film/the-last-flight-1931/,https://letterboxd.com/lobo_lopez/list/tft1930s/detail,2
