Title,Year,url_peli,Review
City Lights,1931,/film/city-lights/,234
Vampyr,1932,/film/vampyr/,212
The Story of the Last Chrysanthemum,1939,/film/the-story-of-the-last-chrysanthemum/,210
L'Atalante,1934,/film/latalante/,208
M,1931,/film/m/,205
Only Angels Have Wings,1939,/film/only-angels-have-wings/,195
Tabu: A Story of the South Seas,1931,/film/tabu-a-story-of-the-south-seas/,163
Stagecoach,1939,/film/stagecoach/,161
The Rules of the Game,1939,/film/the-rules-of-the-game/,154
Trouble in Paradise,1932,/film/trouble-in-paradise/,145
Earth,1930,/film/earth-1930/,142
Modern Times,1936,/film/modern-times/,123
Freaks,1932,/film/freaks/,110
Bringing Up Baby,1938,/film/bringing-up-baby/,110
By the Bluest of Seas,1936,/film/by-the-bluest-of-seas/,109
History Is Made at Night,1937,/film/history-is-made-at-night/,106
Love Affair,1939,/film/love-affair-1939/,103
Make Way for Tomorrow,1937,/film/make-way-for-tomorrow/,99
"I Was Born, But...",1932,/film/i-was-born-but/,99
Three Comrades,1938,/film/three-comrades/,96
Broken Lullaby,1932,/film/broken-lullaby/,92
Jesse James,1939,/film/jesse-james/,86
You Only Live Once,1937,/film/you-only-live-once/,86
Young Mr. Lincoln,1939,/film/young-mr-lincoln/,86
Grand Illusion,1937,/film/grand-illusion/,81
Back Street,1932,/film/back-street-1932/,79
Gone with the Wind,1939,/film/gone-with-the-wind/,78
It Happened One Night,1934,/film/it-happened-one-night/,76
Design for Living,1933,/film/design-for-living/,76
City Girl,1930,/film/city-girl/,71
Scarface,1932,/film/scarface/,68
Our Daily Bread,1934,/film/our-daily-bread-1934/,66
Port of Shadows,1938,/film/port-of-shadows/,66
The Only Son,1936,/film/the-only-son/,63
Limite,1931,/film/limite/,61
Holiday,1938,/film/holiday/,61
The Childhood of Maxim Gorky,1938,/film/the-childhood-of-maxim-gorky/,58
The Blue Angel,1930,/film/the-blue-angel/,55
The Wizard of Oz,1939,/film/the-wizard-of-oz-1939/,55
Angel,1937,/film/angel/,55
Enthusiasm. Symphony of Donbas,1930,/film/enthusiasm-symphony-of-donbas/,54
You Can't Take It with You,1938,/film/you-cant-take-it-with-you/,50
Alexander Nevsky,1938,/film/alexander-nevsky/,49
The Roaring Twenties,1939,/film/the-roaring-twenties/,49
The Big Trail,1930,/film/the-big-trail/,48
Bride of Frankenstein,1935,/film/bride-of-frankenstein/,48
All Quiet on the Western Front,1930,/film/all-quiet-on-the-western-front/,48
Fury,1936,/film/fury/,43
Morocco,1930,/film/morocco/,43
Midnight,1939,/film/midnight-1939/,41
The Testament of Dr. Mabuse,1933,/film/the-testament-of-dr-mabuse/,40
Lady Killer,1937,/film/lady-killer-1937/,38
The 39 Steps,1935,/film/the-39-steps/,38
The Lady Vanishes,1938,/film/the-lady-vanishes/,38
Stella Dallas,1937,/film/stella-dallas/,38
King Kong,1933,/film/king-kong/,36
The Edge of the World,1937,/film/the-edge-of-the-world/,36
A Night at the Opera,1935,/film/a-night-at-the-opera/,36
Queen Christina,1933,/film/queen-christina/,36
Mr. Thank You,1936,/film/mr-thank-you/,35
Ninotchka,1939,/film/ninotchka/,35
Sisters of the Gion,1936,/film/sisters-of-the-gion/,35
Dishonored,1931,/film/dishonored/,35
The Scarlet Empress,1934,/film/the-scarlet-empress/,35
L'Âge d'or,1930,/film/lage-dor/,34
Shanghai Express,1932,/film/shanghai-express/,34
Ray of Sunshine,1933,/film/ray-of-sunshine-1933/,33
Everybody's Woman,1934,/film/everybodys-woman/,30
Stage Door,1937,/film/stage-door/,29
The Baker's Wife,1938,/film/the-bakers-wife/,29
Japanese Girls at the Harbor,1933,/film/japanese-girls-at-the-harbor/,29
My Man Godfrey,1936,/film/my-man-godfrey/,28
Duck Soup,1933,/film/duck-soup-1933/,28
Comradeship,1931,/film/comradeship/,28
Toni,1935,/film/toni/,28
The Story of a Cheat,1936,/film/the-story-of-a-cheat/,28
