Title,Year,Review
City Lights,1931,234 puntos con 57 menciones
Vampyr,1932,212 puntos con 62 menciones
The Story of the Last Chrysanthemum,1939,210 puntos con 57 menciones
L'Atalante,1934,208 puntos con 62 menciones
M,1931,205 puntos con 48 menciones
Only Angels Have Wings,1939,195 puntos con 48 menciones
Tabu: A Story of the South Seas,1931,163 puntos con 44 menciones
Stagecoach,1939,161 puntos con 48 menciones
The Rules of the Game,1939,154 puntos con 42 menciones
Trouble in Paradise,1932,145 puntos con 43 menciones
Earth,1930,142 puntos con 38 menciones
Modern Times,1936,123 puntos con 34 menciones
Freaks,1932,110 puntos con 34 menciones
Bringing Up Baby,1938,110 puntos con 31 menciones
By the Bluest of Seas,1936,109 puntos con 36 menciones
History Is Made at Night,1937,106 puntos con 24 menciones
Love Affair,1939,103 puntos con 30 menciones
Make Way for Tomorrow,1937,99 puntos con 34 menciones
"I Was Born, But...",1932,99 puntos con 29 menciones
Three Comrades,1938,96 puntos con 27 menciones
Broken Lullaby,1932,92 puntos con 27 menciones
Jesse James,1939,86 puntos con 30 menciones
You Only Live Once,1937,86 puntos con 29 menciones
Young Mr. Lincoln,1939,86 puntos con 25 menciones
Grand Illusion,1937,81 puntos con 26 menciones
Back Street,1932,79 puntos con 22 menciones
Gone with the Wind,1939,78 puntos con 19 menciones
It Happened One Night,1934,76 puntos con 26 menciones
Design for Living,1933,76 puntos con 23 menciones
City Girl,1930,71 puntos con 21 menciones
Scarface,1932,68 puntos con 22 menciones
Our Daily Bread,1934,66 puntos con 23 menciones
Port of Shadows,1938,66 puntos con 23 menciones
The Only Son,1936,63 puntos con 23 menciones
Limite,1931,61 puntos con 22 menciones
Holiday,1938,61 puntos con 17 menciones
The Childhood of Maxim Gorky,1938,58 puntos con 17 menciones
The Blue Angel,1930,55 puntos con 15 menciones
The Wizard of Oz,1939,55 puntos con 15 menciones
Angel,1937,55 puntos con 14 menciones
Enthusiasm. Symphony of Donbas,1930,54 puntos con 18 menciones
You Can't Take It with You,1938,50 puntos con 15 menciones
Alexander Nevsky,1938,49 puntos con 20 menciones
The Roaring Twenties,1939,49 puntos con 19 menciones
The Big Trail,1930,48 puntos con 18 menciones
