Title,Year,url_peli,Review
Eyes Wide Shut,1999,/film/eyes-wide-shut/,282
Lost Highway,1997,/film/lost-highway/,263
Crash,1996,/film/crash/,217
Heat,1995,/film/heat-1995/,206
A Brighter Summer Day,1991,/film/a-brighter-summer-day/,206
La Belle Noiseuse,1991,/film/la-belle-noiseuse/,202
Cure,1997,/film/cure/,169
Twin Peaks: Fire Walk with Me,1992,/film/twin-peaks-fire-walk-with-me/,166
Chungking Express,1994,/film/chungking-express/,165
Carlito's Way,1993,/film/carlitos-way/,163
New Rose Hotel,1998,/film/new-rose-hotel/,161
The Bridges of Madison County,1995,/film/the-bridges-of-madison-county/,160
Dream of Light,1992,/film/dream-of-light/,150
Beau Travail,1999,/film/beau-travail/,148
Abraham's Valley,1993,/film/abrahams-valley/,136
Princess Mononoke,1997,/film/princess-mononoke/,135
Pulp Fiction,1994,/film/pulp-fiction/,132
Satantango,1994,/film/satantango/,131
Taste of Cherry,1997,/film/taste-of-cherry/,115
Close-Up,1990,/film/close-up/,106
Céline,1992,/film/film:96932/,104
GoodFellas,1990,/film/goodfellas/,91
Unforgiven,1992,/film/unforgiven/,91
Drifting Clouds,1996,/film/drifting-clouds-1996/,90
The Sound of the Shaking Earth,1990,/film/the-sound-of-the-shaking-earth/,89
All About My Mother,1999,/film/all-about-my-mother/,87
Strange Days,1995,/film/strange-days/,84
Voices Through Time,1996,/film/voices-through-time/,83
The Blackout,1997,/film/the-blackout/,82
The Straight Story,1999,/film/the-straight-story/,81
Showgirls,1995,/film/showgirls/,80
Caro diario,1993,/film/caro-diario/,80
A Summer's Tale,1996,/film/a-summers-tale/,80
Eternity and a Day,1998,/film/eternity-and-a-day/,80
Portrait of a Young Girl at the End of the 60s in Brussels,1994,/film/portrait-of-a-young-girl-at-the-end-of-the-60s-in-brussels/,79
Antigone,1992,/film/antigone-1992/,79
Perfect Blue,1997,/film/perfect-blue/,78
Nouvelle Vague,1990,/film/nouvelle-vague/,78
The Matrix,1999,/film/the-matrix/,73
A Tale of Winter,1992,/film/a-tale-of-winter/,73
"Up, Down, Fragile",1995,/film/up-down-fragile/,72
The Double Life of Véronique,1991,/film/the-double-life-of-veronique/,69
"Hail, Sarajevo",1993,/film/hail-sarajevo/,68
Irma Vep,1996,/film/irma-vep/,64
"Life, and Nothing More…",1992,/film/life-and-nothing-more/,64
Wild at Heart,1990,/film/wild-at-heart/,63
U.S. Go Home,1994,/film/us-go-home/,61
Train of Shadows,1997,/film/train-of-shadows/,61
In the Mouth of Madness,1994,/film/in-the-mouth-of-madness/,59
Porco Rosso,1992,/film/porco-rosso/,59
The Thin Red Line,1998,/film/the-thin-red-line/,57
The Lovers on the Bridge,1991,/film/the-lovers-on-the-bridge/,57
Three Colours: Red,1994,/film/three-colours-red/,57
Raise the Red Lantern,1991,/film/raise-the-red-lantern/,54
Lou Didn’t Say No,1994,/film/lou-didnt-say-no/,54
Three Colours: Blue,1993,/film/three-colours-blue/,54
Underground,1995,/film/underground-1995/,54
Fargo,1996,/film/fargo/,53
The Match Factory Girl,1990,/film/the-match-factory-girl/,53
Ed Wood,1994,/film/ed-wood/,53
The Silence of the Lambs,1991,/film/the-silence-of-the-lambs/,53
Before Sunrise,1995,/film/before-sunrise/,52
Magnolia,1999,/film/magnolia/,52
A Tale of Autumn,1998,/film/a-tale-of-autumn/,52
The Long Day Closes,1992,/film/the-long-day-closes/,51
I Hired a Contract Killer,1990,/film/i-hired-a-contract-killer/,51
Ulysses' Gaze,1995,/film/ulysses-gaze/,51
Vive L'Amour,1994,/film/vive-lamour/,50
Sicily!,1999,/film/sicily/,49
Snake Eyes,1998,/film/snake-eyes/,49
Happy Together,1997,/film/happy-together-1997/,48
A Moment of Innocence,1996,/film/a-moment-of-innocence/,46
Van Gogh,1991,/film/van-gogh/,46
Titanic,1997,/film/titanic-1997/,46
August in the Water,1995,/film/august-in-the-water/,46
Through the Olive Trees,1994,/film/through-the-olive-trees/,43
Barton Fink,1991,/film/barton-fink/,41
The Big Lebowski,1998,/film/the-big-lebowski/,41
Only Yesterday,1991,/film/only-yesterday/,41
King of New York,1990,/film/king-of-new-york/,40
eXistenZ,1999,/film/existenz/,40
Neon Genesis Evangelion: The End of Evangelion,1997,/film/neon-genesis-evangelion-the-end-of-evangelion/,39
Funny Games,1997,/film/funny-games/,39
The Age of Innocence,1993,/film/the-age-of-innocence/,39
La Ceremonie,1995,/film/la-ceremonie/,38
Green Snake,1993,/film/green-snake/,38
La Haine,1995,/film/la-haine/,38
The Hole,1998,/film/the-hole/,38
Se7en,1995,/film/se7en/,38
Rebels of the Neon God,1992,/film/rebels-of-the-neon-god/,37
The Virgin Suicides,1999,/film/the-virgin-suicides/,36
Whisper of the Heart,1995,/film/whisper-of-the-heart/,36
Variations,1998,/film/variations-1998/,35
Scream,1996,/film/scream/,35
The Last Days of Disco,1998,/film/the-last-days-of-disco/,35
The Stendhal Syndrome,1996,/film/the-stendhal-syndrome/,34
The Flower of My Secret,1995,/film/the-flower-of-my-secret/,34
A Perfect World,1993,/film/a-perfect-world/,34
The Last Dive,1992,/film/the-last-dive/,33
"The Tree, the Mayor and the Mediatheque",1993,/film/the-tree-the-mayor-and-the-mediatheque/,33
Boogie Nights,1997,/film/boogie-nights/,32
Starship Troopers,1997,/film/starship-troopers/,31
The Enclosed Valley,1995,/film/the-enclosed-valley/,31
The Lion King,1994,/film/the-lion-king/,31
Mahjong,1996,/film/mahjong/,31
The Annunciation of Marie,1991,/film/the-annunciation-of-marie/,30
Fireworks,1997,/film/fireworks-1997/,30
Blue Black Permanent,1992,/film/blue-black-permanent/,29
Outer Space,1999,/film/outer-space/,29
Amsterdam Global Village,1996,/film/amsterdam-global-village/,29
The Addiction,1995,/film/the-addiction/,28
God's Comedy,1995,/film/gods-comedy/,28
Reservoir Dogs,1992,/film/reservoir-dogs/,28
Casino,1995,/film/casino/,28
La Vie de Bohème,1992,/film/la-vie-de-boheme/,28
Trainspotting,1996,/film/trainspotting/,27
Ghost in the Shell,1995,/film/ghost-in-the-shell/,27
Exotica,1994,/film/exotica/,27
Fallen Angels,1995,/film/fallen-angels/,27
The Sixth Sense,1999,/film/the-sixth-sense/,26
Kikujiro,1999,/film/kikujiro/,26
Workers Leaving the Factory,1995,/film/workers-leaving-the-factory/,26
