Title,Year,url_peli,Review,tmdb_type,tmdb_id,nviews
Eyes Wide Shut,1999,/film/eyes-wide-shut/,282,movie,345,1197193
Lost Highway,1997,/film/lost-highway/,263,movie,638,414479
Crash,1996,/film/crash/,217,movie,884,253174
Heat,1995,/film/heat-1995/,206,movie,949,980291
A Brighter Summer Day,1991,/film/a-brighter-summer-day/,206,movie,15804,84189
La Belle Noiseuse,1991,/film/la-belle-noiseuse/,202,movie,12627,24955
Cure,1997,/film/cure/,169,movie,36095,257105
Twin Peaks: Fire Walk with Me,1992,/film/twin-peaks-fire-walk-with-me/,166,movie,1923,420760
Chungking Express,1994,/film/chungking-express/,165,movie,11104,714815
Carlito's Way,1993,/film/carlitos-way/,163,movie,6075,202705
New Rose Hotel,1998,/film/new-rose-hotel/,161,movie,21430,25667
The Bridges of Madison County,1995,/film/the-bridges-of-madison-county/,160,movie,688,127285
Dream of Light,1992,/film/dream-of-light/,150,movie,94706,6517
Beau Travail,1999,/film/beau-travail/,148,movie,14626,138294
Abraham's Valley,1993,/film/abrahams-valley/,136,movie,107693,4620
Princess Mononoke,1997,/film/princess-mononoke/,135,movie,128,1685773
Pulp Fiction,1994,/film/pulp-fiction/,132,movie,680,4417558
Satantango,1994,/film/satantango/,131,movie,31414,46538
Taste of Cherry,1997,/film/taste-of-cherry/,115,movie,30020,189409
Close-Up,1990,/film/close-up/,106,movie,30017,145482
Céline,1992,/film/film:96932/,104,movie,123348,6619
GoodFellas,1990,/film/goodfellas/,91,movie,769,2095559
Unforgiven,1992,/film/unforgiven/,91,movie,33,342268
Drifting Clouds,1996,/film/drifting-clouds-1996/,90,movie,8214,22078
The Sound of the Shaking Earth,1990,/film/the-sound-of-the-shaking-earth/,89,movie,438972,925
All About My Mother,1999,/film/all-about-my-mother/,87,movie,99,297701
Strange Days,1995,/film/strange-days/,84,movie,281,100872
Voices Through Time,1996,/film/voices-through-time/,83,movie,202253,3995
The Blackout,1997,/film/the-blackout/,82,movie,25690,6204
The Straight Story,1999,/film/the-straight-story/,81,movie,404,162419
Showgirls,1995,/film/showgirls/,80,movie,10802,210562
Caro diario,1993,/film/caro-diario/,80,movie,25403,32091
A Summer's Tale,1996,/film/a-summers-tale/,80,movie,37563,79992
Eternity and a Day,1998,/film/eternity-and-a-day/,80,movie,24858,50181
Portrait of a Young Girl at the End of the 60s in Brussels,1994,/film/portrait-of-a-young-girl-at-the-end-of-the-60s-in-brussels/,79,movie,124485,12349
Antigone,1992,/film/antigone-1992/,79,movie,208200,4616
Perfect Blue,1997,/film/perfect-blue/,78,movie,10494,1022684
Nouvelle Vague,1990,/film/nouvelle-vague/,78,movie,32691,4303
The Matrix,1999,/film/the-matrix/,73,movie,603,3300735
A Tale of Winter,1992,/film/a-tale-of-winter/,73,movie,10241,27497
"Up, Down, Fragile",1995,/film/up-down-fragile/,72,movie,65040,3205
The Double Life of Véronique,1991,/film/the-double-life-of-veronique/,69,movie,1600,158283
"Hail, Sarajevo",1993,/film/hail-sarajevo/,68,movie,174473,19420
Irma Vep,1996,/film/irma-vep/,64,movie,25355,82513
"Life, and Nothing More…",1992,/film/life-and-nothing-more/,64,movie,83761,42823
Wild at Heart,1990,/film/wild-at-heart/,63,movie,483,283978
U.S. Go Home,1994,/film/us-go-home/,61,movie,124491,11400
Train of Shadows,1997,/film/train-of-shadows/,61,movie,32934,2407
In the Mouth of Madness,1994,/film/in-the-mouth-of-madness/,59,movie,2654,181899
Porco Rosso,1992,/film/porco-rosso/,59,movie,11621,541447
The Thin Red Line,1998,/film/the-thin-red-line/,57,movie,8741,256620
The Lovers on the Bridge,1991,/film/the-lovers-on-the-bridge/,57,movie,2767,54032
Three Colours: Red,1994,/film/three-colours-red/,57,movie,110,224423
Raise the Red Lantern,1991,/film/raise-the-red-lantern/,54,movie,10404,61171
Lou Didn’t Say No,1994,/film/lou-didnt-say-no/,54,movie,447213,264
Three Colours: Blue,1993,/film/three-colours-blue/,54,movie,108,296783
