Title,Year,Review
Eyes Wide Shut,1999,282 puntos con 77 menciones
Lost Highway,1997,263 puntos con 70 menciones
Crash,1996,217 puntos con 69 menciones
Heat,1995,206 puntos con 54 menciones
A Brighter Summer Day,1991,206 puntos con 52 menciones
La Belle Noiseuse,1991,202 puntos con 55 menciones
Cure,1997,169 puntos con 55 menciones
Twin Peaks: Fire Walk with Me,1992,166 puntos con 46 menciones
Chungking Express,1994,165 puntos con 45 menciones
Carlito's Way,1993,163 puntos con 54 menciones
New Rose Hotel,1998,161 puntos con 42 menciones
The Bridges of Madison County,1995,160 puntos con 43 menciones
Dream of Light,1992,150 puntos con 45 menciones
Beau Travail,1999,148 puntos con 48 menciones
Abraham's Valley,1993,136 puntos con 35 menciones
Princess Mononoke,1997,135 puntos con 42 menciones
Pulp Fiction,1994,132 puntos con 36 menciones
Satantango,1994,131 puntos con 37 menciones
Taste of Cherry,1997,115 puntos con 34 menciones
Close-Up,1990,106 puntos con 28 menciones
Céline,1992,104 puntos con 33 menciones
GoodFellas,1990,91 puntos con 29 menciones
Unforgiven,1992,91 puntos con 28 menciones
Drifting Clouds,1996,90 puntos con 28 menciones
The Sound of the Shaking Earth,1990,89 puntos con 27 menciones
All About My Mother,1999,87 puntos con 31 menciones
Strange Days,1995,84 puntos con 28 menciones
Voices Through Time,1996,83 puntos con 26 menciones
The Blackout,1997,82 puntos con 22 menciones
The Straight Story,1999,81 puntos con 26 menciones
Showgirls,1995,80 puntos con 27 menciones
Caro diario,1993,80 puntos con 26 menciones
A Summer's Tale,1996,80 puntos con 24 menciones
Eternity and a Day,1998,80 puntos con 24 menciones
Portrait of a Young Girl at the End of the 60s in Brussels,1994,79 puntos con 28 menciones
Antigone,1992,79 puntos con 24 menciones
Perfect Blue,1997,78 puntos con 27 menciones
Nouvelle Vague,1990,78 puntos con 20 menciones
The Matrix,1999,73 puntos con 23 menciones
A Tale of Winter,1992,73 puntos con 21 menciones
"Up, Down, Fragile",1995,72 puntos con 21 menciones
The Double Life of Véronique,1991,69 puntos con 18 menciones
"Hail, Sarajevo",1993,68 puntos con 16 menciones
Irma Vep,1996,64 puntos con 21 menciones
"Life, and Nothing More…",1992,64 puntos con 17 menciones
Wild at Heart,1990,63 puntos con 17 menciones
U.S. Go Home,1994,61 puntos con 22 menciones
Train of Shadows,1997,61 puntos con 17 menciones
In the Mouth of Madness,1994,59 puntos con 21 menciones
Porco Rosso,1992,59 puntos con 21 menciones
The Thin Red Line,1998,57 puntos con 19 menciones
The Lovers on the Bridge,1991,57 puntos con 18 menciones
Three Colours: Red,1994,57 puntos con 16 menciones
Raise the Red Lantern,1991,54 puntos con 18 menciones
Lou Didn’t Say No,1994,54 puntos con 16 menciones
Three Colours: Blue,1993,54 puntos con 16 menciones
Underground,1995,54 puntos con 14 menciones
Fargo,1996,53 puntos con 18 menciones
The Match Factory Girl,1990,53 puntos con 17 menciones
Ed Wood,1994,53 puntos con 16 menciones
The Silence of the Lambs,1991,53 puntos con 15 menciones
Before Sunrise,1995,52 puntos con 19 menciones
Magnolia,1999,52 puntos con 15 menciones
A Tale of Autumn,1998,52 puntos con 14 menciones
The Long Day Closes,1992,51 puntos con 19 menciones
I Hired a Contract Killer,1990,51 puntos con 17 menciones
Ulysses' Gaze,1995,51 puntos con 12 menciones
Vive L'Amour,1994,50 puntos con 17 menciones
Sicily!,1999,49 puntos con 16 menciones
Snake Eyes,1998,49 puntos con 14 menciones
Happy Together,1997,48 puntos con 15 menciones
A Moment of Innocence,1996,46 puntos con 16 menciones
Van Gogh,1991,46 puntos con 16 menciones
Titanic,1997,46 puntos con 15 menciones
August in the Water,1995,46 puntos con 11 menciones
Through the Olive Trees,1994,43 puntos con 13 menciones
Barton Fink,1991,41 puntos con 14 menciones
The Big Lebowski,1998,41 puntos con 14 menciones
Only Yesterday,1991,41 puntos con 13 menciones
King of New York,1990,40 puntos con 14 menciones
eXistenZ,1999,40 puntos con 11 menciones
Neon Genesis Evangelion: The End of Evangelion,1997,39 puntos con 14 menciones
Funny Games,1997,39 puntos con 13 menciones
