;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
68;When Knights Were Bold;Bébé juge;;;;;L'utilité des rayons x;A Western Kimona;Life Without Soul;Balaoo the Demon Baboon;Charlie's White Elephant;Sioux Ghost Dance;The Biter Bit;Les petits vagabonds;A Sicilian Heroine;The Adventures of Gar El Hama;Der eiserne Wille;
69;The Last Drop of Water;Orpheline !;;;;;Burstup Homes' Murder Case;The Indian Maiden's Lesson;Turn-of-the-Century Surgery;The Magnetized Man;Modern Sculptors;"Divers at Work on the Wreck of the ""Maine""";Pan-American Exposition by Night;Ein Walzertraum - O Du lieber, o Du g'scheiter, o Du ganz getrauter Fratz;La Gemma di Sant'Eremo;Den sorte Domino;Ihr großes Geheimnis;
70;The Welcome Burglar;Spring;;;;;The Rolling Bed;The Bad Man's Downfall;Il cadavere scomparso;Voyage autour d'une étoile;Business Must Not Interfere;The Kiss;The Bachelor's Paradise;Salome (The Dance of Seven Veils);Beyond Life, Beyond Death;The Will;Nachtschatten;
71;The Inner Circle;Bébé veut payer ses dettes;;;;;Cake-walk nègre;The Millionaire and the Ranch Girl;The Picture of Dorian Grey;La poupée: Le curé et les mannequins;The Portrait of Captain Grogg;Monkeyshines, No. 3;Eight Girls in a Barrel;Die Dollar-Prinzessin;Le faux magistrat;Sherlock Holmes;Die Sieger;
72;The Slave;Bébé, victime d'une erreur judiciaire;;;;;The Landlady;Broncho Billy's First Arrest;Legend of a Ghost;The Vacuum Cleaner;Les Papillons;London's Trafalgar Square;Addition and Subtraction;Marvelous Beehive;Fantômas contre Fantômas;Valdemars sejr;Maskierte Liebe;
73;Sweet and Twenty;Course de taureaux à Nîmes;;;;;Parson Sue;Sentimental Sophie;Faust : apparition de Méphistophélès;She;The Little Tin Soldiers;Leaving Jerusalem by Railway;Native Women Coaling a Ship at St. Thomas, D.W.I.;Cook & Rilly's Trained Rooster;Le mort qui tue;Trolovelsesringen;Comedians;
74;Enoch Arden;La porteuse de pain;;;;;Danse Fleur de Lotus;The Dead Line;The Phantom of the Opera;The Extraordinary Adventures of Saturnino Farandola;Momotaro;Jumping the Blanket;Around the Flip-Flap Railroad;Three American Beauties;Un viaggio in una stella;Nordisk Films Kompagnis studier;Die badende Nymphe;
75;1776, or The Hessian Renegades;Le bon écraseur;;;;;"Félix Mayol Performs ""White Lilacs""";The Man from the East;Dr. Jekyll and Mr. Hyde;"The Twentieth Century Tramp; or, Happy Hooligan and His Airship";The Love Affair of Ima Knut;Buffalo Dance;General Mitre's Visit to the National Museum;Money Mad;Passione tsigana;The Aviator's Generosity;Der Flachs und seine Veredelung;
76;A Chance Deception;Mireille;;;;;Saharet Performs the Bolero;Fame and Fortune;The Troublesome Fly;An Over-Incubated Baby;Bobby Bumps and the Stork;New York, descente des voyageurs du pont de Brooklyn;Attack on a China Mission;Lightning Sketches;Bizzarrie di una ruota;De dumme Mandfolk;Lepain Part 1: The King of the Innocents;
77;His Last Dollar;Tartarin de Toulouse;;;;;A Priest's Conscience;The Patriot;Chinese Magic;A Trip to the Moon;The Ghost of Slumber Mountain;The Mechanical Butcher;Demolishing and Building Up the Star Theatre;Matsumoto Fragment;Sotto l'ala della morte;Gæstespillet;Das andere Ich;
78;The Left-Handed Man;Un coup de vent;;;;;The Tigress;Nobody's Wife;Faust and Mephistopheles;Conquering the Skies;Throwing the Bull;Pompiers : attaque du feu;Chasles;L'Assommoir;Il mio cadavere;The Night Before Christian's Birthday;Vienna in War;
79;The Two Paths;Baby Fisherman;;;;;Faust;The Quakeress;The Coroner's Mistake;Alive 2007;Romeo and Juliet;Childish Quarrel;Sherlock Holmes Baffled;The Last Days of Pompeii;Maciste the Sleepwalker;Hittebarnet;The Firm Gets Married;
80;The Gold Seekers;Bébé nègre;;;;;When Marian was Married;The Hell Cat;Yotsuya Kaidan (Jitsoroku Oiwa);Alraune, die Henkerstochter, genannt die rote Hanne;The Merchant of Venice;L'Homme Machine;The Cook in Trouble;The White Caps;Galileo Galilei;Panopta I;Der Fall Rosentopf;
81;Taming a Husband;Bébé sur la Canebière;;;;;Les congierges;The Trail of the Silver Fox;Yotsuya Kaidan;The Destruction of Mankind;Old King Koal;Awakening of Rip;The Triple Conjurer and the Living Head;An Adventurous Automobile Trip;Il tesoro dei Louzat;Zigeunerorkestret;Tyrol in Arms;
82;The Missing Links;Lysistrata or The Kissing Strike;;;;;Les démolisseurs;Wild and Woolly;Shin Yotsuya Kaidan;The Mysterious Book;Peter's Picture Poems;Transformation by Hats;Mary Jane's Mishap;Barcelona by Tram;From the Royal Villa at Rjeka (Montenegro);Balloneksplosionen;Spiel im Spiel;
83;The Greatest Thing in Life;The Imager of Mont Saint-Michel;;;;;What Will People Say?;The Lady of the Dugout;Yotsuya Kaidan;;Romiet and Julio;Douche après le bain;An Impossible Balancing Feat;The Enchanted Sedan Chair;Bloomer Tricks Sherlock Holmes;Grev Dahlborgs hemmelighed;Clash of the Titans;
84;An Arcadian Maid;The Shipwreck;;;;;Heart of a Painted Woman;The Tomboy on Bar Z;Yotsuya Kaidan;;Una noche de gala en el Colón;Boys Playing Leapfrog: Side View;The Dwarf and the Giant;Wallachian Nomads;On the Steps of the Throne;Blandt københavnske Apacher;The Suffragette;
85;The Golden Louis;The Buoy;;;;;The Woman of Mystery;Broncho Billy and the Schoolmistress;Oiwa Inari;;O Kaiser;A Hand Shake;The Haunted Curiosity Shop;The Stranglers;A Lively Day Off;Gøglerblod;Komisches Reck;
86;A Flash of Light;Charitable Childhood;;;;;Napoleon;Fighting Blood;Het geheim van het slot Arco;;An Adventure in the Sky;Exit of Rip and the Dwarf;Loie Fuller;Joined Lips;Treno di lusso;Kean;Die Insel der Seligen;
87;A Beast at Bay;A Restless Night;;;;;Danse basque;The Virginian;Asleep at the Switch;;A Newlywed Phable;Mr. Edison at Work in His Chemical Laboratory;Faust and Mephistopheles;Dreams of Toyland;Ferravilla nelle sue più caratteristiche interpretazioni;Svend Dyrings hus;The Pride of the Firm;
88;Enoch Arden: Part II;The Beggar's Christmas;;;;;La crinoline;The Mended Lute;The Freak Barber;;Twas But a Dream;Rough Sea at Dover;The Inn Where No Man Rests;Coney Island at Night;La class di asen;The Non-Stop Motor Bicycle;Kamarinskaja;
89;The Song of the Shirt;Jeunes filles d'hier et d'aujourd'hui;;;;;L'arroseur arrosé;Alkali Ike's Auto;Conscience;;Feet Is Feet: A Phable;The Famous Box Trick;Jack and the Beanstalk;A Trip Down Market Street Before the Fire;La donna fatale;De skraa Brædder;Tales of Hoffmann;
90;Swords and Hearts;Photographic Expressions;;;;;Broken Oaths;The New Schoolmarm of Green River;The Haunting Fear;;Cooks vs. Chefs: The Phable of Olaf and Louie;Child Bringing Bouquet to Woman;A Nymph of the Waves;Kathleen Mavourneen;Il leone mansueto;Barn i kirke;Die silberne Kugel;
91;The Renunciation;Les fiancés de 1914;;;;;The Song of the Wage Slave;Told in Colorado;The Avenging Hand;;Cartoons on a Yacht;Radeau avec baigneurs;Spanish Bullfight;The Black Hand;Corradino di Svevia (L'ultimo degli Hobenstarfen);The Child as Benefactor;Nirwâna;
92;The House with Closed Shutters;Bébé a le béguin;;;;;Course de taureaux à Nîmes;The Secret Man;A Midnight Episode;;Paper Cuttings;Mosquinha;Drama at the Bottom of the Sea;The Dog and His Various Merits;Brutus;Fra det mørke København;Fünf Minuten zu spät;
93;The Vaquero's Vow;La fille du faux-monnayeur;;;;;Mireille;Her Indian Hero;The Haunted House;;John Bull's Animated Sketchbook No. 4;Rip's Twenty Years' Sleep;Execution of Czolgosz with Panorama of Auburn Prison;Spain;Otello;Zigeuneren Raphael;Harry wird Millionär;
94;Betrayed by a Handprint;Bout-de-Zan s'amuse;;;;;Good Evening, the Flower Fairy;The Silent Man;The Miser's Doom;;John Bull's Animated Sketchbook No 15;Transport of a Turret by a Team of 60 Horses;An Extraordinary Dislocation;When Knights Were Bold;Macbeth;Female Wrestlers;Damn the War;
95;The Test;Bout-de-Zan et le crime au téléphone;;;;;Cousins of Sherlocko;The Man from Painted Post;The Doll's Revenge;;John Bull's Animated Sketch Book;The Barbershop;Le village de Namo - Panorama pris d'une chaise à porteurs;Jim's Apprenticeship;The Thirteenth Man;Hotel Electric;Living Sculptures: Film Study for Screen Artist;
96;The Feud and the Turkey;L'hôtel de la gare;;;;;Mr. Bruce Wins at Cards;Broncho Billy and the Greaser;Faust : métamorphose de Faust et apparition de Marguerite;;John Bull's Animated Sketch Book;The Boxing Kangaroo;Cyrano de Bergerac;The Lucky Farrier;La memoria dell'altro;Konfetti;The ABC of Love;
97;The Sands of Dee;Le jocond;;;;;The Sewer;The Squaw Man's Son;Jizo the Ghost;;John Bull's Sketch Book;Rip's Toast to Hudson;The Kiss;The 'Teddy' Bears;La falena;The Expert Hunter;Die schwarze Natter;
98;Fighting Blood;L'accident;;;;;The Thief;A Night on the Road;The Picture of Dorian Gray;;Le Rotisseur;Something Good — Negro Kiss;The Cook's Revenge;Market Day in Bitola;In Love and War;The New Teacher;The Vain Parlor Maid;
99;The Mended Lute;L’aventurière;;;;;The Strike;Unwritten Law of the West;Lilith und Ly;;Les Bulles de Savon;Caicedo (with Pole);Rube and Mandy at Coney Island;Aladdin and His Wonder Lamp;Cervino 1901;Der var engang;Der Märtyrer seines Herzens;
100;Her Terrible Ordeal;Le Violon;;;;;A Man's a Man;Why Broncho Billy Left Bear County;Die Eisbraut;;L'Équilibriste;Bonne d'enfants et soldat;Stop Thief!;The Runaway Horse;Gabriella di Beaulieu;The Merry Widow;Die Serpentintänzerin;
101;A Drunkard's Reformation;At the Fault Line;;;;;La chaussette;Custer's Last Fight;The Bells;;Les Chiens Savants;Déjeuner du Chat;"Scrooge; or Marley's Ghost";The Celebration of the Religious Festival Epiphany;Tristano e Isolda;Hovmod staar for fald;The Abduction of the Slave Women;
102;My Baby;The Fate of Mothers;;;;;Déménagement à la cloche de bois;Life on the Circle Ranch in California;Cuore di mamma;;Le Steeple-chase;The Hallucinated Alchemist;At the Floral Ball;The Man with White Gloves;Riprese in Egitto;The Modern Girl;Blind Cow;
103;Her First Biscuits;Monique's Past;;;;;A Comedy of Errors;The Heart of Texas Ryan;Homunculus;;Le Repas des Poulets;Fencing;Scenes on Mr. Smit's Ostrich Farm;That Fatal Sneeze;The Eruption of Mount Etna;Love in the Tropics;Frau Gertrud Namenlos;
104;A Salutary Lesson;My Uncle;;;;;The Standing Cock;The Lamb;Satan's Castle;;Le Fumeur;Je Vous Aime;The Return of a Merry Fellow;Laplander Feeding His Reindeer;The Idiot;Fabians skovtur;Malaria;
105;What Shall We Do with Our Old?;The Prince of Forgiveness;;;;;What is a flag?;Love's Lariat;Plyaska smerti;;La Balançoire;Baby's First Steps;Comical Conjuring;Clown, Dog and Balloon;L'aquila;The Isle of the Dead;John Rool;
106;The Thread of Destiny;Our Poor Heart;;;;;In a Bamboo Hut;His Mother;Zhenshchina vampir;;La Charmeuse;Arrivée d'un train à Perrache;Panorama of Eiffel Tower;Le cireur distrait;Zingari;Zigeunerprinsessen;Das Hexenlied;
107;The Sunbeam;A Marriage of Reason;;;;;A Terrible Lesson;The Mysterious Outlaw;Viy;;Le Trapèze;Le goûter des bébés;Ameta;A Sticky Woman;Cretinetti s'incarica del trasloco;The Magic Bag;Die Fürstin von Beranien;
108;A Wreath of Orange Blossoms;The Blazon;;;;;For Love of the Flag;The Man from Funeral Range;The Ghost of Twisted Oaks;;Le Jeu du Volant;London Street Dancers;A Romance of the Rail;The Night Before Christmas;Il regalo di Cretinetti;Holger the Dane;Der stumme Zeuge;
109;The Final Settlement;The Wagon Child;;;;;The Great Adventure;Heredity;The Dancing Skeleton;;Zim, Boum, Boum;Admiral Cigarette;The Cabbage-Patch Fairy;A Military Prison;Cretinetti distratto;Fangen fra Erie Country Tugthus;Das Buch des Lasters;
110;Diane of the Follies;The Andalusian Girl;;;;;Beasts of the Jungle;The Efficacy of Prayer;Viy;;Le Jeu de Corde;Athlete with Wand;Panorama of Esplanade by Night;Les deux gosses;Cretinetti ficcanaso;Who Is She?;Lepain Part 2: The Fight With Master Detective John Hawks;
111;The Unwelcome Guest;At the Hour of Dawn;;;;;Dick Whittington and His Cat;Broncho Billy for Sheriff;The Skeleton;;The Aquarium;The Wave;Dream and Reality;Mais n'te promène donc pas toute nue;The Sign of the Black Lily;Storstadens Hyæne;Schatten der Nacht;
112;Lady Helen's Escapade;The Secret of Forçat;;;;;House of Cards;A Montana Mix-Up;The Phantom Violin;;Dancing on the Rope;Luis Martinetti, Contortionist;How It Feels to Be Run Over;The Irresistible Piano;The Spider and the Fly;Faldgruben;The Shylock of Kraków;
