;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
160;The Awakening;Napoléon, Bébé, and the Cossacks;;;;;The Fisherman at the Stream;A Temporary Truce;;;Bobby Bumps, Surf Rider;Paysans à Paris;Miss Dundee and Her Performing Dogs;Good Glue Sticks;Sansone e la ladra di atleti;Mørkets Gerninger;Eva contra Adam;
161;Madonna of the Storm;The Story of Midinette;;;;;;Forgiven in Death;;;Cat Trotting, Changing to a Gallop;Vienne : retour des courses;Ali Baba and the Forty Thieves;Magic Bricks;Il re dell'abisso;Mens Pesten raser;Der Gürtel der Dollarfürstin;
162;Deceived Slumming Party;Bout-de-Zan at the Masquerade Ball;;;;;;Billy and His Pal;;;Without a Trace;Bicyclist;Uncle Josh in a Spooky Hotel;Adventures of Sherlock Holmes;Albertini contra de schorpioen;Unjustly Accused;Der Hilferuf;
163;Pranks;Les Etrennes de Bout-de-Zan;;;;;;Broncho Billy and the Rustler's Child;;;Kapten Grogg och fru;Boxing;Jésus devant Pilate;The Dreyfus Affair;Idolo infranto;Hans Kusine;Das Geschick der Julia Tobaldi;
164;The Light That Came;Bout-de-Zan revient du cirque;;;;;;Delayed in Transit;;;Kapten Grogg gifter sig;Glenroy Brothers (Comic Boxing);Gordon Highlanders in Ladysmith;Lady Jane’s Flight, a 17th Century Romance;La vendetta del pugnale;Naar man er ung og forelsket;Siri;
165;Winning Back His Love;Bout-de-Zan et le cigare;;;;;;The Rose of Old St. Augustine;;;Colonel Heeza Liar's African Hunt;A Morning Bath;Exploding a Whitehead Torpedo;Flottenmarsch;L'invidia;Dødsklippen;Seltsame Köpfe;
166;The Day After;L'Intruse;;;;;;A Woman's Fool;;;Kapten Grogg vid Nordpolen;The Magic Rosette;A Daring Daylight Burglary;Beauty and the Beast;Le avventure di Colette;The Secret of Adrianople;Die blaue Mauritius;
167;Love in an Apartment Hotel;Le Festin de Balthazar;;;;;;The Pitch o' Chance;;;Animated Putty;Photograph;Misfortune Never Comes Alone;The Abduction of an Actress;I misteri della psiche;Mands Vilje;Die Silhouette des Teufels;
168;Betty of Greystone;The Legend of Daphne;;;;;;The Hills of Peace;;;Hunter and Dog;Post No Bills;The Coronation of Edward VII;The Taming of the Shrew;Cuore di mamma;Præstens Datter;Börse und Adel;
169;Madame Rex;André Chénier;;;;;;Broncho Billy's Pal;;;Colonel Heeza Liar, Ghost Breaker;Fire Rescue Scene;The Magician's Cavern;The Knight of Black Art;Who Was Guilty;Prøvens Dag;Stein unter Steinen;
170;The Song of the Wildwood Flute;Le Lys d'or;;;;;;Broncho Billy and the Bad Man;;;How Plimps and Plumps Fooled the Detective;Cockatoo Flying;What Is Seen Through a Keyhole;A Crazy Composer;Satan's Castle;Pigespejderen;Das Opfer;
171;A Victim of Jealousy;La trouvaille de Bébé;;;;;;A Ranchman's Wooing;;;A Geni and a Genius (Series 2);Ladies' Skirts Nailed to a Fence;Captain Nissen Going Through Whirlpool Rapids, Niagara Falls;Halifax Catholic Procession;Tecoppa e altri personaggi di Edoardo Ferravilla;Hendes Hjertes Ridder;Das Rätsel von Sensenheim;
172;Tender Hearts;La Bous-Bous-Mie;;;;;;The Taming of Grouchy Bill;;;A Geni and a Genius (Series 1);The Burglars;Swiss Village, No. 2;Stenka Razin;Exceeding the Time Limit;Moderkærlighed;Der Letzte eines alten Geschlechtes;
173;A Calamitous Elopement;C'est Papa qui a pris la purge;;;;;;Six Cylinder Love;;;Animated Doll and Toy Town Circus;Rip Leaving Sleepy Hollow;President McKinley Taking the Oath;The Miller’s Daughter;Rirì ha una coscienza;En Søns Kærlighed;Zirkusblut;
174;Heart Beats of Long Ago;The Magnetized Man;;;;;;Riders of the Purple Sage;;;Der Captain Is Examined for Insurance;Interrupted Lovers;Weary Willie and Tired Tim: The Gunpowder Plot;An Obstacle Course;Una giornata ventosa;A Marriage of Convenience;Der schwarze Pierrot;
175;Mr. Jones at the Ball;Le fils de Locuste;;;;;;The Escape of Jim Dolan;;;Der Captain Discovers the North Pole;Writing Backwards;The Congress of Nations;Modern Education;Nella laguna pittoresca;Arbejdet adler;Im Rausche der Sinne;
176;The Modern Prodigal;Bébé apache;;;;;;A Sister of Six;;;Sharks Is Sharks;Bassin des Tuileries;Automated Hat-Maker and Sausage-Grinder;A Very Fine Lady;L'orgoglio;Forbandelsen;Das Gift im Weibe;
177;The Primal Call;Policemen as We Portray Them / Policemen as They Are;;;;;;The Craven;;;Cartoons in the Hotel;The Assassination of the Duke de Guise;Chamonix, Le Village;The Hypnotist's Revenge;Il polentone a Pont Canavese;Frøken Theodor;Ivan Koschula;
178;A Child of the Ghetto;The Colonel's Account;;;;;;Broncho Billy's Narrow Escape;;;Cambó and Self-Government;Bourricots sous les palmiers;Living Sculptures: Film Study for Screen Artist;The Mutiny on the Potemkin;La vagabonda;Oh those Women;Das Geschlecht der Schelme. 1. Teil;
179;The Politician's Love Story;The Pumpkin Race;;;;;;Pendaison à Jefferson City;;;Hänschens Soldaten;Crissie Sheridan;The Misfortunes of an Explorer;His First Job;Maria Rosa di Santa Flavia;Oh! That Cheese;Ein Jagdausflug nach Berlin;
180;What the Daisy Said;La terroriste;;;;;;One Hundred Dollars, Dead or Alive;;;Farmer Al Falfa's Revenge;S.S. 'Williamette' Leaving for Klondike;At the Photographer's;The Chinese Shadows;Ricordo della Settimana d’Aviazione;The Seaside Hotel;Der Viererzug;
181;The Redman's View;The Trust, or The Battles for Money;;;;;;The Squaw Man;;;In the Land of Nod;Débarquement;The Fairy of Spring;The Tempest;Bloomer and the Tango;A Woman’s Way;Er soll dein Herr sein;
182;My Hero;The Defect;;;;;;The Redman's View;;;The Apostle;Alger: rue Bab-Azoun;A Desperate Poaching Affray;A Little Girl Who Did Not Believe in Santa Claus;Grenadier Roland;Outwitted;Sein Weib;
183;Daphne and the Pirate;Bout de Zan Steals an Elephant;;;;;;My Hero;;;Introducing Krazy Kat and Ignatz Mouse;Cupid at the Washtub;A Holiday Pageant at Home;"Polin Performs ""The Anatomy of a Draftee""";Un amore selvaggio;Lady Mary's Love;Opfer um Opfer;
184;His Trust Fulfilled;Bout-de-Zan et l'embusqué;;;;;;Making a Man of Her;;;Farmer Al Falfa's Wayward Pup;Champs-Élysées;The Seven Castles of the Devil;Ulysses and the Giant Polyphemus;Dante e Beatrice;For Sit Lands Ære;Sie gewinnt sich ihren Mann;
185;The Red Girl;;;;;;;The Canceled Mortgage;;;Bobby Bumps Gets a Substitute;Clown and His Dogs;At the Foot of the Flatiron;Dismissal from Mass in Ljutomer;Cretinetti cerca un duello;Zigøjnerblod;Der Treubruch;
186;The Newlyweds;;;;;;;Rimrock Jones;;;Police Dog on the Wire;Come Along, Do!;The Prolific Magical Egg;A Four-Year-Old Heroine;Hero and Leander;Tidens Barn;Die sprechende Hand;
187;Near To Earth;;;;;;;When Luck Changes;;;Goodrich Dirt, Cow Puncher;La Canebière;Revue à Longchamp : défilé de la Garde Républicaine et des pompiers;Sheep Slaughter;Beatrice d'Este;Dearly Purchased Honour;Die Geschichte eines Spitzentuches;
188;Conscience;;;;;;;A Cowboy's Vindication;;;Cramps;Maximilianeum;The Marvellous Wreath;The Inventor Crazybrains and His Wonderful Airship;The Blind Man's Daughter;The White Slave Trade;Das Gift der Odawara;
189;In Old California;;;;;;;Broncho Billy's Greaser Deputy;;;The Mysterious Fine Arts;Ringkämpfer;Fun in a Bakery Shop;Le Voleur invisible;Monna Vanna;A Recruit from 64;Kaêna;
190;Old Heidelberg;;;;;;;The Impersonation of Tom;;;Petit Chantecler;Liverpool, panorama pris du chemin de fer électrique, I;Egyptian Fakir with Dancing Monkey;Panorama, Notorius 'Barbary Coast';Bellezze italiche no.4: Trento e dintorni;Dutch Types;Zlatorog;
191;The Lily and the Rose;;;;;;;An Indian's Loyalty;;;Matrimonial Shoes;Washerwomen on the River;Terrible Teddy, the Grizzly King;The Watermelon Patch;Paper Manufacturing;Kong Frederik VIII's første Kongerevue;Das Frühlingslied;
192;The Little Tease;;;;;;;The Life of Buffalo Bill;;;Comic Mutations;The Musician Monkey;The Microscopic Dancer;Christian Martyrs;L'accidia;Kong Frederik VIII's Død Og Bisættelse;Der weiße Schrecken;
193;The Italian Barber;;;;;;;A Knight of the Range;;;Monsieur Clown Among the Lilliputians;Arab Cortege, Geneva;Watermelon Contest;San Francisco Earthquake & Fire: April 18, 1906;The False Oath;Kaiser Wilhelm arrival to Copenhagen 2.4;Die Nacht des 24. August;
194;When a Man Loves;;;;;;;Iola's Promise;;;The Four Little Tailors;Chirgwin in His Humorous Business;Love by the Light of the Moon;The Whole Dam Family and the Dam Dog;Una notte a Calcutta;The Great Circus Catastrophe;Der grüne Diamant;
195;Three Friends;;;;;;;The Mystery of Lonely Gulch;;;The Twelve Labors of Hercules;Panorama de l'arrivée en gare de Perrache pris du train;Boys Diving, Honolulu;L'Obsession de l'or;The Grateful Mice;The Road to Happiness;Schwiegermutter;
196;Iola's Promise;;;;;;;The Hero Track Walker;;;Old Man Hanasaka;Lasso Thrower;Hat of Many Surprises;The Glue;The Clay Industry in Sicily;A Prince of Bharata;Der geprellte Don Juan;
197;That Chink at Golden Gulch;;;;;;;Saved by the Pony Express;;;The Battle of the Monkey and the Crab;Les tribulations d'un concierge;Turn-of-the-Century Surgery;Diabolical Pickpocket;Through Sicily;Thief of Hearts;Wenn Frauen lieben und hassen;
198;A Feud in the Kentucky Hills;;;;;;;Parson Sue;;;Paper Cock-a-Doodles;Cleopatra's Tomb;Panorama de la ligne de Cauterets, III. Le tunnel;The Little Soldier Who Became a God;Robinet Reporter;Krigens Ofre;Rauschgold;
199;The Faded Lilies;;;;;;;The Better Man;;;Bobby Bumps, Office Boy;The Boulevard of Scheveningen;Bird's-Eye View of Dock Front, Galveston;In the Bogie Man's Cave;Robinet ricattatore;Dr. Gar El Hama's Flight;Und stets kam was dazwischen;
200;The Rocky Road;;;;;;;Little Dove's Romance;;;Cartoons on the Beach;Corbett and Courtney Before the Kinetograph;Firemen to the Rescue;Julius Caesar, an Historical Tragedy;Il Natale di Cretinetti;Desdemona;Das Spiel mit dem Tode;
201;The Red Man and the Child;;;;;;;A Bit of Blue Ribbon;;;Dr. Macintyre's X-Ray Cabinet;London, Cinematography Entry;Buffalo Bill's Wild West Parade;San Francisco: Aftermath of Earthquake;Il Natale di Cretinetti;The Robber's Sweetheart;Der Dieb;
202;The Deception;;;;;;;The Scrapper;;;A Match Box Mystery;Assiettes tournantes;Cronje's Surrender to Lord Roberts;The Defilee of Army Orchestra, Carriages and Horsemen;La corsara;Love's Devotee;Der Sultan von Johore;
203;Teaching Dad to Like Her;;;;;;;Bad Buck of Santa Ynez;;;Unusual Cooking;Horse Shoeing;A Political Discussion;A Veterinary Station;Jealousy;En Fare for Samfundet;Othello;
204;Her Mother's Oath;;;;;;;The Red Man and the Child;;;Rosalie and Her Phonograph;Woman Throwing Baseball;How Monsieur Takes His Bath;The Dream of an Opium Fiend;La piccola ombra;Livets Stormagter;Gesucht ein Mann, der ein Mann ist;
205;His Mother's Son;;;;;;;The Last of the Line;;;La vengeance des esprits;Lion, London Zoological Gardens;Washing Up And Blacking Up;Dranem Performs The True Jiu-Jitsu;La Morte Che Assolve;Lægen;Die Geisel der Menschheit;
206;The Hun Within;;;;;;;Calamity Anne's Ward;;;Roald Amundsen on the South Pole;The Boxing Kangaroo;The Georgetown Loop;Father Gets in the Game;Esposizione di Torino;A Friend of the People;John Riew;
207;The Baby and the Stork;;;;;;;The Flaming Arrow;;;Gertie the Dinosaur;Turkish Dance, Ella Lola;Puss In Boots;Beginning of the Serpentine Dance;Esposizione di Torino;Danse-Galskab;Andreas Hofer;
208;A Terrible Discovery;;;;;;;He Died and He Didn't;;;Ever Been Had?;Women Fighting;The Dude and the Burglars;In the Family Garden;Le due seduzioni;The Man Without a Future;Die Augen der Schwester;
209;The Perfidy of Mary;;;;;;;The Rustler's Reformation;;;Communism;Gold Rush Scenes in the Klondike;Rocking Gold in the Klondike;An Awful Symphony;Umanità;His Innocent Dupe;Die Liebe siegt;
210;The Tender Hearted Boy;;;;;;;Changing Cooks;;;Battle Of The North Sea;Rip's Toast;Le repas fantastique;Don Juan Tenorio;Addio mia bella adio... L'armata se ne va;The Saving Film;Der Smaragd;
211;The Chief's Blanket;;;;;;;Speed Versus Death;;;Music-Mania;The Last Cartridges;Le Bey de Tunis et les personnages de sa suite descendant l'escalier du Bardo;Wallachian Dance;Sunbeam;On Special Commission;Das Glück der Frau Beate;
212;The Marriage of Molly-O;;;;;;;The Debt Repaid;;;The Magic Hoop;Récréation à la Martinière;The Ballet Master's Dream;The Race for the Sausage;From the Verbano to Switzerland Through the Gotthard;Flotsam;Erloschenes Licht;
213;Waifs;;;;;;;The Seal of the Church;;;The Fantasies of Agénor Maltracé;Chicago Police Parade;The Interrupted Bathers;The Magician's Alms;The Italian Switzerland;Two People;Dichterlos;
214;The Enemy's Baby;;;;;;;Branding a Thief;;;The Master of a Fashionable Game;Le maréchal-ferrant;From Show Girl to Burlesque Queen;J'ai perdu mon lorgnon;Life in Holland;Revolutionary Wedding;Das Sterben im Walde;
215;The Sorrowful Shore;;;;;;;A Desperate Remedy;;;The Persistent Salesman;Bocal aux poissons-rouges;Off to Bedlam;Getting Evidence;Fedora;The Man with the Missing Finger;Mannequins;
216;The Ranchero's Revenge;;;;;;;Old Norris' Gal;;;The Next Door Neighbors;The Seaforth Highlanders' Return to Cairo after the Fall of Omdurman and Khartoum;A View Taken from a Mobile Platform II;The Vain Parlor Maid;Tosca;In Defense of the Nation;Adrian Vanderstraaten;
217;The Stolen Loaf;;;;;;;Liefde waakt;;;Ein neuer Dreibund;Mort de Charles Ier;The Landlady;The Sorcerer's Scissors;Mam'selle Nitouche;The Cable Thieves;Klein Doortje;
218;If We Only Knew;;;;;;;The Saving Grace;;;John Bull;Jérusalem : une rue;A Photograph Taken From Our Area Window;The Life of a Cowboy;Grandmother's Lamp;The Candle and the Moth;Gräfin Maruschka;
219;The Hero of Little Italy;;;;;;;Back to the Kitchen;;;The Devil in the Nut;Tapping a Blast Furnace;Pope Leo XIII in His Carriage;A Winter Straw Ride;L'avarizia;A Difficult Choice;Das Millionen-Halsband;
220;Brothers;;;;;;;Sands of Fate;;;Colonel Heeza Liar Foils the Enemy;Comic Encounter in the Djurgården;The Boy In The Barrel;Max Learns to Skate;Jerusalem Liberated;The World Gift;Die Sphinx;
221;A Misappropriated Turkey;;;;;;;The Tavern of Tragedy;;;Mr. Crack;Voltige;Bradford City v Gainsborough Trinity;The Religious Holiday All Souls’ Day;The Naked Truth;Dødsklokken;Des Prokurators Tochter;
222;An Adventure in the Autumn Woods;;;;;;;The Mountain Rat;;;Nothing Is Impossible for Man;The Corbett-Fitzsimmons Fight;Karina;A Slave's Love;Ivonne, la bella danzatrice;Alone with the Devil;Die Eheschule;
223;Bill Sharkey's Last Game;;;;;;;Captain Courtesy;;;A History of Hats;Bal d'enfants;Entry of the Scots' Guards into Bloemfontein;The Abduction of the Slave Women;Lea on Rollerskates;The Red Club;Lache Bajazzo;
224;His Mother's Son;;;;;;;The Belle of Bar-Z Ranch;;;The Smile-O-Scope;Retour d’une promenade en mer;Jack Jags and Dum Dum;Jim is Fond of Garlic;Lea as a Doll;John Takes Himself Off;Das Geheimnis der Briefmarke;
225;The Sheriff's Baby;;;;;;;The Empty Gun;;;Childish Dreams;Place de l'Opéra;The Martyred Presidents;The Mischance of a Photographer;Cab Number 13;The Count's Double;Zur Strecke gebracht;
226;For a Wife's Honor;;;;;;;Captain Midnight, the Bush King;;;Floral Frameworks;Akrobatisches Potpourri;Starting a Skyscraper;The Cleaning Man;The Other Me;The Magic Purse;Teufelchen;
227;For Love of Gold;;;;;;;Dan Morgan;;;Japanese Fantasy;Ostriches;The Wandering Jew;"Félix Mayol Performs ""The Trottins' Polka""";The Damnation of Cain;La Tosca;Ahlbeck. Wilhelm II Visits a Working-Class Children's Home;
228;The Man and the Woman;;;;;;;The Beast;;;Let's Be Sporty;Lyon : Quai de l'Archevêché;The Troublesome Fly;In the Barber Shop;The Golden Wedding;Præsten fra havet;Der Herr der Welt;
229;The Fight for Freedom;;;;;;;The Fatal Card;;;Transfigurations;Moscow, Tverskaia Street;Chinese Magic;Deceived Slumming Party;Impressions of Spain;The Clown;Homunkulieschen;
230;When Kings Were the Law;;;;;;;The Trials of Texas Thompson;;;The Enchanted Spectacles;Matches: An Appeal;Danse slave;Nurses' Strike;Carmen;I Want to Speak to Johnson;Launch of an Observation Balloon;
231;The Unveiling;;;;;;;The Washerwoman's War;;;An Ace and a Joker;Bains sur la Saône;Romeo et Juliette;Why Girls Leave Home;Le mogli e le arance;Secret of the Pavillions;Amid the Lovely Swiss Alps;
232;Italian Blood;;;;;;;Toad Allen's Elopement;;;The Magic Brew;Boules Game;Départ de ballons au concours de Vincennes;The Nihilists;Anna Karenine;The Confidence Trick;Das Teufelsloch;
233;The Duke’s Plan;;;;;;;The Home Trail;;;The Beautiful Leukanida;Suicide of Colonel Henry;Boar Lane, Leeds;Madame's Cravings;Bink's Toreador;The Human Ape;Ostpreußen und sein Hindenburg;
234;The Cloister’s Touch;;;;;;;Heart of the Wilds;;;Bobby Bumps' Fight;The Fight of Reporters;Tommy and the Mouse in the Art School;Panorama of Market Street, the City Hall, Taken from the Roof of the U.S. Mint;Lucciola;Pat Corner;Good evening, flowers!;
235;Tragic Love;;;;;;;A Texas Steer;;;Bobby Bumps on the Doughnut Trail;Imperial Japanese Dance;Easter Mona;Dramma in un albergo;La perla di posillipo;The Two Gold Diggers;Ein neuer Apparat zur Verhütung von Kinobränden;
236;A Rude Hostess;;;;;;;The Sandhill Lovers;;;The Adventures of Wee Rob Roy;Ploughing;Japanese Masquerade;The Frog;Amore e ipnotismo;The Short-Sighted Governess;Das eiserne Kreuz;
237;A New Trick;;;;;;;A Yellow Streak;;;Tale of the Ark;The Launch of H.M.S. Albion;Scenes from the Orchard;A Calamitous Elopement;Too Beautiful!;The Mysterious Cigar;Morphium;
238;The Mills of the Gods;;;;;;;Rough and Ready;;;Affairs of the Heart;Brooklyn, Fulton Street;Nabbed by the Nipper;The Indian Sorcerer;Santa Lucia;Dr. Cook at Copenhagen;Zigeunerweisen;
239;Leather Stocking;;;;;;;The Wanderer;;;The Sculptor's Nightmare;Horse and Rider Jumping Over an Obstacle;Why Bridget Stopped Drinking;Mr. Jones at the Ball;Peanuts and Bullets;Grundstensnedlæggelse ved Gustav Adolfs Kirke;3000 mark reward;
240;In the Window Recess;;;;;;;The Chief's Blanket;;;A Duet;Revue à Longchamp : défilé du Génie;Cyclistes dans le jardin de la villa Lavanchy-Clarke;The Marriage of Princess Ena and Alphonse XIII, King of Spain;Didone abbandonata;A Trip Through the Canals of Copenhagen;Die Verführten;
241;In Little Italy;;;;;;;The Caballero's Way;;;Krazy and Ignatz Discuss the Letter 'G';Princess Ali;La mort de Chocolat;Rescued in Mid-Air;La zia Bettina;Typografernes Strejke;Die Liebschaften der Käthe Keller;
242;The Hindoo Dagger;;;;;;;The Man of the Desert;;;The Tooth Devil;Colleurs d'affiches;Le policeman;The Lady with the Camellias;Papà;Kong Frederik VIII gæster Jylland;Ballonaufstieg;
243;The Expiation;;;;;;;Beyond the Law;;;The Boutdebois Brothers;Panorama de l’arrivée à Aix-les-Bains pris du train (temps de neige);Manila Colonial Scenes;Lejonjakten.;La maschera pietosa;Skøjteløbning i Fredericia;Aufblase-Akt mit Luftpumpen;
244;The Eavesdropper;;;;;;;Ruggles of Red Gap;;;TR's Arrival in Africa;Partie de cartes;Workers Leaving the Jute Works, Barrow;Whaling Afloat and Ashore;Victory or Death;Københavnerbilleder;Der Film von der Königin Luise - 3. Abteilung: Die Königin der Schmerzen;
245;The Death Disc: A Story of the Cromwellian Period;;;;;;;The Trail's End;;;Drama at the Puppets' House;Paris, le Pont-Neuf;A Reservist Before and After the War;Legend of a Ghost;A Victim of Vengeance;Automobiler i Fredensborg;Der Film von der Königin Luise - 2. Abteilung: Aus Preußens schwerer Zeit;
246;A Burglar’s Mistake;;;;;;;The Branded Man;;;The Pumpkin Race;At the Hypnotist's;When Daddy Comes Home;The Rolling Bed;Sua Maestà il sangue;Sprængning af Træer i Dyrehaven;Der Film von der Königin Luise - 1. Abteilung: Die Märtyrerin auf dem Königsthron;
247;And a Little Child Shall Lead Them;;;;;;;The Midnight Flyer;;;The Extra-Quick Lunch;Mauvaises herbes;Ladies Training for Cycle Races;Reprisals by the Turkish Army Against the Macedonian Population;Like a Sister;Sprængning af Huse i Ordrup Krat;Wenn Tote sprechen;
248;The Tavern Keeper’s Daughter;;;;;;;The Mysterious Shot;;;Guillaume Tell;La foule sur la place de l’Opéra;Mayor Entering His Carriage Near the Town Hall, Halifax;The Red Girl;L'auto di Robinet;Hestevæddeløb i Sverige;Erlkönigs Töchter;
249;A Wreath in Time;;;;;;;The Wrong Man;;;Spanish Clair de Lune;After Launching;La pêche miraculeuse;Modern Sculptors;Ascension to the Giant's Tooth;Badende Drenge i Skovshoved Havn;Die Zwillingsschwestern;
250;The Wooden Leg;;;;;;;The Golden Bullet;;;Urban Science: To Demonstrate How Spiders Fly;Chinese Laundry Scene;Sailor and Cop in Carpet;The Other Side of the Hedge;A Blind Retribution;Shrovetide Celebrations at Mogensen's;Der Mutter Ebenbild;
251;The Winning Coat;;;;;;;Six-Shooter Justice;;;The Happy Microbes;The Pyramids (Overview);L'histoire d'un crime;Cake-walk nègre;Le due innamorate di Cretinetti;Fru Ellen Aggerholm;Um ein Weib;
252;A Troublesome Satchel;;;;;;;The Almost Good Man;;;En route;Revue à Longchamp : arrivée de M. le président Félix Faure;Malta;Den glada änkan;A Marriage in the Moon;Kong Frederik VIII besøger Færøerne;Der fliegende Holländer;
253;Those Boys!;;;;;;;A 44-Calibre Mystery;;;A Peace of Coal;The Mysterious Knight;Louisiana Lou;The Flight from the Seraglio;The Ascent of the Matterhorn (1912);Ellehammers første Forsøg med Aeroplan;Graf Michael;
254;Schneider’s Anti-Noise Crusade;;;;;;;The Honor of an Outlaw;;;The Neo-Impressionist Painter;Lyon : débarquement d'une mouche;The Midnight Son;Dr. Jekyll and Mr. Hyde;Flower of Evil;The Proclamation of King Frederik VIII;Sündenlust;
255;The Roue’s Heart;;;;;;;Hair-Trigger Burke;;;Le circuit de l'alcool;Naval Combat in Greece;Sarnia Tunnel, Grand Trunk Railway;Puss in Boots;Stronger than Sherlock Holmes;Militære Opvisninger paa Fælleden;Die goldene Lüge;
256;The Road to the Heart;;;;;;;Goin' Straight;;;Petites causes, grands effets!;Partie de tric-trac;Marcel Proust at Elaine Greffulhe's Wedding;Les éléphants de l'Inde;Italian Naval Maneuvers;Lerfossen;Artistentreue;
257;The Prussian Spy;;;;;;;The Drifter;;;The Strong Arm Squad of the Future;Wonderful Absinthe;Nora's 4th of July;Der Mann mit den drei Frauen;The Life of the Butterfly;Børnehjælpsdagen 1905, I-III;Drei Zeichen am Kreuzweg;
258;Mrs. Jones’ Lover  or, I Want My Hat;;;;;;;The Outlaw and the Lady;;;Les Métamorphoses Comiques;Panorama des rives du Nil, [I];Breakwater and the Visit of the English Squadron;La vengeance du clerc de notaire;Neuropathology;Daniel Dalsgaards Kaffeforretning;Die Perle;
259;The Medicine Bottle;;;;;;;The Bad Man of Cheyenne;;;Policy and Pie;Le cocher endormi;Agnes May Turner on a Swing;The Russian Revolution;Nelly, the Tamer;Sct. Clemensbro i Aarhus;Hungernde Millionäre;
260;Mr. Jones’ Burglar;;;;;;;The Night Riders;;;Bobby Bumps Puts a Beanery on the Bum;Rip Passing Over the Mountain;Chez le Photographe;Waiting at the Church;Come Cretinetti paga i debiti;Kongerevue paa Fælleden;Die nach Liebe dürsten;
261;Jones and the Lady Book Agent;;;;;;;Stampede in the Night;;;Pour résister à la tuberculose;Conjuring;La Korrigane;The St. Willibrordus Ceremonies;Pik-Nik Master Singer;Badescener fra Skovshoved;Die Gespenster von Garden Hall;
262;Jones and His New Neighbors;;;;;;;The Ring of Destiny;;;A Trip to the Moon;Revue à Longchamp : charge finale et départ de M. le Président;Le cygne;Magie moderne;Polidor's Gramophone;Queen Alexandra's Arrival to Toldboden;Der Blick in den Abgrund;
263;The Jilt;;;;;;;Shotgun Jones;;;Colonel Heeza Liar on the Jump;Pont de Westminster;Danse Louis XV;The Red Man and the Child;At the Cinema Show;The Anarchist's Mother-in-Law;Die siebente Großmacht;
264;His Ward's Love;;;;;;;Kid Pink and the Maharajah;;;Bobby Bumps' Fourth;Seminary Girls;La Reve;Antos in Warsaw For the First Time;Tweedledum's Sweet Wife;Royal Shooting Party on Hveen;Der Stier von Saldanha;
265;Eradicating Aunty;;;;;;;In the Secret Service;;;Captain Grogg's Wonderful Journey;Arroseur et arrosé, III;Le Cid;Christian IXS bisættelse;Monumental Bologna;Kejserinde Dagmars Ankomst til Bellevue;Die Memoiren des Satans, 1. Teil - Doktor Mors;
266;Eloping with Auntie;;;;;;;Cowboy Sports and Pastimes;;;Bobby Bumps Starts a Lodge;Panorama des rives de la Seine à Paris, III;Le Troupier Pompette;The Celebration with Slogans in Greek;Dark Souls;Kejserinde Dagmars ankomst til Helsingør;Das Liebesglück der Blinden;
267;Drive for a Life;;;;;;;A Four-Footed Hero;;;Captain Grogg in a Balloon;The Exhibition Sausage Seller and the Billposter;Une poule introduite dans un concert;The Good Shepherdess and the Evil Princess;Christus;Everyman;Der papierene Peter;
268;A Baby's Shoe;;;;;;;The New Superintendent;;;Farmer Al Falfa Sees New York;Mount Tamalpais R.R., No. 2;Duo;A Mix-Up in the Gallery;Tweedledum in Love with a Singer;The Stranger;Der Klub der Neun;
269;A Woman's Way;;;;;;;Blood Money;;;Professor Bonehead Is Shipwrecked;Panorama pendant l'ascension de la Tour Eiffel;Pourquoi garder ton coeur?;Robert Macaire and Bertrand;Tweedledum's White Suit;The Icelandic Althing Visits Copenhagen;Marionetten;
270;The Stolen Jewels;;;;;;;Davy Crockett;;;Domestic Difficulties;Traffic in King's Road, Chelsea;Fleur de l'ame;"Félix Mayol Performs ""White Lilacs""";L'inaugurazione del campanile di San Marco;The Life Guards on Amager;Die sterbenden Perlen;
271;The Planter's Wife;;;;;;;The Fighting Heiress;;;Mary and Gretel;Throwing Self on Heap of Hay;Ma cousine;Saharet Performs the Bolero;Caino;Kejser Wilhelms ankomst til København 1905;Das Mysterium des Schlosses Clauden;
272;The Ingrate;;;;;;;The Turquoise Mine Conspiracy;;;Mr. Nobody Holme: He Buys a Jitney;Barrage du Nil;Mister Moon;The Prophetess of Thebes;La battaglia dall’Astico al Piave;The Execution;Der gelbe Ulster;
273;The Bandit’s Waterloo (The Outwitting of an Andalusian Brigand by a Pretty Senora);;;;;;;The Devil's Own;;;Cartoons On Tour;Leonard-Cushing Fight;Two Laughing Men;Games of Youth;Polidor cambia sesso;Tarantellen af 'Napoli';Wenn die Lawinen stürzen;
274;The Goddess of Sagebrush Gulch;;;;;;;A Woman's Eyes;;;Colonel Heeza Liar at the Bat;Tossing a Nigger in a Blanket;Train Load of C.I.V.s Leaving Southampton;The Fairy of the Surf;Polidor and the Wig;The Emperor of Russia's Arrival in Elsinore;Die Buben aus der Paulsgasse;
275;Her Awakening;;;;;;;For the Love of a Girl;;;Keeping Up with the Joneses: Women's Styles;Ateliers de La Ciotat;Solser and Hesse;The Skipping Cheese;Guglielmo Oberdan, il martire di Trieste;Bech Olsens og Poul Pons' brydekamp;Donna Lucia;
276;A Siren of Impulse;;;;;;;The Passing of Hell's Crown;;;Dreamy Dud, He Resolves Not to Smoke;Woman Jumping from Rock to Rock;Pigeon Farm at Los Angeles, Cal.;The Heroes of the Siege of Saragossa;Diana, the Enchantress;Driving with Greenland Dogs;Professor Nissens seltsamer Tod;
