Title,Year,url_peli,Review,tmdb_type,tmdb_id,nviews
A.I. Artificial Intelligence,2001,/film/ai-artificial-intelligence/,39,movie,644,419403
Exiled,2006,/film/exiled/,39,movie,13807,14003
The Royal Tenenbaums,2001,/film/the-royal-tenenbaums/,38,movie,9428,996824
Demonlover,2002,/film/demonlover/,37,movie,24488,29330
Suzhou River,2000,/film/suzhou-river/,36,movie,11599,33990
Trouble Every Day,2001,/film/trouble-every-day/,36,movie,40723,45696
After the Reconciliation,2000,/film/after-the-reconciliation/,36,movie,140007,379
Master and Commander: The Far Side of the World,2003,/film/master-and-commander-the-far-side-of-the-world/,36,movie,8619,199448
Spider-Man 2,2004,/film/spider-man-2/,35,movie,558,2501090
Signs,2002,/film/signs/,35,movie,2675,594673
Let the Right One In,2008,/film/let-the-right-one-in/,34,movie,13310,288394
The White Ribbon,2009,/film/the-white-ribbon/,33,movie,37903,98683
In the Darkness of Time,2002,/film/in-the-darkness-of-time/,33,movie,323563,14954
All About Lily Chou-Chou,2001,/film/all-about-lily-chou-chou/,33,movie,16664,120240
"Synecdoche, New York",2008,/film/synecdoche-new-york/,33,movie,4960,306298
The Bridge of Arts,2004,/film/the-bridge-of-arts/,33,movie,101909,2325
Mysterious Skin,2004,/film/mysterious-skin/,33,movie,11171,363444
No Country for Old Men,2007,/film/no-country-for-old-men/,32,movie,6977,1844376
Children of Men,2006,/film/children-of-men/,32,movie,9693,793033
Friday Night,2002,/film/friday-night/,32,movie,45044,5784
Nobody Knows,2004,/film/nobody-knows/,32,movie,2517,85248
Dogtooth,2009,/film/dogtooth/,31,movie,38810,366141
The Secret in Their Eyes,2009,/film/the-secret-in-their-eyes/,31,movie,25376,155899
The World,2004,/film/the-world/,31,movie,41292,9157
Secret Things,2002,/film/secret-things/,30,movie,35712,4008
Southland Tales,2006,/film/southland-tales/,30,movie,4723,52421
We Own the Night,2007,/film/we-own-the-night/,29,movie,2001,59636
Tale of Cinema,2005,/film/tale-of-cinema/,29,movie,85550,17380
The Son's Room,2001,/film/the-sons-room/,29,movie,11447,24982
Into the Picture Scroll: The Tale of Yamanaka Tokiwa,2004,/film/into-the-picture-scroll-the-tale-of-yamanaka-tokiwa/,29,movie,371388,103
10 Skies,2004,/film/10-skies/,29,movie,126238,2513
Star Wars: Episode III – Revenge of the Sith,2005,/film/star-wars-episode-iii-revenge-of-the-sith/,28,movie,1895,2020341
The Death of Mr. Lazarescu,2005,/film/the-death-of-mr-lazarescu/,28,movie,31032,15693
I Did Not Die,2008,/film/i-did-not-die/,28,movie,309838,157
Work in Progress,2001,/film/work-in-progress/,28,movie,148353,1648
On the Occasion of Remembering the Turning Gate,2002,/film/on-the-occasion-of-remembering-the-turning-gate/,27,movie,53267,5411
Our Beloved Month of August,2008,/film/our-beloved-month-of-august/,27,movie,54384,3999
Oh! Man,2004,/film/oh-man/,27,movie,239216,426
Night and Day,2008,/film/night-and-day-2008/,26,movie,57859,5062
Old Joy,2006,/film/old-joy/,26,movie,26518,40792
Blissfully Yours,2002,/film/blissfully-yours/,26,movie,47046,10446
An Injury to One,2002,/film/an-injury-to-one/,26,movie,120360,824
Lights in the Dusk,2006,/film/lights-in-the-dusk/,26,movie,1379,12577
Paranoid Park,2007,/film/paranoid-park/,26,movie,1990,53940
Collateral,2004,/film/collateral/,25,movie,1538,499080
Moulin Rouge!,2001,/film/moulin-rouge-2001/,25,movie,824,602898
Distant,2002,/film/distant/,24,movie,31026,34324
Dogville,2003,/film/dogville/,24,movie,553,209524
Dolls,2002,/film/dolls-2002/,24,movie,870,16888
Mary and Max,2009,/film/mary-and-max/,23,movie,24238,193573
Café Lumière,2003,/film/cafe-lumiere/,23,movie,52512,8586
Spider-Man,2002,/film/spider-man/,23,movie,557,2734644
A New Life,2002,/film/a-new-life/,23,movie,99642,4330
Shin Chan: The Adult Empire Strikes Back,2001,/film/shin-chan-the-adult-empire-strikes-back/,23,movie,37280,8356
Lifeline,2002,/film/lifeline-2002/,22,movie,23676,2936
Come and Go,2003,/film/come-and-go/,22,movie,83228,1908
Where Does Your Hidden Smile Lie?,2001,/film/where-does-your-hidden-smile-lie/,22,movie,95533,2984
Paprika,2006,/film/paprika-2006/,21,movie,4977,500910
Brokeback Mountain,2005,/film/brokeback-mountain/,21,movie,142,1297468
A History of Violence,2005,/film/a-history-of-violence/,21,movie,59,260893
Man on Fire,2004,/film/man-on-fire-2004/,21,movie,9509,238731
Avatar,2009,/film/avatar/,21,movie,19995,2923798
Cecil B. Demented,2000,/film/cecil-b-demented/,21,movie,14195,37038
Love Exposure,2008,/film/love-exposure/,21,movie,28422,72420
What Time Is It There?,2001,/film/what-time-is-it-there/,21,movie,24166,14954
The Assassination of Jesse James by the Coward Robert Ford,2007,/film/the-assassination-of-jesse-james-by-the-coward-robert-ford/,20,movie,4512,217689
Decasia: The State of Decay,2002,/film/decasia-the-state-of-decay/,20,movie,25621,3562
Halloween II,2009,/film/halloween-ii/,20,movie,24150,122477
Fat Girl,2001,/film/fat-girl/,20,movie,570,50547
Spanglish,2004,/film/spanglish/,20,movie,2539,113457
Birth,2004,/film/birth-2004/,19,movie,10740,82713
Frontier of Dawn,2008,/film/frontier-of-dawn/,19,movie,8897,2905
The Holy Girl,2004,/film/the-holy-girl/,19,movie,44413,17328
Gran Torino,2008,/film/gran-torino/,19,movie,13223,548731
Merry-Go-Round c. 1950,2004,/film/merry-go-round-c-1950/,19,movie,75508,255
Russian Ark,2002,/film/russian-ark/,19,movie,16646,49357
Kill Bill: Vol. 2,2004,/film/kill-bill-vol-2/,19,movie,393,1581140
Déjà Vu,2006,/film/deja-vu/,18,movie,7551,181506
The Dark Knight,2008,/film/the-dark-knight/,18,movie,155,4038369
Fake Blonde,2007,/film/fake-blonde/,18,movie,169497,9848
The Mad Songs of Fernanda Hussein,2001,/film/the-mad-songs-of-fernanda-hussein/,18,movie,125424,210
Caché,2005,/film/cache/,17,movie,445,148379
Mission to Mars,2000,/film/mission-to-mars/,17,movie,2067,49679
Woman on the Beach,2006,/film/woman-on-the-beach/,17,movie,54659,4630
Mean Girls,2004,/film/mean-girls/,17,movie,10625,2953618
My Winnipeg,2007,/film/my-winnipeg/,17,movie,13241,19672
Shara,2003,/film/shara/,17,movie,36281,3513
Woman Is the Future of Man,2004,/film/woman-is-the-future-of-man/,17,movie,16447,7356
25th Hour,2002,/film/25th-hour/,17,movie,1429,123183
The Uncertainty Principle,2002,/film/the-uncertainty-principle/,17,movie,103701,576
All the Real Girls,2003,/film/all-the-real-girls/,17,movie,13132,10049
Atonement,2007,/film/atonement/,17,movie,4347,621364
H Story,2001,/film/h-story/,17,movie,125815,496
Unbreakable,2000,/film/unbreakable/,16,movie,9741,627935
Adventureland,2009,/film/adventureland/,16,movie,16614,293457
Marie Antoinette,2006,/film/marie-antoinette-2006/,16,movie,1887,713286
35 Shots of Rum,2008,/film/35-shots-of-rum/,16,movie,26191,19191
Adaptation.,2002,/film/adaptation/,16,movie,2757,359585
"Monsters, Inc.",2001,/film/monsters-inc/,16,movie,585,2911358
Still Walking,2008,/film/still-walking/,16,movie,25050,61130
The House of Mirth,2000,/film/the-house-of-mirth/,16,movie,25520,6580
The Duchess of Langeais,2007,/film/the-duchess-of-langeais/,16,movie,46335,2021
The Yards,2000,/film/the-yards/,16,movie,19457,22973
"Workers, Peasants",2001,/film/workers-peasants/,16,movie,202479,804
The Legend of Time,2006,/film/the-legend-of-time/,15,movie,101021,766
WALL·E,2008,/film/walle/,15,movie,10681,3061625
American Psycho,2000,/film/american-psycho/,15,movie,1359,3294734
Fantastic Mr. Fox,2009,/film/fantastic-mr-fox/,15,movie,10315,2315078
Far from Heaven,2002,/film/far-from-heaven/,15,movie,10712,60510
The Lady and the Duke,2001,/film/the-lady-and-the-duke/,15,movie,2894,2628
Artemide's Knee,2008,/film/artemides-knee/,15,movie,255706,2142
Lilya 4-ever,2002,/film/lilya-4-ever/,15,movie,12093,134975
The Lives of Others,2006,/film/the-lives-of-others/,15,movie,582,211923
The Lord of the Rings: The Return of the King,2003,/film/the-lord-of-the-rings-the-return-of-the-king/,15,movie,122,2257708
Threnody,2004,/film/threnody-2004/,15,movie,362137,1218
Ritual,2000,/film/ritual-2000/,15,movie,39056,31183
Gerry,2002,/film/gerry/,14,movie,1956,25414
Donnie Darko,2001,/film/donnie-darko/,14,movie,141,2041596
"Spring, Summer, Fall, Winter... and Spring",2003,/film/spring-summer-fall-winter-and-spring/,14,movie,113,75475
Ten,2002,/film/ten-2002/,14,movie,14633,19082
Letter from a Filmmaker to His Daughter,2000,/film/letter-from-a-filmmaker-to-his-daughter/,14,movie,117292,1478
Wild Innocence,2001,/film/wild-innocence/,14,movie,103692,915
Songs from the Second Floor,2000,/film/songs-from-the-second-floor/,14,movie,34070,36236
Antichrist,2009,/film/antichrist/,14,movie,17609,281996
Before the Devil Knows You're Dead,2007,/film/before-the-devil-knows-youre-dead/,14,movie,7972,104511
Reflections of Evil,2002,/film/reflections-of-evil/,14,movie,61196,3490
Su-ki-da,2005,/film/su-ki-da/,14,movie,59273,2413
The Wayward Cloud,2005,/film/the-wayward-cloud/,14,movie,36253,13984
Virgin Stripped Bare by Her Bachelors,2000,/film/virgin-stripped-bare-by-her-bachelors/,14,movie,54690,4868
Y Tu Mamá También,2001,/film/y-tu-mama-tambien/,14,movie,1391,315833
Behind the Painting,2001,/film/behind-the-painting/,14,movie,236050,183
Pride & Prejudice,2005,/film/pride-prejudice/,14,movie,4348,1562609
Nightcap,2000,/film/nightcap-2000/,13,movie,10305,7835
Requiem for a Dream,2000,/film/requiem-for-a-dream/,13,movie,641,1466478
Honour of the Knights,2006,/film/honour-of-the-knights/,13,movie,85461,2068
Respite,2007,/film/respite/,13,movie,157631,607
A Prophet,2009,/film/a-prophet/,13,movie,21575,77966
Bad Education,2004,/film/bad-education/,13,movie,140,124425
De nens,2003,/film/de-nens/,13,movie,363429,151
Public Enemies,2009,/film/public-enemies-2009/,13,movie,11322,251639
The Class,2008,/film/the-class-2008/,13,movie,8841,34428
The Weeping Meadow,2004,/film/the-weeping-meadow/,13,movie,37952,9838
Machuca,2004,/film/machuca/,13,movie,12086,21613
Hunger,2008,/film/hunger/,12,movie,10360,101951
Irreversible,2002,/film/irreversible/,12,movie,979,309274
The Life Aquatic with Steve Zissou,2004,/film/the-life-aquatic-with-steve-zissou/,12,movie,421,553521
The Portuguese Nun,2009,/film/the-portuguese-nun/,12,movie,84016,1444
Yuki & Nina,2009,/film/yuki-nina/,12,movie,52637,538
Ghost World,2001,/film/ghost-world/,12,movie,1548,269615
Ghost in the Shell 2: Innocence,2004,/film/ghost-in-the-shell-2-innocence/,12,movie,12140,48574
"Lust, Caution",2007,/film/lust-caution/,12,movie,4588,44187
Solitary Fragments,2007,/film/solitary-fragments/,12,movie,39489,796
The Century of the Self,2002,/film/the-century-of-the-self/,12,tv,75770,11495
The Great Art of Knowing,2004,/film/the-great-art-of-knowing/,12,movie,335270,250
This Is England,2006,/film/this-is-england/,12,movie,11798,129124
Toutes les nuits,2001,/film/toutes-les-nuits/,12,movie,87693,738
Bamako,2006,/film/bamako/,12,movie,62652,3479
Blood Work,2002,/film/blood-work/,12,movie,9573,21708
Lady in the Water,2006,/film/lady-in-the-water/,12,movie,9697,97586
Mother,2009,/film/mother-2009/,12,movie,30018,183249
The Hours,2002,/film/the-hours/,12,movie,590,161421
Vincere,2009,/film/vincere/,12,movie,30239,4797
*Corpus Callosum,2002,/film/corpus-callosum/,11,movie,123409,1829
Black Book,2006,/film/black-book/,11,movie,9075,36736
Inglourious Basterds,2009,/film/inglourious-basterds/,11,movie,16869,3058262
The Happening,2008,/film/the-happening/,11,movie,8645,244681
Amores Perros,2000,/film/amores-perros/,11,movie,55,237264
Election 2,2006,/film/election-2/,11,movie,15077,10968
Joint Security Area,2000,/film/joint-security-area/,11,movie,2440,72069
Los Muertos,2004,/film/los-muertos-2004/,11,movie,36241,2685
Magic Mirror,2005,/film/magic-mirror/,11,movie,129937,356
Reprise,2006,/film/reprise/,11,movie,12197,51148
Road to Perdition,2002,/film/road-to-perdition/,11,movie,4147,197850
Secret Sunshine,2007,/film/secret-sunshine/,11,movie,2015,31525
The Best of Youth,2003,/film/the-best-of-youth/,11,movie,11659,19126
The Magic Gloves,2003,/film/the-magic-gloves/,11,movie,126104,7743
Tokyo Godfathers,2003,/film/tokyo-godfathers/,11,movie,13398,222653
Triple Agent,2004,/film/triple-agent/,11,movie,65041,1762
"You, the Living",2007,/film/you-the-living/,11,movie,5817,23846
Eccentricities of a Blonde-Haired Girl,2009,/film/eccentricities-of-a-blonde-haired-girl/,11,movie,44411,2729
In the City of Sylvia,2007,/film/in-the-city-of-sylvia/,10,movie,29568,5018
Death Proof,2007,/film/death-proof/,10,movie,1991,493228
La Morte Rouge,2006,/film/la-morte-rouge/,10,movie,213598,1539
Memento,2000,/film/memento/,10,movie,77,1760994
The Triplets of Belleville,2003,/film/the-triplets-of-belleville/,10,movie,9662,87366
Time and Tide,2000,/film/time-and-tide-2000/,10,movie,258870,1171
Army of Crime,2009,/film/army-of-crime/,10,movie,30432,1715
Melancholia,2008,/film/melancholia-2008/,10,movie,200785,2785
Pin Boy,2004,/film/pin-boy/,10,movie,243934,217
RR,2007,/film/rr/,10,movie,126610,1555
Stuck on You,2003,/film/stuck-on-you/,10,movie,1792,41551
Superbad,2007,/film/superbad/,10,movie,8363,2080054
The Incredibles,2004,/film/the-incredibles/,10,movie,9806,2935720
The Profession of Arms,2001,/film/the-profession-of-arms/,10,movie,56798,1700
Tokyo Sonata,2008,/film/tokyo-sonata/,10,movie,8937,33955
Tomorrow We Move,2004,/film/tomorrow-we-move/,10,movie,78789,1316
Trash Humpers,2009,/film/trash-humpers/,10,movie,46788,30202
Women in the Mirror,2002,/film/women-in-the-mirror/,9,movie,71396,263
After This Our Exile,2006,/film/after-this-our-exile/,9,movie,11960,641
Coraline,2009,/film/coraline/,9,movie,14836,2453902
Last Days,2005,/film/last-days/,9,movie,1665,42397
Munich,2005,/film/munich/,9,movie,612,165319
Mysterious Object at Noon,2000,/film/mysterious-object-at-noon/,9,movie,93553,10933
Profit Motive and the Whispering Wind,2007,/film/profit-motive-and-the-whispering-wind/,9,movie,84925,1391
Silent Light,2007,/film/silent-light/,9,movie,2012,11427
A Serious Man,2009,/film/a-serious-man/,9,movie,12573,259387
Battle Royale,2000,/film/battle-royale/,9,movie,3176,394308
Everything Will Be OK,2006,/film/everything-will-be-ok/,9,movie,32532,18507
Hero,2002,/film/hero-2002/,9,movie,79,149560
Ken Park,2002,/film/ken-park/,9,movie,7090,38757
The Ground,2001,/film/the-ground/,9,movie,306216,796
Three Times,2005,/film/three-times/,9,movie,11554,10821
Whisky,2004,/film/whisky/,9,movie,36971,11509
Double Tide,2009,/film/double-tide/,9,movie,149940,328
The Day I Became a Woman,2000,/film/the-day-i-became-a-woman/,9,movie,44069,4691
Big Fish,2003,/film/big-fish/,8,movie,587,687494
Go Go Tales,2007,/film/go-go-tales/,8,movie,50318,3823
Ichi the Killer,2001,/film/ichi-the-killer/,8,movie,9696,138427
The Chaser,2008,/film/the-chaser/,8,movie,13855,73935
8 Women,2002,/film/8-women/,8,movie,1958,51425
A Christmas Tale,2008,/film/a-christmas-tale/,8,movie,8892,9997
Apocalypto,2006,/film/apocalypto/,8,movie,1579,252881
