Title,Year,url_peli,Review
Mulholland Drive,2001,/film/mulholland-drive/,434
In the Mood for Love,2000,/film/in-the-mood-for-love/,322
Yi Yi,2000,/film/yi-yi/,316
Spirited Away,2001,/film/spirited-away/,242
"As I Was Moving Ahead, Occasionally I Saw Brief Glimpses of Beauty",2000,/film/as-i-was-moving-ahead-occasionally-i-saw/,190
Pulse,2001,/film/pulse-2001/,168
"Goodbye, Dragon Inn",2003,/film/goodbye-dragon-inn/,151
Inland Empire,2006,/film/inland-empire/,146
Werckmeister Harmonies,2000,/film/werckmeister-harmonies/,143
Miami Vice,2006,/film/miami-vice/,143
Millennium Mambo,2001,/film/millennium-mambo/,142
The Story of Marie and Julien,2003,/film/the-story-of-marie-and-julien/,131
The Village,2004,/film/the-village/,119
Memories of Murder,2003,/film/memories-of-murder/,114
Lost in Translation,2003,/film/lost-in-translation/,103
Regular Lovers,2005,/film/regular-lovers/,100
Volver,2006,/film/volver/,98
There Will Be Blood,2007,/film/there-will-be-blood/,98
Femme Fatale,2002,/film/femme-fatale/,95
Tropical Malady,2004,/film/tropical-malady/,94
Elephant,2003,/film/elephant-2003/,93
Two Lovers,2008,/film/two-lovers/,92
In Praise of Love,2001,/film/in-praise-of-love/,91
Million Dollar Baby,2004,/film/million-dollar-baby/,87
Fragile as the World,2001,/film/fragile-as-the-world/,86
Notre Musique,2004,/film/notre-musique/,85
Before Sunset,2004,/film/before-sunset/,84
In Vanda's Room,2000,/film/in-vandas-room/,80
The Days When I Don’t Exist,2003,/film/the-days-when-i-dont-exist/,78
The Man Without a Past,2002,/film/the-man-without-a-past/,77
The Gleaners and I,2000,/film/the-gleaners-and-i/,76
Extraordinary Stories,2008,/film/extraordinary-stories/,73
The Captive,2000,/film/the-captive/,71
Colossal Youth,2006,/film/colossal-youth/,70
Tie Xi Qu: West of the Tracks,2002,/film/tie-xi-qu-west-of-the-tracks/,67
The Lord of the Rings: The Fellowship of the Ring,2001,/film/the-lord-of-the-rings-the-fellowship-of-the-ring/,65
Still Life,2006,/film/still-life/,64
Oldboy,2003,/film/oldboy/,63
The Piano Teacher,2001,/film/the-piano-teacher/,63
Zodiac,2007,/film/zodiac/,61
Wendy and Lucy,2008,/film/wendy-and-lucy/,60
Speed Racer,2008,/film/speed-racer/,59
The Brown Bunny,2003,/film/the-brown-bunny/,57
Eternal Sunshine of the Spotless Mind,2004,/film/eternal-sunshine-of-the-spotless-mind/,56
"La Commune (Paris, 1871)",2000,/film/la-commune-paris-1871/,56
Punch-Drunk Love,2002,/film/punch-drunk-love/,55
Mystic River,2003,/film/mystic-river/,55
A Talking Picture,2003,/film/a-talking-picture/,54
Los Angeles Plays Itself,2003,/film/los-angeles-plays-itself/,53
At Sea,2007,/film/at-sea/,53
Eureka,2000,/film/eureka-2000/,52
These Encounters of Theirs,2006,/film/these-encounters-of-theirs/,52
The New World,2005,/film/the-new-world/,51
Saraband,2003,/film/saraband/,50
Time and Tide,2000,/film/time-and-tide/,50
3-Iron,2004,/film/3-iron/,50
Workers for the Good Lord,2000,/film/workers-for-the-good-lord/,48
Va Savoir (Who Knows?),2001,/film/va-savoir-who-knows/,47
Millennium Actress,2001,/film/millennium-actress/,46
Linda Linda Linda,2005,/film/linda-linda-linda/,45
Kill Bill: Vol. 1,2003,/film/kill-bill-vol-1/,45
Platform,2000,/film/platform/,45
"4 Months, 3 Weeks and 2 Days",2007,/film/4-months-3-weeks-and-2-days/,44
City of God,2002,/film/city-of-god/,44
2046,2004,/film/2046/,44
Hedwig and the Angry Inch,2001,/film/hedwig-and-the-angry-inch/,44
La Ciénaga,2001,/film/la-cienaga/,44
Ponyo,2008,/film/ponyo/,43
Match Point,2005,/film/match-point/,42
A Perfect Couple,2005,/film/a-perfect-couple-2005/,42
Syndromes and a Century,2006,/film/syndromes-and-a-century/,41
The Intruder,2004,/film/the-intruder/,41
Dancer in the Dark,2000,/film/dancer-in-the-dark/,40
Talk to Her,2002,/film/talk-to-her/,40
The Return,2003,/film/the-return/,40
Howl's Moving Castle,2004,/film/howls-moving-castle/,40
At the First Breath of Wind,2002,/film/at-the-first-breath-of-wind/,39
A.I. Artificial Intelligence,2001,/film/ai-artificial-intelligence/,39
Exiled,2006,/film/exiled/,39
The Royal Tenenbaums,2001,/film/the-royal-tenenbaums/,38
Demonlover,2002,/film/demonlover/,37
Suzhou River,2000,/film/suzhou-river/,36
Trouble Every Day,2001,/film/trouble-every-day/,36
After the Reconciliation,2000,/film/after-the-reconciliation/,36
Master and Commander: The Far Side of the World,2003,/film/master-and-commander-the-far-side-of-the-world/,36
Spider-Man 2,2004,/film/spider-man-2/,35
Signs,2002,/film/signs/,35
Let the Right One In,2008,/film/let-the-right-one-in/,34
The White Ribbon,2009,/film/the-white-ribbon/,33
In the Darkness of Time,2002,/film/in-the-darkness-of-time/,33
All About Lily Chou-Chou,2001,/film/all-about-lily-chou-chou/,33
"Synecdoche, New York",2008,/film/synecdoche-new-york/,33
The Bridge of Arts,2004,/film/the-bridge-of-arts/,33
Mysterious Skin,2004,/film/mysterious-skin/,33
No Country for Old Men,2007,/film/no-country-for-old-men/,32
Children of Men,2006,/film/children-of-men/,32
Friday Night,2002,/film/friday-night/,32
Nobody Knows,2004,/film/nobody-knows/,32
Dogtooth,2009,/film/dogtooth/,31
The Secret in Their Eyes,2009,/film/the-secret-in-their-eyes/,31
The World,2004,/film/the-world/,31
Secret Things,2002,/film/secret-things/,30
Southland Tales,2006,/film/southland-tales/,30
We Own the Night,2007,/film/we-own-the-night/,29
Tale of Cinema,2005,/film/tale-of-cinema/,29
