Votos;url_peli;Id_peli;Titulo;Popularidad;Rating;Fecha;Duracion;Pais;Idioma;Presupuesto;Ganancia;Generos;Director;Genero_dir;Casting;Guion;Montaje;DOP;Resumen
3;/film/the-blonds/;193302;The Blonds;1.533;6.3;2003-10-23;89.0;AR;es;0.0;0.0;['Documentary'];['Albertina Carri'];[1];['Analía Couceyro', 'Albertina Carri', 'Santiago Giralt', 'Jesica Suárez', 'Marcelo Zanelli'];[];['Alejandra Almirón', 'Catalina Fernández', 'Carmen Torres'];[];In 1977, when she was four years old, Albertina Carri's parents vanished without a trace, victims of Argentina's brutal military junta. In this fresh and politically daring film, the young Argentinian filmmaker attempts to unravel the mystery, piecing together her memories and fantasies in a quest to understand her parents' untimely fate.
3;/film/the-curse-of-the-jade-scorpion/;2779;The Curse of the Jade Scorpion;11.33;6.581;2001-08-05;103.0;US;en;0.0;0.0;['Comedy', 'Crime', 'Romance'];['Woody Allen'];[2];['Dan Aykroyd', 'Helen Hunt', 'Woody Allen', 'Charlize Theron', 'David Ogden Stiers', 'Brian Markinson', 'John Tormey', 'John Schuck', 'Elizabeth Berkley', 'Kaili Vernoff', 'Maurice Sonnenberg', 'Peter Gerety', 'Kevin Cahoon', 'Wallace Shawn', 'Vince Giordano', 'Kenneth Edelson', 'Brian McConnachie', 'Judy Gold', 'Ira Wheeler', 'Tina Sloan', 'Ramsey Faragallah', 'Arthur J. Nascarella', 'Irwin Corey', 'Michael Mulheren', 'Peter Linari', 'Dan Moran', 'Ray Garvey', 'John Doumanian', 'Philip Levy', 'Howard Alden', 'Ted Sommer', 'Randy Sandke', 'Peter Ecklund', 'Joel Helleny', 'Chuck Wilson', 'Raymond Beckenstein', 'Lawrence Feldman', 'Ken Peplowski', 'Carole Bayeux', 'Herb Lovelle', 'Carmen', 'Patrick Horgan', 'Howard Erskine', 'Bob Dorian', 'Trude Klein', 'Bruce Brown', 'Dick Hyman', 'Bob Greenberg'];['Woody Allen'];['Alisa Lepselter'];['Zhao Fei'];CW Briggs is a veteran insurance investigator, with many successes. Betty Ann Fitzgerald is a new employee in the company he works for, with the task of reorganizing the office. They don't like each other - or at least that's what they think. During a night out with the rest of the office employees, they go to watch Voltan, a magician who secretly hypnotizes both of them.
3;/film/the-secret-of-kells/;26963;The Secret of Kells;23.29;7.402;2009-02-09;78.0;IE;en;8000000.0;1803412.0;['Animation', 'Family', 'Fantasy'];['Nora Twomey', 'Tomm Moore'];[1, 2];"['Evan McGuire', 'Christen Mooney', 'Brendan Gleeson', 'Mick Lally', 'Liam Hourican', 'Paul Tylak', 'Michael McGrath', 'Paul Young', 'Nora Twomey', 'Alli McCann', 'Clair Funchion', ""Conor O'Halloran"", 'Gaelle Hersent', 'Marie Thorhauge', 'Sean Ono Lennon', 'Jonas Hoffmann', 'Fabian Erlinghäuser', 'Kairen Waloch', ""James William O'Halloran""]";['Fabrice Ziolkowski'];['Fabienne Alvarez-Giro'];[];Adventure awaits 12 year old Brendan who must fight Vikings and a serpent god to find a crystal and complete the legendary Book of Kells. In order to finish Brother Aiden's book, Brendan must overcome his deepest fears on a secret quest that will take him beyond the abbey walls and into the enchanted forest where dangerous mythical creatures hide. Will Brendan succeed in his quest?
3;/film/the-shore-that-falls/;440893;The Shore That Falls;0.428;6.5;2008-04-05;64.0;AR;es;0.0;0.0;[];['Gustavo Fontán'];[0];[];['Gustavo Fontán'];['Mario Bocchicchio', 'Gustavo Schiaffino'];[];La orilla que se Abisma is conceived as a journey, a trip along a river. Like rivers, like all journeys, the film has meanders, small riverbeds, detours and moments of rest.
3;/film/yes-oui-ja/;522525;Yes? Oui? Ja?;0.001;0.0;2003-05-05;4.0;AT;en;0.0;0.0;['Documentary'];['Thomas Draschan'];[0];[];[];[];[];16mm, 4min, colour, sound  Experimantal montage film from Thomas Drashchan
2;/film/r-xmas/;49110;'R Xmas;4.699;6.181;2001-12-14;85.0;US;en;0.0;0.0;['Drama', 'Crime', 'Thriller'];['Abel Ferrara'];[2];['Drea de Matteo', 'Lillo Brancato', 'Ice-T', 'Victor Argo', 'Denia Brache', 'Meredith Ostrom', 'Janis Corsair', 'Gloria Irizarry', 'Nelson Vasquez', 'Roman Rivera', 'Javier Nunez', 'Benny Nieves', 'Begonya Plaza', 'Lisa Valens', 'Naomi Morales', 'John Robert Tramutola', 'Dan Sweeney', 'Anne Ackerman', 'Andrew Lasky', 'Bersaida Vega', 'James R. Bilz', 'Ray Ultarte', 'Luis Santos', 'Orran Farmer', 'Jamal Simmons', 'Oscar Tevez', 'Clarence Dorsey', 'Jay Dog', 'Anthony Ortiz', 'Victor Pagan', 'Yolanda Nieto', 'Louise G. Colón', 'Petra Quinones', 'Rosa Nino', 'Frank Cuervo', 'Antone Pagán', 'Andrew Fiscella', 'Thomas Murray', 'Eddie Martinez', 'Carlos Leon'];['Scott Pardo', 'Abel Ferrara'];['Suzanne Pillsbury', 'Bill Pankow', 'Patricia Bowers'];['Ken Kelsch'];A New York drug dealer is kidnapped, and his wife must try to come up with the money and drugs to free him from his abductors before Christmas.
2;/film/black-sun/;91563;Black Sun;1.674;7.1;2006-05-05;75.0;US;en;0.0;0.0;['Documentary'];['Gary Tarn'];[0];['Hugues de Montalembert'];[];[];[];Blurred images illustrate the narration of New York City-based artist Hugues de Montalembert, who was blinded in a vicious mugging some thirty years ago.
2;/film/brief-crossing/;39770;Brief Crossing;5.168;5.764;2001-03-06;84.0;FR;fr;0.0;0.0;['Drama', 'Romance'];['Catherine Breillat'];[1];['Sarah Pratt', 'Gilles Guillain', 'Marc Filipi', 'Laetitia Lopez', 'Marc Jablonski', 'Christelle Dacosta'];[];['Pascale Chavance'];['Éric Gautier'];A young French man and an older English woman spend one night together on a ship.
2;/film/drag-me-to-hell/;16871;Drag Me to Hell;36.6;6.4;2009-05-27;99.0;US;en;30000000.0;90810892.0;['Horror', 'Thriller'];['Sam Raimi'];[2];['Alison Lohman', 'Justin Long', 'Lorna Raver', 'Dileep Rao', 'David Paymer', 'Adriana Barraza', 'Chelcie Ross', 'Reggie Lee', 'Molly Cheek', 'Bojana Novaković', 'Kevin Foster', 'Alexis Cruz', 'Ruth Livier', 'Shiloh Selassie', 'Flor de Maria Chahua', 'Christopher Young', 'Ricardo Molina', 'Fernanda Romero', 'Joanne Baron', 'Ted Raimi', 'Ali Dean', 'Octavia Spencer', 'Mia Rai', 'Bill E. Rogers', 'Cherie Franklin', 'Olga Babtchinskaia', 'Alex Veadov', 'Bonnie Aarons', 'Emma Raimi', 'Michael Peter Bolus', 'Peter Popp', 'Scott Spiegel', 'Bridget Hoffman', 'Tom Carey', 'Lia Johnson', 'Jay Gordon', 'Henry Raimi', 'Lorne Raimi', 'Chloe Dykstra', 'Nick Vlassopoulos', 'John Paxton', 'Irene Roseen', 'Aimee Miles', 'Art Kimbro', 'Sam Raimi'];[];['Bob Murawski'];['Peter Deming'];After denying a woman the extension she needs to keep her home, loan officer Christine Brown sees her once-promising life take a startling turn for the worse. Christine is convinced she's been cursed by a Gypsy, but her boyfriend is skeptical. Her only hope seems to lie in a psychic who claims he can help her lift the curse and keep her soul from being dragged straight to hell.
2;/film/everlasting-moments/;17077;Everlasting Moments;4.724;7.313;2008-09-24;131.0;FI;sv;0.0;0.0;['Drama', 'History'];['Jan Troell'];[2];['Maria Heiskanen', 'Mikael Persbrandt', 'Jesper Christensen', 'Emil Jensen', 'Callin Öhrvall', 'Nellie Almgren', 'Birte Heribertson', 'Ghita Nørby', 'Amanda Ooms', 'Hans Henrik Clemensen', 'Maria Lundqvist', 'Annika Lundgren', 'Ann Petrén', 'Livia Millhagen', 'Zenna Fiscella', 'Claire Wikholm', 'Antti Reini', 'Johanna Troell', 'Rune Bergman', 'Hans Alfredson', 'Julia Ragnarsson', 'Jonathan Mårtensson', 'Boel Larsson', 'Maria Kulle', 'Åsa Söderling', 'Sanna Persson', 'Michael Segerström', 'Rolf Jarl', 'Ellinor Taflin', 'Kenneth Milldoff', 'Richard Ulfsäter', 'Pierre Lindstedt', 'Rolf Lydahl', 'Eddie Axberg', 'Christian Fex', 'Linus Nilsson', 'Rakel Benér'];['Niklas Rådström'];['Nils Pagh Andersen', 'Jan Troell'];['Jan Troell', 'Mischa Gavrjusjov'];In a time of social change and unrest, war and poverty, a young working class woman, Maria, wins a camera in a lottery. The decision to keep it alters her whole life.
