Title,Year,Review
Mulholland Drive,2001,434 puntos con 100 menciones
In the Mood for Love,2000,322 puntos con 78 menciones
Yi Yi,2000,316 puntos con 80 menciones
Spirited Away,2001,242 puntos con 63 menciones
"As I Was Moving Ahead, Occasionally I Saw Brief Glimpses of Beauty",2000,190 puntos con 46 menciones
Pulse,2001,168 puntos con 45 menciones
"Goodbye, Dragon Inn",2003,151 puntos con 46 menciones
Inland Empire,2006,146 puntos con 35 menciones
Werckmeister Harmonies,2000,143 puntos con 41 menciones
Miami Vice,2006,143 puntos con 39 menciones
Millennium Mambo,2001,142 puntos con 49 menciones
The Story of Marie and Julien,2003,131 puntos con 35 menciones
The Village,2004,119 puntos con 38 menciones
Memories of Murder,2003,114 puntos con 36 menciones
Lost in Translation,2003,103 puntos con 29 menciones
Regular Lovers,2005,100 puntos con 29 menciones
Volver,2006,98 puntos con 32 menciones
There Will Be Blood,2007,98 puntos con 28 menciones
Femme Fatale,2002,95 puntos con 29 menciones
Tropical Malady,2004,94 puntos con 30 menciones
Elephant,2003,93 puntos con 29 menciones
Two Lovers,2008,92 puntos con 32 menciones
In Praise of Love,2001,91 puntos con 24 menciones
Million Dollar Baby,2004,87 puntos con 26 menciones
Fragile as the World,2001,86 puntos con 24 menciones
Notre Musique,2004,85 puntos con 23 menciones
Before Sunset,2004,84 puntos con 29 menciones
In Vanda's Room,2000,80 puntos con 21 menciones
The Days When I Don’t Exist,2003,78 puntos con 21 menciones
The Man Without a Past,2002,77 puntos con 28 menciones
The Gleaners and I,2000,76 puntos con 27 menciones
Extraordinary Stories,2008,73 puntos con 23 menciones
The Captive,2000,71 puntos con 25 menciones
Colossal Youth,2006,70 puntos con 21 menciones
Tie Xi Qu: West of the Tracks,2002,67 puntos con 21 menciones
The Lord of the Rings: The Fellowship of the Ring,2001,65 puntos con 17 menciones
Still Life,2006,64 puntos con 19 menciones
Oldboy,2003,63 puntos con 21 menciones
The Piano Teacher,2001,63 puntos con 21 menciones
Zodiac,2007,61 puntos con 20 menciones
Wendy and Lucy,2008,60 puntos con 24 menciones
Speed Racer,2008,59 puntos con 18 menciones
The Brown Bunny,2003,57 puntos con 20 menciones
Eternal Sunshine of the Spotless Mind,2004,56 puntos con 20 menciones
"La Commune (Paris, 1871)",2000,56 puntos con 14 menciones
Punch-Drunk Love,2002,55 puntos con 19 menciones
Mystic River,2003,55 puntos con 18 menciones
A Talking Picture,2003,54 puntos con 16 menciones
Los Angeles Plays Itself,2003,53 puntos con 19 menciones
At Sea,2007,53 puntos con 16 menciones
Eureka,2000,52 puntos con 20 menciones
These Encounters of Theirs,2006,52 puntos con 13 menciones
The New World,2005,51 puntos con 17 menciones
Saraband,2003,50 puntos con 17 menciones
Time and Tide,2000,50 puntos con 16 menciones
Time and Tide,2000,50 puntos con 16 menciones
Time and Tide,2000,10 puntos con 4 menciones
Time and Tide,2000,10 puntos con 4 menciones
3-Iron,2004,50 puntos con 15 menciones
Workers for the Good Lord,2000,48 puntos con 14 menciones
Va Savoir (Who Knows?),2001,47 puntos con 12 menciones
Millennium Actress,2001,46 puntos con 12 menciones
Linda Linda Linda,2005,45 puntos con 15 menciones
Kill Bill: Vol. 1,2003,45 puntos con 14 menciones
Platform,2000,45 puntos con 12 menciones
"4 Months, 3 Weeks and 2 Days",2007,44 puntos con 17 menciones
City of God,2002,44 puntos con 17 menciones
2046,2004,44 puntos con 13 menciones
Hedwig and the Angry Inch,2001,44 puntos con 13 menciones
La Ciénaga,2001,44 puntos con 13 menciones
Ponyo,2008,43 puntos con 11 menciones
Match Point,2005,42 puntos con 13 menciones
A Perfect Couple,2005,42 puntos con 12 menciones
Syndromes and a Century,2006,41 puntos con 16 menciones
The Intruder,2004,41 puntos con 13 menciones
Dancer in the Dark,2000,40 puntos con 13 menciones
Talk to Her,2002,40 puntos con 12 menciones
The Return,2003,40 puntos con 12 menciones
Howl's Moving Castle,2004,40 puntos con 11 menciones
At the First Breath of Wind,2002,39 puntos con 13 menciones
A.I. Artificial Intelligence,2001,39 puntos con 12 menciones
Exiled,2006,39 puntos con 10 menciones
