Participante,Peliculas_totales,Peliculas_decada
Xator_Nova,279,32.0
Doark13,2380,264.0
ezequiel2517,2952,238.0
tumbaparaelojo,789,132.0
paloma55,5357,658.0
Colin_Maillard,3059,317.0
diogoserafim,7410,662.0
mcromance,3903,477.0
MabuseCaligari,4505,326.0
Lobo_Lopez,6312,297.0
MarioIglesias,13585,985.0
jmrebollo,2207,249.0
nichedeath,1382,107.0
BoomLight06,2060,282.0
EloyG8,2514,395.0
stalker98,2121,261.0
FaildeGuionista,2480,220.0
Ivan_Suarez,7978,1296.0
DanielEscaners,4173,351.0
Trueno,3115,280.0
Rob3rtolm,5046,429.0
pele_alvaro,3269,368.0
uryenbg,1934,189.0
AlCorona,1627,140.0
MetalTFT,0,
Vareludo,2256,254.0
JoanitoAD,935,135.0
MaboroshiMirage,1107,120.0
EfectoDelia,242,31.0
figmare,3675,430.0
Alchemy97,6587,821.0
Alvaro_souvlaki,93,5.0
uwugorka,1141,88.0
Bernatus,2231,338.0
AshWilliams92,1584,257.0
CronicasDeckard,4609,827.0
bergmantonioni,1927,258.0
A_Karerina,5761,465.0
elenacf,791,111.0
Kirkis,1383,126.0
AndresTM,2622,301.0
marioquema,2456,216.0
Malala,5753,412.0
mrtoldo,2746,93.0
Angelopoulos,5629,622.0
Borinot,5592,1043.0
_alvarocampoy_,1631,86.0
davidpardi97,5338,453.0
JoanCuadrado,1701,109.0
josanjosan,1099,134.0
alemartin,297,49.0
ChicoOstra57,307,36.0
JDCASERO,281,22.0
erni,2910,263.0
yosolomequejo,1433,106.0
guxiguxi,3221,267.0
parhelic,3338,361.0
Filmandera,2100,384.0
LaQuimeraCult,1061,175.0
manuelsanbai,3225,599.0
Jorge_Luis,1325,142.0
A_de_la_Hoz,5779,826.0
Blanchot,984,154.0
xoandsj,2222,185.0
Mas0204,5386,287.0
Adam_Kadmon,2266,322.0
fabregatto,7015,997.0
marctorres,1902,214.0
gorkalonso1,1193,144.0
philippengel,0,
Javchas,3294,413.0
Simonsds,4236,654.0
luisru,4,
fuzilfalcao,5686,419.0
Juanky97,1796,212.0
davidmd,2767,693.0
AminVillalba,1223,118.0
mmgarnica,4162,385.0
Loloaka,1915,264.0
aitanaaguila,4256,341.0
jjm_24,3717,421.0
DiegoH2000,1453,136.0
Mann_Ohne_Namen,3967,357.0
bennu,1472,128.0
BillWayne,1772,186.0
msgatsby,2256,266.0
genzai_2,4007,380.0
Paula_Arantzazu,7258,584.0
edgarfaber,3275,307.0
itsmerocio,5433,858.0
huer,1856,197.0
FrancoRizzo,4615,452.0
TaeSuk,2231,206.0
synthemesco,3631,455.0
fleming22,2076,299.0
Hectorog,4502,407.0
gazpachin,2137,261.0
AP_Schoolwork,1262,110.0
Lubilder,1,
LBaena,6710,1136.0
Padimo02,2426,205.0
Glorfindel7567,2777,244.0
NateFisher,2218,277.0
fshtravis,3237,284.0
bander7,3348,310.0
Dani1Medina,1673,188.0
Endika,2361,126.0
Ruben0,2875,230.0
YeraiM,1113,117.0
AuroraNocte,5196,616.0
AlbertoMilano,1236,174.0
ukazioa,578,84.0
HEYMYMAN,1710,189.0
AlejandroGR,1332,274.0
http_snake,1221,157.0
anthonymous,1975,228.0
RafaNasal_leFou,0,
RachelMyGod,4961,609.0
migblah,7038,825.0
Saba1e7e,3259,398.0
Carlos_,4728,350.0
DanielQuinn,8148,783.0
Pauixitador,2307,213.0
Alberto87FR,6496,942.0
NestorJuez,4349,287.0
AmaiaZufiaur,3678,491.0
anaorgana,3263,332.0
_Carlos_,5402,526.0
jorditrenzano,299,10.0
rafaqc97,3816,421.0
irca,5160,326.0
chinemusic,5134,300.0
hill_valley,1720,183.0
AleN99,4702,468.0
jal90,7171,488.0
m0liner,823,99.0
efebatlle,2406,272.0
Martincuesta,52,4.0
kndel_01,1877,191.0
jasikedevicius,3449,440.0
miridbr,1170,161.0
HobbsEnd,4350,609.0
MrBike,1876,126.0
ExplodingBoy,2590,308.0
zombivirtual,394,26.0
Jarsito,2966,374.0
Cinematictalk,1646,91.0
bustinduy,4025,428.0
will_llermo,5443,484.0
Isaac98tm,3118,229.0
guillehormigo,3882,334.0
Rdosdedos,773,124.0
Dr_Akkar,1974,284.0
Judex1916,3,
antares_not,2699,322.0
0uno4,1778,251.0
aixa72,4341,696.0
Jorgemz,2142,205.0
JuanGL001,1135,97.0
Didacus,12658,1272.0
Vicioinherente,6388,332.0
Batty,4873,479.0
olivermayorga,2866,251.0
utges,3141,345.0
MartialCantarel,1213,335.0
jlorenzo,961,139.0
malatesta19,23,5.0
garles,1039,150.0
DrDrakeRamoray,2522,277.0
albertvanden,2594,166.0
korin,1258,189.0
Ninotchka,4575,670.0
Faure,7069,771.0
